Title,Link
금융보안원, 금융 클라우드 보안 관리 설명회 개최,https://www.boannews.com/media/view.asp?idx=133889&page=2&kind=2
이탈리아의 사이버 범죄자들, 국가 데이터베이스 훔쳐 다크웹에 판매,https://www.boannews.com/media/view.asp?idx=133893&page=2&kind=1
중국 해커들, 클라우드 서비스 노리려 새로운 공격 도구 활용,https://www.boannews.com/media/view.asp?idx=133892&page=2&kind=1
‘제5회 사이버안보 정책 포럼’ 개최,https://www.boannews.com/media/view.asp?idx=133887&page=2&kind=2
러시아 군, 우크라이나 신병들의 장비를 집중적으로 감염시키고 있어,https://www.boannews.com/media/view.asp?idx=133891&page=3&kind=1
애플인텔리전스 공개한 애플, 100만 달러 버그바운티도 같이 발표,https://www.boannews.com/media/view.asp?idx=133890&page=3&kind=1
이에이트, 15억 달러 규모 타슈겐트 스마트시티 위한 디지털 트윈 솔루션 공급,https://www.boannews.com/media/view.asp?idx=133888&page=3&kind=3
인공지능의 중요성이 커지는 시대, 인문학의 역할을 탐구합니다,https://www.boannews.com/media/view.asp?idx=133864&page=3&kind=2
도심 출몰 멧돼지, 인공지능 기술로 막는다,https://www.boannews.com/media/view.asp?idx=133865&page=3&kind=2
KT, 안전하고 믿을 수 있는 AI 연구 강화한다,https://www.boannews.com/media/view.asp?idx=133866&page=3&kind=3
SKT-삼성전자, AI로 5G 기지국 품질 최적화 나선다,https://www.boannews.com/media/view.asp?idx=133867&page=3&kind=3
충남도, 주력산업 인공지능 기반 전환 가속화,https://www.boannews.com/media/view.asp?idx=133868&page=3&kind=2
포항 어촌이 스마트해진다! AI 스마트 가로등 시범 사업지 확정,https://www.boannews.com/media/view.asp?idx=133869&page=3&kind=2
숭실대, AI 안전성 연구센터 개소식 개최,https://www.boannews.com/media/view.asp?idx=133870&page=3&kind=2
부산시, ‘양자컴퓨팅 기반 미래혁신소재 분야 협력’ 업무협약 체결,https://www.boannews.com/media/view.asp?idx=133871&page=3&kind=2
양주도시공사, 전 임직원 대상 ‘딥페이크와 개인정보보호 교육’ 실시,https://www.boannews.com/media/view.asp?idx=133872&page=3&kind=2
경북도개발공사, ‘개인정보보호 다짐 마라톤’ 실시,https://www.boannews.com/media/view.asp?idx=133873&page=3&kind=2
전북도, 인공지능 활용해 제조업의 미래 밝힌다,https://www.boannews.com/media/view.asp?idx=133874&page=3&kind=2
디지털 지도로 간편하게 폐가전 배출하고, 인공지능 딥러닝으로 위기의 아이들 구한다,https://www.boannews.com/media/view.asp?idx=133863&page=3&kind=2
제주도, 인공지능 기술로 감귤가공산업 혁신 나선다,https://www.boannews.com/media/view.asp?idx=133875&page=3&kind=2
