Title,Link
한국데이터법정책학회 “사이버위협, 기업 차원 넘어 국가 안보 관점 접근해야”,https://www.boannews.com/media/view.asp?idx=138842&page=1&kind=3
중동 수출 교두보 마련한 ‘ISEC 2025’, 걸프협력이사회 대표단 상담회 연다,https://www.boannews.com/media/view.asp?idx=138839&page=1&kind=3
사이버 공격유형별 대응 전략 및 사례 공유...‘CISO 역량강화 워크숍’ 열린다,https://www.boannews.com/media/view.asp?idx=138837&page=1&kind=3
SKT 과징금, 27일 제재 결정되나...개인정보위 안건 상정,https://www.boannews.com/media/view.asp?idx=138838&page=1&kind=1
“랜섬웨어  ‘몸값 지불’ 감소 추세...신고한 기업은 100만달러 절약”,https://www.boannews.com/media/view.asp?idx=138832&page=1&kind=3
[이슈 인터뷰] 유준상 KITRI 원장 “대한민국 해커의 아버지, 큰 명예와 책임감 느껴”,https://www.boannews.com/media/view.asp?idx=138825&page=1&kind=2
“IP, AI 만나면?”...지재위, 산학연 공동 세미나 열어,https://www.boannews.com/media/view.asp?idx=138824&page=1&kind=1
[IP칼럼]  특허, 비즈니스 걸림돌 or 디딤돌,https://www.boannews.com/media/view.asp?idx=138823&page=1&kind=1
SGI서울보증 랜섬웨어 푼 금보원 침해위협분석팀 ‘역대급’ 포상,https://www.boannews.com/media/view.asp?idx=138817&page=1&kind=2
[카드뉴스] 해양 사이버보안, 글로벌 무역의 90%를 지키는 5대 수비라인,https://www.boannews.com/media/view.asp?idx=138811&page=1&kind=1
클루커스, 위즈와 함께 생성형 AI 보안 솔루션 소개...ISEC 2025 참가,https://www.boannews.com/media/view.asp?idx=138846&page=1&kind=3
김수키 추정 정부 해킹 심층 분석...고려대 정보보호대학원, 보고회 개최,https://www.boannews.com/media/view.asp?idx=138843&page=1&kind=1
기업 기밀 담긴 모니터 화면, 스마트폰 촬영 막는다...테르텐, 캠큐브 2.0 출시,https://www.boannews.com/media/view.asp?idx=138841&page=1&kind=3
유니뷰, 서초50플러스센터 CCTV 전액 후원,https://www.boannews.com/media/view.asp?idx=138840&page=1&kind=3
2025 개인정보보호법 개정 여파는? ‘2025년 CPO 워크숍’ 개최,https://www.boannews.com/media/view.asp?idx=138833&page=1&kind=3
[ISEC 2025 미리보기] 넷앱, 지능형 데이터 인프라로 한국 기업의 AI 및 데이터 혁신 가속화,https://www.boannews.com/media/view.asp?idx=138765&page=1&kind=1
[ISEC 2025 미리보기] 동훈아이텍, 글로벌 사이버보안 평가지표 ‘SecurityScorecard’ 선보인다,https://www.boannews.com/media/view.asp?idx=138766&page=1&kind=3
[ISEC 2025 미리보기] 에스투더블유, ASM·DRP·TI 통합한 전방위 플랫폼으로 AI 보안 새 지평 연다,https://www.boannews.com/media/view.asp?idx=138836&page=1&kind=3
포티넷코리아 차세대 제품군 출시…국내 보안·네트워킹 시장 리더십 강화,https://www.boannews.com/media/view.asp?idx=138835&page=1&kind=3
국정원 CSK 2025 내달 8일 개최...사이버안보 위한 국제 협력 무대,https://www.boannews.com/media/view.asp?idx=138834&page=1&kind=2
[ISEC 2025 미리보기] 엘라스틱, AI 기반 포괄적 엔드포인트 보호 솔루션 및 XDR 소개,https://www.boannews.com/media/view.asp?idx=138828&page=1&kind=3
배경훈 장관, “양자+AI 융합 중요...양자 토대로 보안 패러다임 혁신해야”,https://www.boannews.com/media/view.asp?idx=138830&page=1&kind=2
[부고] 윤오준 법무법인 율촌 고문(전 국가정보원 3차장) 모친상,https://www.boannews.com/media/view.asp?idx=138822&page=1&kind=1
“안전은 모두의 문제, 모두의 책임”... ‘안전한 사회를 만드는 사람들’ 발족,https://www.boannews.com/media/view.asp?idx=138820&page=1&kind=2
개인정보위, 딥페이크 등 AI 시대 프라이버시 강화 방안 논의,https://www.boannews.com/media/view.asp?idx=138818&page=1&kind=2
쿠도커뮤니케이션, AI 자연재난 대응 간담회서 CCTV 활용 사례 발표,https://www.boannews.com/media/view.asp?idx=138815&page=1&kind=3
유니뷰, Owlview 1주년 기념 한강 크루즈 행사 성료,https://www.boannews.com/media/view.asp?idx=138814&page=1&kind=3
조달청, 조달 기업들과 조달개혁 방안 브레인스토밍,https://www.boannews.com/media/view.asp?idx=138813&page=1&kind=2
NHN두레이, 맞춤형 보안 체계로 금융내부망 SaaS 입지 확대,https://www.boannews.com/media/view.asp?idx=138812&page=1&kind=2
안랩블록체인컴퍼니-한국간편결제진흥원-오픈에셋, 스테이블코인 생태계 협력,https://www.boannews.com/media/view.asp?idx=138810&page=1&kind=3
개인정보위 “개인정보 본인전송요구권 적용 확대로 새 비즈니스 창출 기회”,https://www.boannews.com/media/view.asp?idx=138809&page=2&kind=2
피앤피시큐어, 무자각 지속 인증’ 기술로 제로트러스트 보안 강화,https://www.boannews.com/media/view.asp?idx=138808&page=2&kind=3
KISA, 지역사회 EGS 실현...‘나주·광주 지역문제 해결 프로젝트 공모전’ 개최,https://www.boannews.com/media/view.asp?idx=138807&page=2&kind=2
한컴위드, 양자내성암호 기술 특허 등록...디지털 인증서 보안성-편의성 높여,https://www.boannews.com/media/view.asp?idx=138806&page=2&kind=3
[ISEC 2025 미리보기] HPE 네트웍스, 제로트러스트 위한 차세대 SASE 아키텍처 제공,https://www.boannews.com/media/view.asp?idx=138735&page=2&kind=3
[ISEC 2025 미리보기] 한국정보인증, 공공 조달 1위 2차 인증 솔루션 ‘GrippinTower’로 MFA 시장 선도,https://www.boannews.com/media/view.asp?idx=138734&page=2&kind=3
국내 사이버 위협 260만건↑... 카스퍼스키 2분기 보안 보고서 발표,https://www.boannews.com/media/view.asp?idx=138804&page=2&kind=3
[ISEC 2025 미리보기] “생성형 AI 데이터 유출은 끝났다”... 컴트루테크놀로지, 보안 시장 판도 바꾼다,https://www.boannews.com/media/view.asp?idx=138733&page=2&kind=3
[미리보는 IPCON 2025] 인사팀이 ‘IP 빅데이터’를 엿보는 이유,https://www.boannews.com/media/view.asp?idx=138805&page=2&kind=1
오리엔텀-딥인사이트, 국방 분야 양자 AI 기술 개발 협력,https://www.boannews.com/media/view.asp?idx=138803&page=2&kind=3
김수키, 이번엔 주한 외국 대사관 공격...정부부처 이은 잇따른 국가 배후 해킹,https://www.boannews.com/media/view.asp?idx=138802&page=2&kind=1
카이스트, 차세대 난수 발생기 국제 표준화 주도,https://www.boannews.com/media/view.asp?idx=138801&page=2&kind=2
라이노스, 화재 감지 AI 청소로봇 상용화,https://www.boannews.com/media/view.asp?idx=138800&page=2&kind=1
SK쉴더스, 하나은행과 AI CCTV 설치 등 소상공인 맞춤형 디지털 전환 지원,https://www.boannews.com/media/view.asp?idx=138799&page=2&kind=3
[배종찬의 보안 빅데이터] K-콘텐츠 대박 위해 ‘케데헌’法 꼭 필요,https://www.boannews.com/media/view.asp?idx=138797&page=2&kind=2
“지식재산처 설립, 더 이상 미뤄선 안 돼” ...IP 협·단체, 잇단 지지 성명,https://www.boannews.com/media/view.asp?idx=138796&page=2&kind=1
“사이버전문사관에 도전하세요”...정보보호특성화대학 대상 후보생 모집,https://www.boannews.com/media/view.asp?idx=138795&page=2&kind=2
AI와 협업하는 미래 의료 생태계, ‘AI 의료 워크숍 2025’에서 만난다,https://www.boannews.com/media/view.asp?idx=138782&page=2&kind=2
카카오 ‘브랜드 메시지’, 개인정보 무단 활용했다?,https://www.boannews.com/media/view.asp?idx=138794&page=2&kind=2
업비트, 보안 인재 양성 ‘업사이드 아카데미’ 3기 선발...전원 월 100만원·맥북프로·취업 연계,https://www.boannews.com/media/view.asp?idx=138793&page=2&kind=3
“AWS AI 에이전트 차별점은 ‘보안’”...디도스 방어·환각 최소화 등 강점,https://www.boannews.com/media/view.asp?idx=138792&page=3&kind=3
GPS 전파혼신 대비 민관군 합동 훈련 실시,https://www.boannews.com/media/view.asp?idx=138785&page=3&kind=2
[부고] 김재수 SK하이닉스 우시산업보안 팀장 장인상,https://www.boannews.com/media/view.asp?idx=138791&page=3&kind=1
마키나락스, 국방과학연구소 ‘국방인공지능’ 사업 수주,https://www.boannews.com/media/view.asp?idx=138790&page=3&kind=2
[이슈칼럼] 소버린 AI보다 시급한 ‘소버린 로그인’, 디지털 주권은 로그인부터 시작된다,https://www.boannews.com/media/view.asp?idx=138783&page=3&kind=2
[ISEC 2025 미리보기] 노바소프트, “AVIS-TRON 4.0, 정보보안 전 영역 아우르는 올인원 플랫폼”,https://www.boannews.com/media/view.asp?idx=138731&page=3&kind=3
[ISEC 2025 미리보기] “비식별 자산까지 잡아내는 CAASM 플랫폼, 다온기술 ‘Riskmap’ 첫 공개”,https://www.boannews.com/media/view.asp?idx=138730&page=3&kind=3
[ISEC 2025 미리보기] 탈레스, 차세대 API 보안 솔루션 ‘임퍼바’ 전시,https://www.boannews.com/media/view.asp?idx=138722&page=3&kind=3
피앤피시큐어, 중앙대 발전기금 1억원 기부,https://www.boannews.com/media/view.asp?idx=138787&page=3&kind=2
