Title,Link
AI와 협업하는 미래 의료 생태계, ‘AI 의료 워크숍 2025’에서 만난다,https://www.boannews.com/media/view.asp?idx=138782&page=1&kind=2
카카오 ‘브랜드 메시지’. 개인정보 무단 활용 했다?,https://www.boannews.com/media/view.asp?idx=138794&page=1&kind=2
“AWS AI 에이전트 차별점은 ‘보안’”...디도스 방어·환각 최소화 등 강점,https://www.boannews.com/media/view.asp?idx=138792&page=1&kind=3
[이슈칼럼] 소버린 AI보다 시급한 ‘소버린 로그인’, 디지털 주권은 로그인부터 시작된다,https://www.boannews.com/media/view.asp?idx=138783&page=1&kind=2
[미리보는 IPCON 2025] IP에 AI 적용, 초거대·초집중·압도적여야!,https://www.boannews.com/media/view.asp?idx=138788&page=1&kind=1
자연어 처리 모델 활용한 악성 트래픽 탐지, ‘ISEC Training Course’에서 배운다,https://www.boannews.com/media/view.asp?idx=138777&page=1&kind=3
보안 업계, 상반기 실적 순항...‘SKT 효과’ 반영은 아직,https://www.boannews.com/media/view.asp?idx=138773&page=1&kind=3
금융권 잇단 사이버 위기...웰컴금융그룹 “랜섬웨어 피해 복구 중”,https://www.boannews.com/media/view.asp?idx=138769&page=1&kind=1
K-콘텐츠 열풍 불구, 돈은 美·日 차지...IP수출 늘려야,https://www.boannews.com/media/view.asp?idx=138771&page=1&kind=1
[미리보는 IPCON 2025] IP를 ‘돈’으로...AI는 연금술사!,https://www.boannews.com/media/view.asp?idx=138764&page=1&kind=1
업비트, 보안 인재 양성 ‘업사이드 아카데미’ 3기 선발...전원 월 100만원·맥북프로·취업 연계,https://www.boannews.com/media/view.asp?idx=138793&page=1&kind=3
GPS 전파혼신 대비 민관군 합동 훈련 실시,https://www.boannews.com/media/view.asp?idx=138785&page=1&kind=2
[부고] 김재수 SK하이닉스 우시산업보안 팀장 장인상,https://www.boannews.com/media/view.asp?idx=138791&page=1&kind=1
마키나락스, 국방과학연구소 ‘국방인공지능’ 사업 수주,https://www.boannews.com/media/view.asp?idx=138790&page=1&kind=2
[ISEC 2025 미리보기] 노바소프트, “AVIS-TRON 4.0, 정보보안 전 영역 아우르는 올인원 플랫폼”,https://www.boannews.com/media/view.asp?idx=138731&page=1&kind=3
[ISEC 2025 미리보기] “비식별 자산까지 잡아내는 CAASM 플랫폼, 다온기술 ‘Riskmap’ 첫 공개”,https://www.boannews.com/media/view.asp?idx=138730&page=1&kind=3
[ISEC 2025 미리보기] 탈레스, 차세대 API 보안 솔루션 ‘임퍼바’ 전시,https://www.boannews.com/media/view.asp?idx=138722&page=1&kind=3
피앤피시큐어, 중앙대 발전기금 1억원 기부,https://www.boannews.com/media/view.asp?idx=138787&page=1&kind=2
ETRI, “AI 안전-신뢰 국제 표준 주도한다”...소버린 AI 뒷받침,https://www.boannews.com/media/view.asp?idx=138789&page=1&kind=2
알로알토 네트웍스, ASPM 혁신으로 ‘선제적 차단 시대’ 열어,https://www.boannews.com/media/view.asp?idx=138786&page=1&kind=3
누리랩, AI 피싱 URL 검출 기술 일본 특허 등록,https://www.boannews.com/media/view.asp?idx=138784&page=1&kind=3
마이크로소프트, 벤츠-EPL-엘랑코 등 고객사 혁신 사례 공유,https://www.boannews.com/media/view.asp?idx=138781&page=1&kind=3
파수, ARM 아키텍처 지원 발표...신규 시장 개척,https://www.boannews.com/media/view.asp?idx=138779&page=1&kind=3
HS효성인포메이션시스템 ‘VSP One SDS’, 구글 클라우드 마켓플레이스 입점,https://www.boannews.com/media/view.asp?idx=138780&page=1&kind=3
기후변화로 더 커진 자연재난...정부, AI로 피해 막는다,https://www.boannews.com/media/view.asp?idx=138775&page=1&kind=2
시놀로지, 2025 가트너 고객의 소리의 주요 스토리지 플랫폼으로 선정,https://www.boannews.com/media/view.asp?idx=138778&page=1&kind=3
지니언스, 통합 단말 보안 플랫폼 '지니안 인사이츠 E 3.0' 출시,https://www.boannews.com/media/view.asp?idx=138776&page=1&kind=3
카스퍼스키, 보안 앱 위장해 정보 탈취하는 ‘루나스파이’ 탐지,https://www.boannews.com/media/view.asp?idx=138774&page=1&kind=3
