Title,Link
[한국융합보안학회 칼럼] 지능형 사이버 공격의 시대, 보안의 패러다임은 ‘융합’이다,https://www.boannews.com/media/view.asp?idx=138969&page=1&kind=3
암호 키 ‘보안’과 ‘편의성’의 두 마리 토끼 잡은 ‘KeyGuard HSM Series’,https://www.boannews.com/media/view.asp?idx=138967&page=1&kind=3
[SKT 해킹 사태] SKT, 취약점 밝혀진 OS 8년간 그대로 썼다...유출 부른 문제점들은?,https://www.boannews.com/media/view.asp?idx=138964&page=1&kind=1
[SKT 해킹 사태] 타임라인...침해 인지에서 개인정보위 과징금까지,https://www.boannews.com/media/view.asp?idx=138955&page=1&kind=1
[SKT 해킹 사태] 역대 최대 규모 1347억원 과징금 부과 배경은?... 법조계 의견 들어보니,https://www.boannews.com/media/view.asp?idx=138949&page=1&kind=1
[유경동의 IP전략] 손 안에 든 쥐, 로지텍,https://www.boannews.com/media/view.asp?idx=138947&page=1&kind=1
[SKT 해킹 사태] 1347억원 과징금...SKT 대응은 수용? 재심?,https://www.boannews.com/media/view.asp?idx=138939&page=1&kind=1
[SKT 해킹사태] SKT, 역대 최대 과징금 1347억원 ‘철퇴’...CPO 권한·ISMS-P 범위 확대 명령,https://www.boannews.com/media/view.asp?idx=138944&page=1&kind=1
특허청·카이스트·포스텍, ‘청소년 발명인재’ 육성 맞손,https://www.boannews.com/media/view.asp?idx=138943&page=1&kind=1
AI가 의료를 만났을 때…‘AI 의료 워크숍 2025’ 성료,https://www.boannews.com/media/view.asp?idx=138938&page=1&kind=3
보안과 보험 만나다...SK쉴더스-DB손해보험, 中企 해킹 대응 지원,https://www.boannews.com/media/view.asp?idx=138971&page=1&kind=3
경찰청, ‘5대 반칙 운전’ 집중단속 실시,https://www.boannews.com/media/view.asp?idx=138968&page=1&kind=2
시큐어시스템즈, ‘AI 기반 위협 헌팅’ 기술로 동적 보안 플레이북 자동 생성 특허 획득,https://www.boannews.com/media/view.asp?idx=138966&page=1&kind=3
보이스피싱 잡는 AI 플랫폼 구축한다...이통사-금융사 책임 강화,https://www.boannews.com/media/view.asp?idx=138963&page=1&kind=2
카스퍼스키, 아태지역 APT 그룹 분석…“사이버 첩보 활동이 주 목적”,https://www.boannews.com/media/view.asp?idx=138962&page=1&kind=1
KT, 2025 수도권 생활이동 데이터 해커톤 성료,https://www.boannews.com/media/view.asp?idx=138959&page=1&kind=3
이통사 인증 ‘패스’ 앱 모방 피싱 증가에 누리랩, ”출처 불명 URL 절대 클릭 금지” 주의,https://www.boannews.com/media/view.asp?idx=138960&page=1&kind=1
금융보안원 화이트해커, 해커 올림픽 ‘데프콘 CTF’ 3위 수상,https://www.boannews.com/media/view.asp?idx=138961&page=1&kind=2
클라우드플레어, 주요 생성형 AI 3사 통합 CASB 솔루션 업계 최초 출시,https://www.boannews.com/media/view.asp?idx=138954&page=1&kind=3
마우스 없이 손가락으로 커서 조작 반지, ‘ICT 챌린지 2025’ 우승,https://www.boannews.com/media/view.asp?idx=138956&page=1&kind=2
인스피언, SAP PO 종료 대비 무료 사전 평가 서비스 제공,https://www.boannews.com/media/view.asp?idx=138952&page=1&kind=3
과기대-국방연-방사청, ‘제4회 국방 AI+X 해커톤’ 개최,https://www.boannews.com/media/view.asp?idx=138951&page=1&kind=3
[부고] 유덕선 상무이사(솔라투데이/FA저널/인더스트리뉴스) 부친상,https://www.boannews.com/media/view.asp?idx=138950&page=1&kind=3
배경훈 과기정통부 장관, 전주기 AI 인재 양성 강화 모색,https://www.boannews.com/media/view.asp?idx=138948&page=1&kind=2
[AI와 보안] 공공기관도 AI 사용 안전하게...국정원, ‘공공분야 AI 보안정책’ 설명회,https://www.boannews.com/media/view.asp?idx=138946&page=1&kind=2
핀텔, ‘스마트 교차로 시스템’으로 글로벌 모빌리티 표준 선도,https://www.boannews.com/media/view.asp?idx=138942&page=1&kind=3
이에스이, 인투와이즈와 스마트도시·AI 기반 사업 협력 위한 MOU 체결,https://www.boannews.com/media/view.asp?idx=138941&page=1&kind=3
슈프리마, AI 무인매장 솔루션으로 ‘2025년 우수기술 패키지형 보급사업’ 참여,https://www.boannews.com/media/view.asp?idx=138940&page=1&kind=3
HID, 엔터프라이즈급 패스키 통합관리 솔루션 출시,https://www.boannews.com/media/view.asp?idx=138937&page=1&kind=3
스냅태그, ISEC 2025에서 서버통신 필요 없는 ‘LAB가드’ 선보여,https://www.boannews.com/media/view.asp?idx=138936&page=1&kind=3
