Title,Link
SGA솔루션즈, 제로트러스트 통합연동 API 국책과제 선정,https://www.boannews.com/media/view.asp?idx=138475&page=2&kind=3
새로 개발된 인공지능 활용한 딥페이크 탐지 모델, 국과수 공식 감정 업무 개시,https://www.boannews.com/media/view.asp?idx=138479&page=2&kind=2
[IP칼럼] AI시대, 특허 무용론 vs 특허 무장론,https://www.boannews.com/media/view.asp?idx=138477&page=2&kind=6
이글루, 보안 특화 AI 에이전트 ‘AiR’ 공공·민간 비즈니스 강화,https://www.boannews.com/media/view.asp?idx=138474&page=2&kind=3
美 페르미 국립 가속기 연구소, MS 쉐어포인트 해킹 침해…기술 유출 우려,https://www.boannews.com/media/view.asp?idx=138472&page=2&kind=1
결혼 성수기 ‘청첩장 피싱’ 13배 상승...URL 클릭 주의,https://www.boannews.com/media/view.asp?idx=138473&page=2&kind=1
‘지식재산 통계연보’ 나왔다...상표·디자인 등 소상공인 통계 첫 수록,https://www.boannews.com/media/view.asp?idx=138471&page=2&kind=1
‘K-브랜드 보호’...특허청, 위조상품 근절책 내놔,https://www.boannews.com/media/view.asp?idx=138470&page=2&kind=1
국토교통부, 전면번호 스티커 시범 운영 통해 이륜차 식별성 높인다,https://www.boannews.com/media/view.asp?idx=138469&page=3&kind=2
SKT 보안 투자 7000억원 충분할까?...CISO들에게 물었다,https://www.boannews.com/media/view.asp?idx=138467&page=3&kind=1
행정안전부, 2025년도 국민 안전교육 실태점검 9개 우수기관 선정,https://www.boannews.com/media/view.asp?idx=138468&page=3&kind=2
[이원태의 글로벌 AI안보 전략-2] 트럼프의 AI패키지 전략과 한국의 선택, ‘전략적 소버린 AI’,https://www.boannews.com/media/view.asp?idx=138466&page=3&kind=1
[인터뷰] 김동준 동곡기정 대표 ‘항공 및 도시 보안 선도하는 제2의 창업 선언’,https://www.boannews.com/media/view.asp?idx=138419&page=3&kind=6
국토교통부, 드론특별자유화구역 전국 67곳으로 대폭 확대,https://www.boannews.com/media/view.asp?idx=138465&page=3&kind=2
“재외국민, 휴대폰 없이도 신원확인 서비스 누리세요”…KISA, 비대면 확인 서비스 강화,https://www.boannews.com/media/view.asp?idx=138464&page=3&kind=2
공공기관 개인정보 보호 역량 강화 나선 KISA, 광주 컨설팅 성료,https://www.boannews.com/media/view.asp?idx=138462&page=3&kind=2
명지대 방산안보연구소-군사정보발전연구소와 기술교류·인재양성 ‘맞손’,https://www.boannews.com/media/view.asp?idx=138463&page=3&kind=3
보안 인재 역량 겨룬다...카스퍼스키{CTF} 보안 대회 등록 시작,https://www.boannews.com/media/view.asp?idx=138459&page=3&kind=3
TP-Link, Matter 기반 에너지 모니터링 기능 지원 펌웨어 업데이트 발표,https://www.boannews.com/media/view.asp?idx=138460&page=3&kind=3
‘청소년 발명 페스티벌’, 내달 2일까지 대전컨벤션센터서,https://www.boannews.com/media/view.asp?idx=138458&page=3&kind=2
중기부, 지역 중소기업의 신속한 인공지능(AI) 활용·확산 동참 광역지방자치단체 모집,https://www.boannews.com/media/view.asp?idx=138457&page=3&kind=2
[AI와 보안] 바이트댄스 AI 코딩 도구 ‘트레이 IDE’, 사용자 감시·데이터 중국 전송 논란 확산,https://www.boannews.com/media/view.asp?idx=138456&page=3&kind=1
류제명 과기정통부 차관, 국내 피지컬 AI 경쟁력 강화 나서...산학연 간담회 개최,https://www.boannews.com/media/view.asp?idx=138452&page=3&kind=2
금융보안원, 금융권 사외이사 대상 ‘금융보안’ 안내 프로그램 실시,https://www.boannews.com/media/view.asp?idx=138455&page=3&kind=2
SGI서울보증 해킹 사태 후속 조치...징벌적 과징금 등 제도 개선 검토,https://www.boannews.com/media/view.asp?idx=138453&page=3&kind=2
개인정보위, 마이데이터 생태계 확산 박차...지원사업 5개과제 선정,https://www.boannews.com/media/view.asp?idx=138454&page=3&kind=2
과기정통부, LG AI연구원 등 AI 인재 양성 사업 수행기관 선정,https://www.boannews.com/media/view.asp?idx=138448&page=3&kind=2
IBM “아태지역 기업들, AI 도입 의지에 비해 준비는 미흡”,https://www.boannews.com/media/view.asp?idx=138450&page=3&kind=3
팔토알토 네트웍스, 사이버아크 27조원 인수 추진…사이버 보안 초대형 M&A,https://www.boannews.com/media/view.asp?idx=138447&page=4&kind=3
KISA, ‘철도 안전’ 분야에도 지능형 CCTV 인증 신설,https://www.boannews.com/media/view.asp?idx=138446&page=4&kind=2
