Title,Link
인스피언, EDI SaaS ‘커넥트 서비스’ 5년 연속 재계약률 97% 돌파,https://www.boannews.com/media/view.asp?idx=138676&page=2&kind=3
콜롬비아대 해킹으로 87만명 개인정보 유출…핵티비스트 소행,https://www.boannews.com/media/view.asp?idx=138674&page=2&kind=1
[특별기고] 디지털 협업 시대, 해킹으로부터 회의를 지키는 방법,https://www.boannews.com/media/view.asp?idx=138664&page=2&kind=6
SK 쉴더스,  블랙햇·데프콘서 글로벌 사이버보안 역량 입증,https://www.boannews.com/media/view.asp?idx=138672&page=2&kind=2
IBM, 랜섬웨어 1분 내 탐지하는 AI 서버 ‘파워11’ 공개,https://www.boannews.com/media/view.asp?idx=138673&page=2&kind=3
앤앤에스피-수산아이앤티, N2SF·제로트러스트 보안 협력,https://www.boannews.com/media/view.asp?idx=138671&page=2&kind=3
“사진 속 그녀 알고 보니 아프리카 남성”…美 법원 로맨스스캠 혐의 가나 국적 3인 체포,https://www.boannews.com/media/view.asp?idx=138670&page=2&kind=1
과기정통부, 과학기술인재 유출 방지·유치 범정부 민관 협력 TF 출범,https://www.boannews.com/media/view.asp?idx=138669&page=2&kind=2
미 법원, “메타, 여성 건강 앱 민감정보 불법 수집했다”...개인정보보호법 위반 인정,https://www.boannews.com/media/view.asp?idx=138667&page=2&kind=1
[배종찬의 보안 빅데이터] 구글의 정밀지도 요구, 왜 문제인가,https://www.boannews.com/media/view.asp?idx=138666&page=2&kind=1
또 덮친 국가배후 해킹…“사이버안보비서관·국정원 3차장 인선 시급”,https://www.boannews.com/media/view.asp?idx=138663&page=2&kind=1
지온컨설팅, WIPO 日-英 번역사업 재선정...亞 유일 복수언어 동시 수행기관 등극,https://www.boannews.com/media/view.asp?idx=138665&page=3&kind=1
IP전문가 첫 걸음, ‘지식재산학사’ 취득...지식재산학 수강생 모집,https://www.boannews.com/media/view.asp?idx=138662&page=3&kind=1
IP가 AI를 만나면 벌어지는 일...‘IPCON’서 확인하세요,https://www.boannews.com/media/view.asp?idx=138660&page=3&kind=1
[AI와 보안] GPT-5, 출시 일주일도 안돼 ‘에코 챔버’ 공격으로 안전장치 뚫려,https://www.boannews.com/media/view.asp?idx=138659&page=3&kind=1
제이커넥트-트루컷시큐리티 ‘핵씨 캠페인’ 통해 PC 해킹 알리미 무료 배포,https://www.boannews.com/media/view.asp?idx=138658&page=3&kind=3
노르마, 양자 컴퓨터 해커톤 ‘퀀텀 AI 경진대회’ 본선 개최,https://www.boannews.com/media/view.asp?idx=138657&page=3&kind=3
총상금 4300만원 ‘2025 사이버안보 논문공모전’ 개최,https://www.boannews.com/media/view.asp?idx=138656&page=3&kind=2
스패로우, 공급망 보안 솔루션 ‘스패로우 엔터프라이즈’ CC 인증 획득,https://www.boannews.com/media/view.asp?idx=138655&page=3&kind=3
두 번 똑같이 당하진 않는다?...예스24, 7시간 만에 복구 완료,https://www.boannews.com/media/view.asp?idx=138654&page=3&kind=1
구글, 보이스피싱 당해 광고 고객 250만명 정보 유출,https://www.boannews.com/media/view.asp?idx=138653&page=3&kind=1
[ISEC 2025 미리보기] 에어코드, 제로트러스트 기반 웹 가상화 보안 솔루션 ‘AirRBI’,https://www.boannews.com/media/view.asp?idx=138622&page=3&kind=3
KISA, 예스24 2차 랜섬웨어 조사 착수...“기존 조치 상황도 면밀히 살피겠다”,https://www.boannews.com/media/view.asp?idx=138652&page=3&kind=1
