Title,Link
제조업, 랜섬웨어 감염 ‘속출’..주의!,https://www.boannews.com/media/view.asp?idx=136275&page=1&kind=1
멜론 티켓 사칭 피싱 주의!,https://www.boannews.com/media/view.asp?idx=136268&page=1&kind=1
[카드뉴스] 中 해커, 美 정부 공격!!,https://www.boannews.com/media/view.asp?idx=136272&page=1&kind=1
[오늘의 보안 영어] above the fray,https://www.boannews.com/media/view.asp?idx=136271&page=1&kind=1
[월드시큐 황.당.사] 北 정찰총국장 이창호, EU 제재 外,https://www.boannews.com/media/view.asp?idx=136270&page=1&kind=1
[bnTV] 시장은 ‘회복세’... 코스피  ‘방긋’ 5개월 만에 최고치,https://www.boannews.com/media/view.asp?idx=136263&page=1&kind=3
[유경동의 IP전략] 특허로 본 CES 2025,https://www.boannews.com/media/view.asp?idx=136257&page=1&kind=6
세종대&산·학·연 조찬 포럼, ‘사이버보안 고도화 전략’ 주제로 개최,https://www.boannews.com/media/view.asp?idx=136264&page=1&kind=3
[기자수첩] 이토록 귀찮은 보안,https://www.boannews.com/media/view.asp?idx=136258&page=1&kind=6
KISIA,  ‘자율보안 체계 확립’ 나서,https://www.boannews.com/media/view.asp?idx=136261&page=1&kind=2
KISIA, ‘시큐리티 아카데미’ 5기 교육,https://www.boannews.com/media/view.asp?idx=136277&page=1&kind=2
[부고] 김요셉 티웨이항공 CISO 부친상,https://www.boannews.com/media/view.asp?idx=136276&page=1&kind=1
넷앤드, ‘AWS 파트너 소프트웨어 패스’ 획득.. 클라우드 협력 강화,https://www.boannews.com/media/view.asp?idx=136269&page=1&kind=3
스냅태그, 디지털 교재 ‘쏠북’에 워터마크 적용,https://www.boannews.com/media/view.asp?idx=136274&page=1&kind=3
과기정통부, ‘데이터 품질인증 가이드라인’ 발간,https://www.boannews.com/media/view.asp?idx=136273&page=1&kind=1
과기정통부-디플정위 ‘AI 기반’ 성범죄 대응 등 추진,https://www.boannews.com/media/view.asp?idx=136267&page=1&kind=2
안랩, ‘지능형 로봇’ 사이버 위협 예방,https://www.boannews.com/media/view.asp?idx=136266&page=1&kind=3
리얼시큐, ‘사칭메일차단시스템’ 우수조달물품 선정,https://www.boannews.com/media/view.asp?idx=136265&page=1&kind=3
사회공헌재단 ’새활용컴퓨터‘로 개도국 지원,https://www.boannews.com/media/view.asp?idx=136262&page=1&kind=1
[배종찬의 보안 빅데이터] 중국산 ‘로봇 청소기’ 정보 유출, 과연 사실일까,https://www.boannews.com/media/view.asp?idx=136260&page=1&kind=1
해외사업자, 韓 법인에 ‘국내대리인’ 지정해야..개보위, 法 개정,https://www.boannews.com/media/view.asp?idx=136259&page=1&kind=2
조용현 싸이터 대표 “해양사이버보안, 올해부터 본격 개화”,https://www.boannews.com/media/view.asp?idx=136251&page=1&kind=3
ESG서울포럼 “서울, 지속 가능한 혁신도시로”,https://www.boannews.com/media/view.asp?idx=136256&page=1&kind=3
센스톤-앤앤에스피, OT 보안 인증 고도화 맞손,https://www.boannews.com/media/view.asp?idx=136248&page=1&kind=3
금보원, 제로트러스트 논문 ‘SCIE 국제 저널’ 채택,https://www.boannews.com/media/view.asp?idx=136255&page=1&kind=2
