Title,Link
[오늘의 보안 영어] above the fray,https://www.boannews.com/media/view.asp?idx=136271&page=1&kind=1
[bnTV] 시장은 ‘회복세’... 코스피  ‘방긋’ 5개월 만에 최고치,https://www.boannews.com/media/view.asp?idx=136263&page=1&kind=3
[유경동의 IP전략] 특허로 본 CES 2025,https://www.boannews.com/media/view.asp?idx=136257&page=1&kind=6
세종대&산·학·연 조찬 포럼, ‘사이버보안 고도화 전략’ 주제로 개최,https://www.boannews.com/media/view.asp?idx=136264&page=1&kind=3
[기자수첩] 이토록 귀찮은 보안,https://www.boannews.com/media/view.asp?idx=136258&page=1&kind=6
KISIA,  ‘자율보안 체계 확립’ 나서,https://www.boannews.com/media/view.asp?idx=136261&page=1&kind=2
[배종찬의 보안 빅데이터] 중국산 ‘로봇 청소기’ 정보 유출, 과연 사실일까,https://www.boannews.com/media/view.asp?idx=136260&page=1&kind=1
조용현 싸이터 대표 “해양사이버보안, 올해부터 본격 개화”,https://www.boannews.com/media/view.asp?idx=136251&page=1&kind=3
랜섬웨어 조직 내부정보 유출..불평·험담 가득,https://www.boannews.com/media/view.asp?idx=136244&page=1&kind=1
[월드시큐 황.당.사] MS 365 노리는 거대 봇넷 外,https://www.boannews.com/media/view.asp?idx=136249&page=1&kind=1
과기정통부-디플정위 ‘AI 기반’ 성범죄 대응 등 추진,https://www.boannews.com/media/view.asp?idx=136267&page=1&kind=2
안랩, ‘지능형 로봇’ 사이버 위협 예방,https://www.boannews.com/media/view.asp?idx=136266&page=1&kind=3
리얼시큐, ‘사칭메일차단시스템’ 우수조달물품 선정,https://www.boannews.com/media/view.asp?idx=136265&page=1&kind=3
사회공헌재단 ’새활용컴퓨터‘로 개도국 지원,https://www.boannews.com/media/view.asp?idx=136262&page=1&kind=1
해외사업자, 韓 법인에 ‘국내대리인’ 지정해야..개보위, 法 개정,https://www.boannews.com/media/view.asp?idx=136259&page=1&kind=2
ESG서울포럼 “서울, 지속 가능한 혁신도시로”,https://www.boannews.com/media/view.asp?idx=136256&page=1&kind=3
센스톤-앤앤에스피, OT 보안 인증 고도화 맞손,https://www.boannews.com/media/view.asp?idx=136248&page=1&kind=3
금보원, 제로트러스트 논문 ‘SCIE 국제 저널’ 채택,https://www.boannews.com/media/view.asp?idx=136255&page=1&kind=2
2025년 제1회 국가공인 영상정보관리사 자격시험 시행..원서접수 이달말까지,https://www.boannews.com/media/view.asp?idx=136246&page=1&kind=3
SKT, MWC25서 “AI활용..사이버 금융범죄 피해 줄일 것”,https://www.boannews.com/media/view.asp?idx=136247&page=1&kind=1
샌즈랩, 파트너사에 유통 일임..R&D 집중 포석,https://www.boannews.com/media/view.asp?idx=136252&page=1&kind=3
국회, AI전환 연대회의 구성..AI미래 준비,https://www.boannews.com/media/view.asp?idx=136253&page=1&kind=3
모니터랩, ‘데이터바우처 지원사업’ 공급기업 선정,https://www.boannews.com/media/view.asp?idx=136254&page=1&kind=3
[오늘의 보안 영어] raise the bar,https://www.boannews.com/media/view.asp?idx=136250&page=1&kind=4
SK하이닉스, 직원 개인정보 처리..판례·가이드라인상 위법,https://www.boannews.com/media/view.asp?idx=136245&page=1&kind=1
유출 피해 中 보안업체, 알고보니 해킹 앞잡이,https://www.boannews.com/media/view.asp?idx=136242&page=1&kind=1
AI 교육서 창업까지..구로 교육기술센터 개소,https://www.boannews.com/media/view.asp?idx=136243&page=1&kind=2
금보원, 핀테크 대상 보안 점검한다,https://www.boannews.com/media/view.asp?idx=136236&page=1&kind=2
엑스게이트-건양대, 국방인재 양성 맞손,https://www.boannews.com/media/view.asp?idx=136241&page=1&kind=3
ETRI, 스마트시티·시티버스 ‘국제표준화’ 주도,https://www.boannews.com/media/view.asp?idx=136237&page=1&kind=1
[월드시큐 황.당.사] MS 파워페이지서 발견된 취약점 外,https://www.boannews.com/media/view.asp?idx=136238&page=2&kind=1
제네텍, 복합 워크로드 어플라이언스 ‘Cloudlink 210’ 출시,https://www.boannews.com/media/view.asp?idx=136239&page=2&kind=3
“30원만 주세요. 다 찾아 드려요.”..KAIST, AI ‘개인정보 악용’ 가능성 입증,https://www.boannews.com/media/view.asp?idx=136240&page=2&kind=1
노르마, 계산 필요없는 ‘양자 방법론’ 개발,https://www.boannews.com/media/view.asp?idx=136235&page=2&kind=3
LG CNS, 금융권 특화 AI평가툴 공개,https://www.boannews.com/media/view.asp?idx=136234&page=2&kind=3
암호화폐, 반복되는 ‘모럴 해저드’,https://www.boannews.com/media/view.asp?idx=136233&page=2&kind=1
이통 3사, MWC서  ‘AI보안’ 뽐낸다,https://www.boannews.com/media/view.asp?idx=136230&page=2&kind=3
[미리보는 eGISEC 2025] MDS인텔리전스,https://www.boannews.com/media/view.asp?idx=136096&page=2&kind=3
[미리보는 eGISEC 2025] 이스트시큐리티,https://www.boannews.com/media/view.asp?idx=136173&page=2&kind=3
검열 벗은 R1 변종, 中 민감 답변도 ‘술술’,https://www.boannews.com/media/view.asp?idx=136228&page=2&kind=1
2조원대 ‘사상 최대’ 이더리움 해킹..北 라자루스 지목,https://www.boannews.com/media/view.asp?idx=136229&page=2&kind=1
[미리보는 eGISEC 2025] 아이티스테이션,https://www.boannews.com/media/view.asp?idx=136077&page=2&kind=3
[미리보는 eGISEC 2025] 아이티로그인,https://www.boannews.com/media/view.asp?idx=136076&page=2&kind=3
[미리보는 eGISEC 2025] 아이넵,https://www.boannews.com/media/view.asp?idx=136075&page=2&kind=3
[미리보는 eGISEC 2025] 시큐어키,https://www.boannews.com/media/view.asp?idx=136072&page=2&kind=3
[미리보는 eGISEC 2025] 시큐어레터,https://www.boannews.com/media/view.asp?idx=136071&page=2&kind=3
[미리보는 eGISEC 2025] 시큐레이어,https://www.boannews.com/media/view.asp?idx=136070&page=2&kind=3
[미리보는 eGISEC 2025] 시만텍,https://www.boannews.com/media/view.asp?idx=136069&page=2&kind=3
[미리보는 eGISEC 2025] 스플래시탑,https://www.boannews.com/media/view.asp?idx=136068&page=2&kind=3
[미리보는 eGISEC 2025] 스패로우,https://www.boannews.com/media/view.asp?idx=136067&page=2&kind=3
[미리보는 eGISEC 2025] 스냅태그,https://www.boannews.com/media/view.asp?idx=136066&page=3&kind=3
[미리보는 eGISEC 2025] 소프트캠프,https://www.boannews.com/media/view.asp?idx=136065&page=3&kind=3
[미리보는 eGISEC 2025] 센스톤,https://www.boannews.com/media/view.asp?idx=136064&page=3&kind=3
[미리보는 eGISEC 2025] 세이퍼존,https://www.boannews.com/media/view.asp?idx=136063&page=3&kind=3
[미리보는 eGISEC 2025] 삼오씨엔에스,https://www.boannews.com/media/view.asp?idx=136061&page=3&kind=3
[미리보는 eGISEC 2025] 블루문소프트,https://www.boannews.com/media/view.asp?idx=136060&page=3&kind=3
[배종찬의 보안 빅데이터] 트럼프도 못 막는 중국의 ‘제로데이’ 공격,https://www.boannews.com/media/view.asp?idx=136227&page=3&kind=1
인텔리빅스-통일안보전략연구소, 국방 분야 ‘맞손’,https://www.boannews.com/media/view.asp?idx=136226&page=3&kind=3
공공갈등관리협, 창립총회..이창무 초대 회장, “공공갈등, 국가경쟁력 피해 심각”,https://www.boannews.com/media/view.asp?idx=136225&page=3&kind=2
[카드뉴스] 구글서 ‘교회’ 검색시, ‘교인’ 정보까지..개인정보 노출 문제!,https://www.boannews.com/media/view.asp?idx=136223&page=3&kind=1
산업보안한림원, 2025 상반기 정기총회 개최,https://www.boannews.com/media/view.asp?idx=136219&page=3&kind=2
[월드시큐 황.당.사] 프리랜서 개발자 노리는 북한 해커들 外,https://www.boannews.com/media/view.asp?idx=136220&page=3&kind=1
