Title,Link
[배종찬의 보안 빅데이터] 당신의 ‘비밀번호’는 안전한가요?,https://www.boannews.com/media/view.asp?idx=135761&page=2&kind=5
‘SK스토아·동행복권’, 과징금 19.4억...고객정보 털려,https://www.boannews.com/media/view.asp?idx=135759&page=2&kind=2
LG U+, “설 명절 ‘스미싱’ 범죄 주의하세요”,https://www.boannews.com/media/view.asp?idx=135758&page=3&kind=3
4000만 고객정보 中에 넘겨, 카카오페이·애플 ‘과징금 83억’,https://www.boannews.com/media/view.asp?idx=135757&page=3&kind=2
TTA, 국내 첫 ‘QKD 확인서’ 내놔,https://www.boannews.com/media/view.asp?idx=135756&page=3&kind=2
[오늘의 보안 영어] get behind,https://www.boannews.com/media/view.asp?idx=135752&page=3&kind=1
[부고] 이용승 팔로알토네트웍스 코리아 이사 부친상,https://www.boannews.com/media/view.asp?idx=135751&page=3&kind=1
유니온커뮤니티, 두바이 ‘인터섹2025’서 건강관리 솔루션 등 선뵈,https://www.boannews.com/media/view.asp?idx=135750&page=3&kind=3
[인터뷰] 장성민 세이퍼존 신임 CTO, “있는지도 몰라야, 진정한 ‘보안’ 서비스”,https://www.boannews.com/media/view.asp?idx=135745&page=3&kind=3
구글 ‘교회’ 검색시, ‘교인’  정보까지... 개인정보 노출 충격,https://www.boannews.com/media/view.asp?idx=135726&page=3&kind=1
금융보안원, “금융·백신 사칭앱 주의...개인정보 탈취 돈 가로채”,https://www.boannews.com/media/view.asp?idx=135749&page=3&kind=1
[인사] 한국인터넷진흥원(KISA),https://www.boannews.com/media/view.asp?idx=135748&page=3&kind=3
[기자수첩] 트럼프 2.0 시대, 민주주의를 아끼다가,https://www.boannews.com/media/view.asp?idx=135740&page=3&kind=1
‘유명’과 ‘무료’의 역습 : 젠데스크 피싱 주의보,https://www.boannews.com/media/view.asp?idx=135747&page=3&kind=1
중앙대 융합보안대학원, 창립 10주년 기념행사 열려,https://www.boannews.com/media/view.asp?idx=135746&page=3&kind=3
휴네시온, 지자체 7곳에 2500만원 기부,https://www.boannews.com/media/view.asp?idx=135744&page=3&kind=3
국가바이오위 출범, “바이오, 제2의 반도체”,https://www.boannews.com/media/view.asp?idx=135763&page=3&kind=2
사이버수사대, 텔레그램 ‘자경단’ 검거... 200여명 성착취 혐의,https://www.boannews.com/media/view.asp?idx=135743&page=3&kind=1
다화테크놀로지, 클라우드 솔루션 ‘다후아 DoLunk Cloud’ 출시,https://www.boannews.com/media/view.asp?idx=135723&page=3&kind=3
국정원, ‘국가 망 보안체계’ 정책 제시...N²SF 가이드라인 발표,https://www.boannews.com/media/view.asp?idx=135736&page=3&kind=2
카스퍼스키, 북한발 新악성코드 발견,https://www.boannews.com/media/view.asp?idx=135742&page=3&kind=5
[음악&보안] 알고 보면 발라드의 귀재였던 댄스 그룹 쿨과 보안의 미래,https://www.boannews.com/media/view.asp?idx=135615&page=3&kind=1
[부고] 조용만 비즈워치 이사회의장 모친상,https://www.boannews.com/media/view.asp?idx=135737&page=4&kind=1
외교부 홈페이지, 지란지교 ‘웹 에디터’로 만든다,https://www.boannews.com/media/view.asp?idx=135735&page=4&kind=3
[오늘의 보안 영어] on hand,https://www.boannews.com/media/view.asp?idx=135734&page=4&kind=1
설 앞두고...악성앱 공격 2.5배 ↑,https://www.boannews.com/media/view.asp?idx=135733&page=4&kind=3
나온웍스 ‘보안솔루션 사업화’, 국가R&D 우수성과 100에 꼽혀,https://www.boannews.com/media/view.asp?idx=135729&page=4&kind=2
어릴 적 흑역사 삭제, 지우개서비스 1.5배↑,https://www.boannews.com/media/view.asp?idx=135732&page=4&kind=2
Omada, 고성능 멀티모드 광트랜시버 출시,https://www.boannews.com/media/view.asp?idx=135731&page=4&kind=3
[사람과 보안] 미국이 두려워하는 중국 ‘산업스파이’들의 정체,https://www.boannews.com/media/view.asp?idx=135730&page=4&kind=6
[부고] 문재웅 세종대 교수, 빙모상,https://www.boannews.com/media/view.asp?idx=135727&page=4&kind=1
우주안보학회, 신년 인사회 개최...학술대회 등 계획,https://www.boannews.com/media/view.asp?idx=135724&page=4&kind=2
작년 한 해, 도난 비번 ‘10억개’,https://www.boannews.com/media/view.asp?idx=135722&page=4&kind=1
아카라라이프, ‘스마트 인테리어 컨설팅’ 출시,https://www.boannews.com/media/view.asp?idx=135721&page=4&kind=3
슈프리마 ‘2025 Emerging AI+X TOP 100’에 꼽혀,https://www.boannews.com/media/view.asp?idx=135719&page=4&kind=3
프라이빗테크 ‘접근제어 솔루션’, KISA 인증 획득,https://www.boannews.com/media/view.asp?idx=135717&page=4&kind=3
정부 R&D 29.6조, AI-반도체·양자 등에 집중,https://www.boannews.com/media/view.asp?idx=135718&page=4&kind=2
윈스, 경북ICT클라우드협회와 클라우드 보안 구축 MOU,https://www.boannews.com/media/view.asp?idx=135716&page=4&kind=3
과기정통부-TTA, ‘AI 워터마크’ 기술동향 보고서 발간,https://www.boannews.com/media/view.asp?idx=135715&page=4&kind=2
SKT, 설 연휴 디도스·스미싱 등 보안강화 나서,https://www.boannews.com/media/view.asp?idx=135714&page=4&kind=3
[인터뷰] 이대성 신임 정보통신학회장 “사이버보안, 정보통신의 근간...뗄 수 없어”,https://www.boannews.com/media/view.asp?idx=135705&page=4&kind=3
큐냅 NAS OS서 ‘RCE’ 취약점 발견,https://www.boannews.com/media/view.asp?idx=135702&page=4&kind=1
유니온커뮤니티, 글로벌 파트너 컨퍼런스...성장전략 공개,https://www.boannews.com/media/view.asp?idx=135710&page=5&kind=3
LGU+, ‘보안’ 보상 결합요금제 출시,https://www.boannews.com/media/view.asp?idx=135709&page=5&kind=3
개인정보위, 개인정보보호 교육 전문강사 위촉,https://www.boannews.com/media/view.asp?idx=135711&page=5&kind=2
안녕, 바이든! 두고 간 ‘보안’ 행정명령은 잘 볼게요~,https://www.boannews.com/media/view.asp?idx=135713&page=5&kind=1
[오늘의 보안 영어] take heed,https://www.boannews.com/media/view.asp?idx=135712&page=5&kind=1
[기자수첩] 시위현장, 노점상은 경영천재,https://www.boannews.com/media/view.asp?idx=135696&page=5&kind=6
항공보안협, 대학생 항공보안 체험 프로그램 진행,https://www.boannews.com/media/view.asp?idx=135708&page=5&kind=3
이스트시큐리티, 안전한 설 명절 보안수칙 TOP5,https://www.boannews.com/media/view.asp?idx=135707&page=5&kind=3
신규 등장 ‘피싱 키트’, 중간자 공격 메커니즘 탑재,https://www.boannews.com/media/view.asp?idx=135706&page=5&kind=1
CISO협의회, 총회 개최...신년인사 및 AI특강 이어져,https://www.boannews.com/media/view.asp?idx=135704&page=5&kind=2
KIIA, 신년 총회..신임 이사장 황정현 아이닉스 대표,https://www.boannews.com/media/view.asp?idx=135703&page=5&kind=3
[긴급] 포티게이트 방화벽 설정파일 1만5000개 유출, IP 주소 확인 필요,https://www.boannews.com/media/view.asp?idx=135701&page=5&kind=1
센스톤-엔엔에스피, 인증 보안 맞손,https://www.boannews.com/media/view.asp?idx=135700&page=5&kind=3
[동정] 유 과기정통부 장관, CES 혁신상 수상기업과 AX 경쟁력 강화,https://www.boannews.com/media/view.asp?idx=135699&page=5&kind=2
씨프로 IP 카메라, TTA 인증 획득,https://www.boannews.com/media/view.asp?idx=135693&page=5&kind=3
이글루, AI산업협 ‘이머징 AI+X 톱 100 기업’ 피선,https://www.boannews.com/media/view.asp?idx=135694&page=5&kind=3
다후아, ‘RED 사이버보안 인증’ 취득,https://www.boannews.com/media/view.asp?idx=135698&page=5&kind=3
S2W, 탐라에 ‘산업용 AI플랫폼’ 구축 추진,https://www.boannews.com/media/view.asp?idx=135692&page=5&kind=3
[오늘의 보안 영어] take by storm,https://www.boannews.com/media/view.asp?idx=135695&page=5&kind=1
지란지교 ‘VADA 4.0’, 조달청 등록,https://www.boannews.com/media/view.asp?idx=135690&page=5&kind=3
