Title,Link
[유경동의 IP전략] 운동화에 특허스위치, ON!,https://www.boannews.com/media/view.asp?idx=137590&page=1&kind=3
[정책제언] 한국인공지능협회, 民주도·官조력 ‘보안’ 전환 기대,https://www.boannews.com/media/view.asp?idx=137586&page=1&kind=2
[정책제언] “국방·금융·정보통신 등 민간과 공공 아우를 거버넌스 절실”,https://www.boannews.com/media/view.asp?idx=137584&page=1&kind=2
中 역대 최대 40억건 개인정보 유출...알리페이·위챗 정보  고스란히,https://www.boannews.com/media/view.asp?idx=137581&page=1&kind=1
[정책제언] 한국정보공학기술사회, 국가 경쟁력의 열쇠 ‘AI·보안·양자’,https://www.boannews.com/media/view.asp?idx=137580&page=1&kind=1
SKT 사고로 주목받는 ‘사이버보험’... 중소기업 시장 확대 기대감↑,https://www.boannews.com/media/view.asp?idx=137535&page=1&kind=3
[카드뉴스] 우리 전자기기 위협하는 ‘멀웨어’,https://www.boannews.com/media/view.asp?idx=137578&page=1&kind=1
[2024 개인정보보호 우수사례-4] 한국마사회, 온라인 마권발매 환경에 발맞춰 역량 대폭 강화,https://www.boannews.com/media/view.asp?idx=137573&page=1&kind=2
[2025 개인정보보호 우수사례-3] 에스알, 무사고 운행 8년... 개인정보보호도 무사고 목표,https://www.boannews.com/media/view.asp?idx=137554&page=1&kind=2
[이슈칼럼] 기업 보안 재검토, 사이버 복원력을 위한 ‘액션플랜’-2편,https://www.boannews.com/media/view.asp?idx=137571&page=1&kind=6
SK쉴더스, 민기식 신임 대표 내정,https://www.boannews.com/media/view.asp?idx=137588&page=1&kind=3
티피링크 VIGI, 중소기업용 스마트 보안 강화 위한 ‘VIGI 5MP 풀컬러 카메라’ 2종 출시,https://www.boannews.com/media/view.asp?idx=137583&page=1&kind=3
명지대-국방전산정보원, 국방·안보 분야 기술 협력 및 인력 양성 ‘맞손’,https://www.boannews.com/media/view.asp?idx=137582&page=1&kind=1
위덱스정보기술, 멘로시큐리티와 총판 파트너십 체결,https://www.boannews.com/media/view.asp?idx=137579&page=1&kind=3
이스트시큐리티, ‘AI 기반 보안 전문가’ 자격증 교육 과정 출시,https://www.boannews.com/media/view.asp?idx=137577&page=1&kind=3
조달청, 다수공급자계약제도 규제혁신으로 기업 부담 경감,https://www.boannews.com/media/view.asp?idx=137576&page=1&kind=2
SKT 등 韓 이통사, 보안기술력 허약...中 대비 특허 18배↓,https://www.boannews.com/media/view.asp?idx=137572&page=1&kind=1
공정위, 기술자료 유용한 두원공조에 과징금 3.9억,https://www.boannews.com/media/view.asp?idx=137570&page=1&kind=2
은행·포털서도 모바일 신분증 발급...행안부, 참여기업 공모,https://www.boannews.com/media/view.asp?idx=137569&page=1&kind=2
해킹 대처도 男女 달라...KAIST, 성별 따른 디지털 격차 규명,https://www.boannews.com/media/view.asp?idx=137567&page=1&kind=5
KISA, ‘핵더챌린지 버그바운티 시즌1’ 참가자 모집,https://www.boannews.com/media/view.asp?idx=137566&page=1&kind=2
[부고] 임창균 한국인터넷정보학회 부회장 부친상,https://www.boannews.com/media/view.asp?idx=137568&page=1&kind=1
삼성, 스마트폰 보안 강화...‘One UI 7’ 업데이트,https://www.boannews.com/media/view.asp?idx=137565&page=1&kind=3
[2025 개인정보보호 우수사례-2] 한국가스공사, 2000만 천연가스 공급 세대 위한 개인정보보호 날갯짓,https://www.boannews.com/media/view.asp?idx=137553&page=1&kind=2
[이슈칼럼] ISO 인증을 통한 개인정보보호 강화방안,https://www.boannews.com/media/view.asp?idx=137503&page=1&kind=6
[배종찬의 보안 빅데이터] 이재명 정부의 ‘AI 강국’ 달성 위한 사이버 보안,https://www.boannews.com/media/view.asp?idx=137564&page=1&kind=2
북한 인터넷 대규모 접속 장애…“사이버 공격보다는 내부 문제”,https://www.boannews.com/media/view.asp?idx=137562&page=1&kind=1
중국 양자 통신 위성 ‘모쯔’ 해킹 가능성 제기,https://www.boannews.com/media/view.asp?idx=137560&page=1&kind=4
한국연구재단 논문투고 시스템 ‘잼스’ 해킹 시도,https://www.boannews.com/media/view.asp?idx=137559&page=1&kind=1
[2025 개인정보보호 우수사례-1] 강원랜드, 카지노·리조트·레저 고객 민감정보 1200만건 촘촘한 보호,https://www.boannews.com/media/view.asp?idx=137552&page=1&kind=2
[이슈칼럼] AI 기반 지능형 CCTV! 이제 안전한 영상정보 관리체계는 선택 아닌 필수,https://www.boannews.com/media/view.asp?idx=137501&page=2&kind=2
모바일 쿠폰 앱 일상카페 해킹...고객정보 16종 유출,https://www.boannews.com/media/view.asp?idx=137558&page=2&kind=1
갈라선 트럼프-머스크, “우주 사업 정부 계약 취소” vs “내가 먼저 절수”,https://www.boannews.com/media/view.asp?idx=137557&page=2&kind=2
서울시, 사이버보안 조례 제정...사이버 위협 대응 강화,https://www.boannews.com/media/view.asp?idx=137556&page=2&kind=2
오마다, 2.5G 멀티기가·10G 업링크 지원 스위치로 중소형 네트워크 시장 공략,https://www.boannews.com/media/view.asp?idx=137549&page=2&kind=3
미국 이통사 AT&T 고객정보 8600만건 온라인 공개...사회보장번호 고스란히,https://www.boannews.com/media/view.asp?idx=137550&page=2&kind=1
대선 끝...국정원 사이버위기 경보 단계 ‘주의’ → ‘관심’ 하향 조정,https://www.boannews.com/media/view.asp?idx=137555&page=2&kind=2
