Title,Link
크림슨 합창단, 제3회 정기연주회 성료…‘소망으로 물들고, 사랑으로 빛나다’,https://www.boannews.com/media/view.asp?idx=137487&page=1&kind=2
중국 해커 그룹, 구글 캘린더 이벤트 이용해 해킹 공격,https://www.boannews.com/media/view.asp?idx=137486&page=1&kind=1
한국항공보안학회, 2025년 제1차 항공보안포럼 개최,https://www.boannews.com/media/view.asp?idx=137483&page=1&kind=1
빅토리아 시크릿, 해킹 당한 건 안 비밀!...업무 차질, 홈페이지 일시 중단,https://www.boannews.com/media/view.asp?idx=137482&page=1&kind=1
산업보안한림원, 신임 회장에 법무법인 태평양 강기중 변호사 선임,https://www.boannews.com/media/view.asp?idx=137476&page=1&kind=3
스팸문자 발송 사업자, 퇴출 강화..과기정통부, 관련 시행령 개정안 입법,https://www.boannews.com/media/view.asp?idx=137473&page=1&kind=2
스페이스X 스타링크 위성통신, 국내서도 이용...과기정통부, 관련 협정 승인,https://www.boannews.com/media/view.asp?idx=137471&page=1&kind=2
인스피언, SAP ERP용 연계정보 보안 기능 강화,https://www.boannews.com/media/view.asp?idx=137475&page=1&kind=3
“피할 곳 없다”...경찰, 해외 도피 가상자산 투자 사기범 체포,https://www.boannews.com/media/view.asp?idx=137477&page=1&kind=1
해외 기업, 우리 국민 개인정보 보호 외면 안 돼...국내대리인 요건 구체화,https://www.boannews.com/media/view.asp?idx=137479&page=1&kind=2
KT텔레캅, 연세대 송도 캠퍼스에 ‘AI 통합 상황실’ 구축,https://www.boannews.com/media/view.asp?idx=137484&page=1&kind=3
SGA솔루션즈 클라우드 보안 솔루션, GS인증 1등급 획득,https://www.boannews.com/media/view.asp?idx=137478&page=1&kind=3
문앞 택배 안심...LGU+, 현관문 CCTV 도어캠 출시,https://www.boannews.com/media/view.asp?idx=137480&page=1&kind=2
강원도, 도내 18개 시군 통합 사이버 보안관제 체계 만든다,https://www.boannews.com/media/view.asp?idx=137481&page=1&kind=2
[사람과 보안] “보안의 경계가 무너지고 있다” SKT 사태가 던진 경고,https://www.boannews.com/media/view.asp?idx=137472&page=1&kind=1
한국재난안전경영협회, “韓 스마트시티 기술 전세계 전파해야”,https://www.boannews.com/media/view.asp?idx=137474&page=1&kind=3
넷앤드, ‘2025 파트너 데이’ 성공 개최... 파트너 동반성장 비전 제시,https://www.boannews.com/media/view.asp?idx=137470&page=1&kind=3
스피어AX 베트남 법인 공식 출범, 현지화 전략으로 수출 본격화,https://www.boannews.com/media/view.asp?idx=137469&page=1&kind=3
ADT캡스, AI 음성·음원 분석 기술 활용해 무인 주차장 안전 강화,https://www.boannews.com/media/view.asp?idx=137468&page=1&kind=3
[2025 산불 화재 감지 제품&솔루션 리포트] 재앙 막는 ‘착한 기술’, 산불 감지 제품·솔루션,https://www.boannews.com/media/view.asp?idx=137464&page=1&kind=3
2025년 6월, 보안업계 어떤 인재 찾고 있나?,https://www.boannews.com/media/view.asp?idx=137455&page=1&kind=3
시스코, 아이덴티티 보안 솔루션 ‘듀오 IAM’ 선보여,https://www.boannews.com/media/view.asp?idx=137467&page=1&kind=3
스패로우, “SBOM 활용해 공급망 보안 강화”,https://www.boannews.com/media/view.asp?idx=137463&page=1&kind=3
챗GPT에 파일 올렸을 뿐인데...내 원드라이브 다 노출된다고?,https://www.boannews.com/media/view.asp?idx=137462&page=1&kind=1
우리 회사에 꼭 필요한 ‘개인정보보호 솔루션’을 만나다,https://www.boannews.com/media/view.asp?idx=137460&page=1&kind=3
쿠도커뮤니케이션, Adobe Summit Korea 참가,https://www.boannews.com/media/view.asp?idx=137457&page=1&kind=3
오리엔텀-연세대-KB국민은행, 양자 기술로 금융 모델링 혁신 나서,https://www.boannews.com/media/view.asp?idx=137459&page=1&kind=3
노르마-분당서울대병원, 양자 기술로 유전체 분석 능력 높인다,https://www.boannews.com/media/view.asp?idx=137458&page=1&kind=3
페이스북 사칭 광고, 얼굴 인식으로 잡는다...내 프로필 사진 정보 가져가 비교한다고?,https://www.boannews.com/media/view.asp?idx=137456&page=1&kind=2
이스트시큐리티-한국인공지능협회, AI 보안 자격증 만든다,https://www.boannews.com/media/view.asp?idx=137454&page=1&kind=3
지능형 해킹 막는 NDR·OpenXDR 심층 분석...씨큐비스타, 보안 보고서 발간,https://www.boannews.com/media/view.asp?idx=137453&page=2&kind=3
팔로알토 네트웍스, 국내 기업에 ‘사이버 침해 무료진단 서비스’ 제공,https://www.boannews.com/media/view.asp?idx=137451&page=2&kind=3
