Title,Link
사이버안보연구소-숭실대 AI안전성연구센터, AI안보와 국제경쟁력 제고 모색,https://www.boannews.com/media/view.asp?idx=137750&page=2&kind=2
[카드뉴스] 삼성·구글 동시 경고! 6월 보안 업데이트 패치 배포,https://www.boannews.com/media/view.asp?idx=137748&page=2&kind=1
공개가 곧 방어...시큐아이, 버그바운티로 보안 사각 해소,https://www.boannews.com/media/view.asp?idx=137745&page=2&kind=1
카스퍼스키 “대금청구서 위장 악성코드 주의”,https://www.boannews.com/media/view.asp?idx=137746&page=2&kind=1
이스트소프트, 온디바이스 AI 휴먼 키오스크 선봬..앨런 LLM 납품,https://www.boannews.com/media/view.asp?idx=137743&page=2&kind=3
생성형 AI에 문서중앙화 연동까지...엠클라우독, ‘아이채터’ 출시 세미나 개최,https://www.boannews.com/media/view.asp?idx=137740&page=2&kind=1
넷스코프 “한국, 중요한 시장”…‘넷스코프 원’으로 한국 SASE·SSE 시장 공략 강화,https://www.boannews.com/media/view.asp?idx=137741&page=2&kind=5
SKT 집단분쟁조정 3510명 참여...개인정보위, 4건 중 2건 개시,https://www.boannews.com/media/view.asp?idx=137744&page=3&kind=1
SK쉴더스 “국내 대학·공공·기업, 전세계 랜섬웨어 그룹의 주요 타깃”,https://www.boannews.com/media/view.asp?idx=137742&page=3&kind=1
개인정보 안전관리 체계 강화, 현장 CISO 목소리 듣는다,https://www.boannews.com/media/view.asp?idx=137736&page=3&kind=2
글로벌항공우주산업학회-인천국제공항공사, 제16회 글로벌항공우주산업 학술세미나 개최,https://www.boannews.com/media/view.asp?idx=137739&page=3&kind=3
스냅태그, InLEX 2025서 군 맞춤형 보안 솔루션 ‘랩가드’ 소개,https://www.boannews.com/media/view.asp?idx=137738&page=3&kind=1
[사람과 보안] 이스라엘-이란 대충돌, ‘토탈전’ 서막을 열다,https://www.boannews.com/media/view.asp?idx=137734&page=3&kind=1
카이스트, 청소년 대상 교육형 해킹대회 ‘HackQuest’ 개최,https://www.boannews.com/media/view.asp?idx=137737&page=3&kind=2
“보안 담당자가 AI 정보보안 거버넌스 주도해야”...기업보안협 라운드테이블 열려,https://www.boannews.com/media/view.asp?idx=137735&page=3&kind=1
온누리교회 유튜브 새벽예배 중 북한 영상 송출…해킹 의심에 보안 강화 나서,https://www.boannews.com/media/view.asp?idx=137733&page=3&kind=1
알고 보니 ‘맹물’...짝퉁 화장품 주의보 발령!,https://www.boannews.com/media/view.asp?idx=137732&page=3&kind=2
[IP포토] 특허청, ‘이달의 심사관’ 시상식 개최,https://www.boannews.com/media/view.asp?idx=137731&page=3&kind=2
티피링크 오마다, 캠퍼스·엔터프라이즈 환경 위한 하이엔드 스택형 L3 스위치 출시,https://www.boannews.com/media/view.asp?idx=137730&page=3&kind=3
줌 회의 참석 이사님, 북한 해커가 만든 딥페이크 영상이었다,https://www.boannews.com/media/view.asp?idx=137729&page=3&kind=1
