Title,Link
요꼬가와, ‘SL2000’ 고속 데이터 수집 장치 출시,https://www.boannews.com/media/view.asp?idx=137612&page=2&kind=3
시큐브, BPF 루트킷과 변종 BPFDoor에 대한 탐지 및 대응 기술 개발,https://www.boannews.com/media/view.asp?idx=137611&page=2&kind=3
SKT 공격한 BPF도어, 진화된 변종 발견...“통신사 지속 위협”,https://www.boannews.com/media/view.asp?idx=137609&page=2&kind=1
[2024 개인정보보호 우수사례-6] 경기주택도시공사, 신기술 대응 역량 인정...경기도 유일 S등급,https://www.boannews.com/media/view.asp?idx=137575&page=2&kind=2
[카드뉴스] HWㆍSW 전부 유럽 수출기업이라면 12월 前 끝내야!,https://www.boannews.com/media/view.asp?idx=137607&page=2&kind=1
티오리한국, 독일 최대 해킹대회에서 상금 2000만원 획득,https://www.boannews.com/media/view.asp?idx=137606&page=3&kind=3
오픈AI, 챗GPT 악용한 국제 해커 그룹에 철퇴,https://www.boannews.com/media/view.asp?idx=137592&page=3&kind=1
티피링크 오마다, BE3600급 Wi-Fi 7 천장형 액세스 포인트 ‘EAP723’ 출시,https://www.boannews.com/media/view.asp?idx=137587&page=3&kind=3
인터엠-아큐리스, 스마트 보안 음향 솔루션 공동 개발 및 공급 확대 위한 MOU,https://www.boannews.com/media/view.asp?idx=137599&page=3&kind=3
조달청, 혁신제품 규제는 완화하고 기술·품질 우수성은 강화,https://www.boannews.com/media/view.asp?idx=137600&page=3&kind=2
[예스24 해킹] 이틀째 불통 예스24...랜섬웨어 공격이 원인이었다,https://www.boannews.com/media/view.asp?idx=137603&page=3&kind=1
대한민국항공보안협회, ‘드론·대드론위원회’ 초대 위원장에 오경호 단장 임명,https://www.boannews.com/media/view.asp?idx=137602&page=3&kind=2
[2024 개인정보보호 우수사례-5] 건강보험심사평가원, 17년 연속 최고등급...기관장 노력 인정받아,https://www.boannews.com/media/view.asp?idx=137574&page=3&kind=2
CCTV, 로봇청소기도 개인정보보호 중심 설계(PbD) 인증 받는다,https://www.boannews.com/media/view.asp?idx=137601&page=3&kind=2
A10 네트웍스, AI 및 LLM 인프라 보안 솔루션 발표,https://www.boannews.com/media/view.asp?idx=137598&page=3&kind=1
‘파도’ 출범, 글로벌 진출 통한 K-보안 유니콘 목표,https://www.boannews.com/media/view.asp?idx=137597&page=3&kind=3
‘무용론’ ISMS 심사에 ‘모의해킹’ 추가하나...“실효성 높아져” 기대,https://www.boannews.com/media/view.asp?idx=137585&page=3&kind=2
한국첨단안전산업협회, ‘2025 첨단안전산업 제품 및 기술 대상’ 신청 접수,https://www.boannews.com/media/view.asp?idx=137596&page=3&kind=3
BHSN, 日 부스트드래프트와 MOU...일본 진출 본격화,https://www.boannews.com/media/view.asp?idx=137594&page=3&kind=3
