Title,Link
[기자수첩] 시위현장, 노점상은 경영천재,https://www.boannews.com/media/view.asp?idx=135696&page=1&kind=6
새롭게 등장한 피싱 키트, 독특한 중간자 공격 메커니즘 탑재,https://www.boannews.com/media/view.asp?idx=135706&page=1&kind=1
CISO협의회, 정기총회 및 신년인사회 개최,https://www.boannews.com/media/view.asp?idx=135704&page=1&kind=2
KIIA, 신년 총회..신임 이사장 황정현 아이닉스 대표,https://www.boannews.com/media/view.asp?idx=135703&page=1&kind=3
[긴급] 포티게이트 방화벽 설정파일 1만5000개 유출, IP 주소 확인 필요,https://www.boannews.com/media/view.asp?idx=135701&page=1&kind=1
[오늘의 보안 영어] take by storm,https://www.boannews.com/media/view.asp?idx=135695&page=1&kind=1
[배종찬의 보안 빅데이터] 명절 ‘교통 정체’보다 더 무서운 ‘사이버 사기’,https://www.boannews.com/media/view.asp?idx=135689&page=1&kind=1
이성권 엔키화이트햇 대표, “사고 이어지는 1% 취약점, 기업엔 치명타”,https://www.boannews.com/media/view.asp?idx=135625&page=1&kind=6
도박 엄중히 금지했더니 지소켓 들고 나타난 온라인 도박꾼들,https://www.boannews.com/media/view.asp?idx=135687&page=1&kind=1
오래됐지만 여전히 사랑받는 NTLM, 이제 정말 없애야 할 때,https://www.boannews.com/media/view.asp?idx=135686&page=1&kind=1
[동정] 유 과기정통부 장관, CES 혁신상 수상기업과 AX 경쟁력 강화,https://www.boannews.com/media/view.asp?idx=135699&page=1&kind=2
씨프로 IP 카메라, TTA 인증 획득,https://www.boannews.com/media/view.asp?idx=135693&page=1&kind=3
이글루, AI산업협 ‘이머징 AI+X 톱 100 기업’ 피선,https://www.boannews.com/media/view.asp?idx=135694&page=1&kind=3
다후아, ‘RED 사이버보안 인증’ 취득,https://www.boannews.com/media/view.asp?idx=135698&page=1&kind=3
S2W, 탐라에 ‘산업용 AI플랫폼’ 구축 추진,https://www.boannews.com/media/view.asp?idx=135692&page=1&kind=3
지란지교 ‘VADA 4.0’, 조달청 등록,https://www.boannews.com/media/view.asp?idx=135690&page=1&kind=3
유튜브를 3D로...ETRI, ‘홀로그램 프로세서’ 개발,https://www.boannews.com/media/view.asp?idx=135697&page=1&kind=1
Omada Pro, L3 관리형 집선 스위치 출시,https://www.boannews.com/media/view.asp?idx=135691&page=1&kind=3
상반기 역대 최대 34조5000억 신속 집행...조달청 새해 업무계획,https://www.boannews.com/media/view.asp?idx=135685&page=1&kind=2
구글 취약점 찾아 받은 3억 포상금, 모교 KAIST에 기부,https://www.boannews.com/media/view.asp?idx=135684&page=1&kind=5
과기정통부-디플정위, ‘초거대AI 서비스 개발지원 사업’ 공모... 총 지원금 56억 규모,https://www.boannews.com/media/view.asp?idx=135683&page=1&kind=2
미래정보기술, 네트워크 스위치 2종 선봬,https://www.boannews.com/media/view.asp?idx=135682&page=1&kind=3
휴네시온, 10年째 공공조달 ‘망연계’ 1위,https://www.boannews.com/media/view.asp?idx=135681&page=1&kind=3
ICQA와 KG에듀원, 자격과 학위로 완성하는 미래형 실무 교육 협약,https://www.boannews.com/media/view.asp?idx=135680&page=1&kind=3
SSR, 솔리드스텝 솔루션 조달 9년 연속 1위,https://www.boannews.com/media/view.asp?idx=135678&page=1&kind=3
라온시큐어, 모바일 앱으로 ‘딥페이크’ 탐지,https://www.boannews.com/media/view.asp?idx=135677&page=1&kind=3
LG엔솔, 국내 배터리 업계 최초로 사이버 보안 관리체계 레벨3 인증 획득,https://www.boannews.com/media/view.asp?idx=135675&page=1&kind=3
[신간] 2024 CPO 실무지침서,https://www.boannews.com/media/view.asp?idx=135679&page=1&kind=3
펜타시큐리티, 3大 솔루션 ‘혁신품목’ 선정,https://www.boannews.com/media/view.asp?idx=135676&page=1&kind=3
수산아이앤티, 유럽 네트워크 보안 시장 진출 ‘첫발’,https://www.boannews.com/media/view.asp?idx=135673&page=1&kind=3
