Title,Link
글로벌 C레벨들의 개인정보 보호 인식은 ‘장밋빛’... 고객 데이터 보호 확신 86%,https://www.boannews.com/media/view.asp?idx=135452&page=1&kind=3
[2025년 보안 핫 키워드-3] 사이버 사기의 서비스화와 큐싱 위협,https://www.boannews.com/media/view.asp?idx=135426&page=1&kind=1
[보안 협·단체장 신년 인터뷰-1]  한국감시기기공업협동조합 이상우 이사장,https://www.boannews.com/media/view.asp?idx=135407&page=1&kind=2
[한국정보보호학회 칼럼] 디지털 금융서비스 보안을 위한 융합적인 접근,https://www.boannews.com/media/view.asp?idx=135405&page=1&kind=3
한국정보보호산업협회, 뉴스레터 구독자 이메일 주소 유출,https://www.boannews.com/media/view.asp?idx=135448&page=1&kind=1
[카드뉴스] AI 이미지 관련 분쟁, 어떤 것들이 있을까?,https://www.boannews.com/media/view.asp?idx=135450&page=1&kind=3
빅테크들, 물리 공간에도 영향을 주던 사이버 범죄자들 대거 무력화시키다,https://www.boannews.com/media/view.asp?idx=134706&page=1&kind=1
[오늘의 보안 영어] keep powder dry,https://www.boannews.com/media/view.asp?idx=135447&page=1&kind=1
[배종찬의 보안 빅데이터] 트럼프와 머스크도 못 막는 개인정보 유출,https://www.boannews.com/media/view.asp?idx=135445&page=1&kind=1
[사람과 보안] 한국 산업 생태계 휘젓는 중국의 ‘기술 탈취’,https://www.boannews.com/media/view.asp?idx=135438&page=1&kind=1
2025년 한국정보통신자격협회 자격 검정 일정 공고,https://www.boannews.com/media/view.asp?idx=135455&page=1&kind=3
모니터랩-오픈베이스, ‘2024년 AI 바우처 지원사업’ 우수 등급 획득,https://www.boannews.com/media/view.asp?idx=135453&page=1&kind=3
방위사업청, 인공지능 영상분석 기능 도입으로 경계작전 효율성과 신뢰성 향상,https://www.boannews.com/media/view.asp?idx=135451&page=1&kind=2
조달청, 해외조달시장 맞춤형 종합지원사업 참여 기업 모집,https://www.boannews.com/media/view.asp?idx=135449&page=1&kind=2
마이크로시스템, CCTV 재난안전제품 인증 획득,https://www.boannews.com/media/view.asp?idx=135446&page=1&kind=3
슈프리마AI, CES 2025 ‘최고 혁신상’ 수상,https://www.boannews.com/media/view.asp?idx=135444&page=1&kind=3
안랩, 2025년 시무식 개최 및 승진 인사 단행,https://www.boannews.com/media/view.asp?idx=135443&page=1&kind=3
아우토크립트, 전기차 양방향 충방전 안전에 대한 평가 표준 개발,https://www.boannews.com/media/view.asp?idx=135442&page=1&kind=3
로그프레소, 2024년 매출 25% 이상 증가... 성장세 이어가,https://www.boannews.com/media/view.asp?idx=135441&page=1&kind=3
[인사] 인텔리빅스 임원 승진,https://www.boannews.com/media/view.asp?idx=135440&page=1&kind=3
과기정통부, 올해 정보보호 핵심원천기술개발에 993억원 쏟아붓는다,https://www.boannews.com/media/view.asp?idx=135439&page=1&kind=2
환경부, X 계정 해킹 이어 소스코드 유출 정황 포착됐다,https://www.boannews.com/media/view.asp?idx=135424&page=1&kind=1
[인터뷰] 위즈코리아 김기배 대표 “2025년 자체 AI 모델로 고객 만족 높일 것”,https://www.boannews.com/media/view.asp?idx=135435&page=1&kind=3
보건복지부, 중증장애인생산품 법정 의무구매비율 1.1%로 상향,https://www.boannews.com/media/view.asp?idx=135434&page=1&kind=2
씨유박스, 로봇사업부문 분할해 신설법인 출범,https://www.boannews.com/media/view.asp?idx=135433&page=1&kind=3
행정안전부, 긴급상황 영상 공유로 더 신속·정확하게 판단하고 대응,https://www.boannews.com/media/view.asp?idx=135432&page=1&kind=2
[신년사] 과기정통부 유상임 장관 “2025년 디지털 재난 및 정보보호 대응체계 고도화 앞장설 것”,https://www.boannews.com/media/view.asp?idx=135427&page=1&kind=2
티피링크, 올인원 USB C타입 멀티허브 5종 선보여,https://www.boannews.com/media/view.asp?idx=135428&page=1&kind=3
금융보안원, 제5대 박상원 원장 취임,https://www.boannews.com/media/view.asp?idx=135431&page=1&kind=2
[인사] 보안뉴스·시큐리티월드,https://www.boannews.com/media/view.asp?idx=135429&page=1&kind=3
[인사] 한국첨단안전산업협회,https://www.boannews.com/media/view.asp?idx=135430&page=2&kind=3
[오늘의 보안 영어] tit-for-tat,https://www.boannews.com/media/view.asp?idx=135425&page=2&kind=1
[bnTV] 금융 위기 악몽 되풀이? 원·달러 환율 폭등세... 양자 관련주는 순항,https://www.boannews.com/media/view.asp?idx=135423&page=2&kind=3
한화인더스트리얼솔루션즈, ‘한화비전’으로 새 출발,https://www.boannews.com/media/view.asp?idx=135422&page=2&kind=3
[2025년 보안 핫 키워드-2] SW 공급망 보안 위협 심화,https://www.boannews.com/media/view.asp?idx=135406&page=2&kind=1
페이스북 광고 관리자 계정 정보 탈취하는 노드스틸러, 어떻게 동작하나,https://www.boannews.com/media/view.asp?idx=135421&page=2&kind=1
독일 전체에 망신을 끼친 폭스바겐 80만 대 정보 노출 사건,https://www.boannews.com/media/view.asp?idx=135420&page=2&kind=1
해킹 공격 받은 ‘한예종’, 재학생·졸업생 개인정보 유출... 1만 8천여 명 피해,https://www.boannews.com/media/view.asp?idx=135417&page=2&kind=1
2025년, AI의 필수성과 위험성 그리고 인간과 기계 간의 시너지 확장에 초점,https://www.boannews.com/media/view.asp?idx=135419&page=2&kind=3
[도서&보안] 마음이 아픈 범죄자들을 어떻게 해야 할까? 주치의는 이렇게 말했다,https://www.boannews.com/media/view.asp?idx=135350&page=2&kind=4
프라이버시 분야의 커다란 사건, 왓츠앱 대 NSO그룹 법적 공방 돌아보기,https://www.boannews.com/media/view.asp?idx=135418&page=2&kind=1
사이버 공격자들 사이에서 점점 더 유행하는 ‘검색 최적화 조작’ 톺아보기,https://www.boannews.com/media/view.asp?idx=135416&page=2&kind=1
[2025 망분리·망연계 솔루션 리포트]  2025년 기점으로 급성장의 기회 온다,https://www.boannews.com/media/view.asp?idx=135396&page=2&kind=3
[2025 CCTV 네트워크 장애관리 솔루션 리포트] 장애 예방·탐지·복구까지 원스톱으로,https://www.boannews.com/media/view.asp?idx=135389&page=2&kind=3
[2025 모바일 신분증 & 출입 인증 리포트] 신분 확인부터 결제까지! 보안 더 중요해진 스마트폰,https://www.boannews.com/media/view.asp?idx=135395&page=2&kind=3
[2025년 보안 핫 키워드-1] 제로트러스트 2.0 시대 본격화,https://www.boannews.com/media/view.asp?idx=135404&page=2&kind=3
제주항공 여객기 참사 관련 영상이 메일·문자로? 피싱·스미싱 유포 주의보,https://www.boannews.com/media/view.asp?idx=135415&page=2&kind=1
[인사] KPI뉴스,https://www.boannews.com/media/view.asp?idx=135414&page=2&kind=3
개인정보 가이드라인·안내서 대폭 정비한다,https://www.boannews.com/media/view.asp?idx=135413&page=2&kind=2
[인사] 개인정보보호위원회,https://www.boannews.com/media/view.asp?idx=135412&page=2&kind=2
[인사] 그린포스트코리아,https://www.boannews.com/media/view.asp?idx=135411&page=3&kind=3
[오늘의 보안 영어] water down,https://www.boannews.com/media/view.asp?idx=135410&page=3&kind=1
디링크의 오래된 장비들에서 나온 취약점, 공격자들이 지속적으로 노려,https://www.boannews.com/media/view.asp?idx=135377&page=3&kind=4
[한국정보보호학회 칼럼] ‘클라우드’와 ‘제로트러스트’가 만났을 때,https://www.boannews.com/media/view.asp?idx=135400&page=3&kind=3
에스에스알, 보안 솔루션 ‘SolidStep CCE’, ‘MetiEye’ 조달청 디지털서비스몰 등록 완료,https://www.boannews.com/media/view.asp?idx=135409&page=3&kind=3
신세계아이앤씨 ‘스파로스 CMP’, 국가정보원 주관 보안기능 확인서 획득,https://www.boannews.com/media/view.asp?idx=135408&page=3&kind=3
포페이스의 산업용 라우터에서 발견된 취약점, 실제 공격의 통로가 돼,https://www.boannews.com/media/view.asp?idx=135376&page=3&kind=1
개인정보위, 국민체감도 높은 ‘4기 가명정보 결합 선도사례’ 확정,https://www.boannews.com/media/view.asp?idx=135399&page=3&kind=2
[글로벌 인터뷰] 펜테라 마이클 탄 AP&J 부사장 “자동화된 모의해킹 솔루션, 여기에 있다”,https://www.boannews.com/media/view.asp?idx=135385&page=3&kind=3
주가 떡상한 엑스게이트, 숨은 비결은 ‘양자 기술’,https://www.boannews.com/media/view.asp?idx=135361&page=3&kind=3
NIA, 양자산업의 현재와 미래 담은 ‘2024 양자정보기술 백서’ 발간,https://www.boannews.com/media/view.asp?idx=135397&page=3&kind=2
VIGI, 소규모 사업장용 무선 NVR 출시,https://www.boannews.com/media/view.asp?idx=135398&page=3&kind=3
AI 대전환 주도할 대한민국 디지털 혁신기술은? S2W 다크버트 등 13개 선정,https://www.boannews.com/media/view.asp?idx=135390&page=3&kind=2
한국지능정보원, 2025년 12대 디지털 트렌드 전망 발표,https://www.boannews.com/media/view.asp?idx=135394&page=3&kind=2
도구공간, 마음AI와 서비스 로봇 실증사업 완수,https://www.boannews.com/media/view.asp?idx=135392&page=3&kind=3
에브리존, 전문 안티랜섬웨어 ‘화이트디펜더’로 중소기업기술마켓 인증제품 선정,https://www.boannews.com/media/view.asp?idx=135391&page=3&kind=3
아무도 모르게 진행되고 있던 크롬 플러그인 침해 캠페인, 로그인 크리덴셜 빼돌려,https://www.boannews.com/media/view.asp?idx=135393&page=3&kind=1
[긴급] ‘오징어게임 시즌2’ 공개 틈타 넷플릭스 피싱 등장!,https://www.boannews.com/media/view.asp?idx=135383&page=3&kind=1
안랩 임직원, 창립 30주년 앞두고 하트-하트재단 등 3개 단체에 기부,https://www.boannews.com/media/view.asp?idx=135388&page=3&kind=3
‘AI, 공급망, 클라우드’... 2025 새로운 해, 우리의 일상 모두를 의심하라,https://www.boannews.com/media/view.asp?idx=135386&page=3&kind=3
올해 상반기, 국정원 및 검·경에 넘긴 통신이용자 정보... 전년대비 43.7% 감소,https://www.boannews.com/media/view.asp?idx=135384&page=4&kind=2
북한의 해커들, 컨태져스인터뷰 진행하면서 새로운 멀웨어 등장시켜,https://www.boannews.com/media/view.asp?idx=135382&page=4&kind=1
[오늘의 보안 영어] power vacuum,https://www.boannews.com/media/view.asp?idx=135387&page=4&kind=1
[부고] 중앙대학교 이창무 교수 장인상,https://www.boannews.com/media/view.asp?idx=135381&page=4&kind=1
다크웹에서 발견된 새로운 캠페인, 인증 시스템의 근간을 흔들어,https://www.boannews.com/media/view.asp?idx=135370&page=4&kind=1
[긴급] 아파치 제품 3종에서 위험도 10점 만점 등 초고위험도 취약점 3개 발견,https://www.boannews.com/media/view.asp?idx=135380&page=4&kind=1
이녹스첨단소재, 회사 및 임직원 사칭 메일 주의 당부,https://www.boannews.com/media/view.asp?idx=135375&page=4&kind=1
제주항공 여객기 참사, 181명 중 사망자 179명 최종 확인... 승무원 2명만 구조,https://www.boannews.com/media/view.asp?idx=135378&page=4&kind=1
국토부 “사고기의 블랙박스와 음성기록장치 수거”... 사고 원인 조사 착수할 듯,https://www.boannews.com/media/view.asp?idx=135374&page=4&kind=1
국토부 “조류 충돌 경고 전달 후, 조종사 메이데이 선언”... 2분 후 사고 발생,https://www.boannews.com/media/view.asp?idx=135373&page=4&kind=1
최상목 권한대행, 무안공항 추락사고 중대본 긴급 가동... 사망자 58명 확인,https://www.boannews.com/media/view.asp?idx=135372&page=4&kind=1
[속보] 181명 태운 제주항공 여객기,  무안국제공항 착륙 중 추락... 28명 사망, 2명 구조 확인,https://www.boannews.com/media/view.asp?idx=135371&page=4&kind=1
삼성전자 사칭한 신종 스미싱 유포...경품이벤트 설문조사 주의!,https://www.boannews.com/media/view.asp?idx=135369&page=4&kind=1
환경부 공식 SNS X 계정, 해킹 정황 포착... 현재는 정상 복구,https://www.boannews.com/media/view.asp?idx=135368&page=4&kind=1
특허법·실용신안법 3가지 개정안, 국회 통과... 특허기술의 해외유출 방지 목적,https://www.boannews.com/media/view.asp?idx=135367&page=4&kind=2
[한 주를 관통하는 보안 소식] 2024년 12월 4주차, “Civil Life”,https://www.boannews.com/media/view.asp?idx=135349&page=4&kind=1
[보안 역사, 그날] 1994년 12월 25일, 미트닉의 장난전화와 쿵후 비꼬기,https://www.boannews.com/media/view.asp?idx=135277&page=4&kind=1
‘2024 카이스트 KCAMP 어워드’ 시상식, 성황리 개최,https://www.boannews.com/media/view.asp?idx=135366&page=4&kind=3
[카드뉴스] 오징어게임? 아니 사이버보안 게임,https://www.boannews.com/media/view.asp?idx=135365&page=4&kind=1
QR코드 스캔 잘못 했다간 개인정보 털린다! 큐싱 범죄 실태와 예방법은?,https://www.boannews.com/media/view.asp?idx=135364&page=4&kind=1
[bnTV] ‘이것’ 모르면 지긋지긋한 스팸 문자된다! 개인정보 수집 및 이용은 어디까지?,https://www.boannews.com/media/view.asp?idx=135356&page=5&kind=2
국내 정보보호 기업 중 절반은 20인 미만의 소기업,https://www.boannews.com/media/view.asp?idx=135355&page=5&kind=3
2025년 사이버보안 트렌드 전망 5가지,https://www.boannews.com/media/view.asp?idx=135363&page=5&kind=3
팬데믹 혼란 속 급증한 온라인 거래, 사기 사이트 피해도 폭증했다,https://www.boannews.com/media/view.asp?idx=135360&page=5&kind=2
[사람과 보안] 인적 보안과 중국의 기술대국 등극 비결,https://www.boannews.com/media/view.asp?idx=135362&page=5&kind=1
양자정보기술 국가표준 1호 제정... 양자 키 분배 네트워크 관련 기술,https://www.boannews.com/media/view.asp?idx=135358&page=5&kind=2
2025년 시작을 함께할 보안 인재 찾기... SK, 넥슨, 토스페이먼츠 등 채용,https://www.boannews.com/media/view.asp?idx=135344&page=5&kind=3
[인터뷰] 아스트론시큐리티 조근석 대표 “국내 최초 CNAPP에서 글로벌 경쟁력 갖춘 CNAPP로 거듭날 것”,https://www.boannews.com/media/view.asp?idx=135352&page=5&kind=3
NIA, 2024년 디지털 트윈 시뮬레이션 SaaS 개발 실증 사업 성과 공유,https://www.boannews.com/media/view.asp?idx=135354&page=5&kind=2
[인사] 뉴스웨이,https://www.boannews.com/media/view.asp?idx=135359&page=5&kind=3
[오늘의 보안 영어] squirrel away,https://www.boannews.com/media/view.asp?idx=135357&page=5&kind=1
위협 인텔리전스 플랫폼 ‘안랩 TIP’, 보안위협 정보 업그레이드... OT·ICS 특화 콘텐츠 등,https://www.boannews.com/media/view.asp?idx=135353&page=5&kind=3
이스트소프트, ‘2025 PERSO 서포터즈’ 내달 3일까지 모집,https://www.boannews.com/media/view.asp?idx=135351&page=5&kind=3
세이퍼존 DLP 버전 10, 국가정보원 보안 인증 효력 연장,https://www.boannews.com/media/view.asp?idx=135347&page=5&kind=3
파이선 리포지터리 PyPI에서 또 다시 발견된 악성 패키지들,https://www.boannews.com/media/view.asp?idx=135348&page=5&kind=1
[bnTV] ‘12.3사태’ 그 이후, 저가 매수세 유입 그리고 돌아온 외국인(feat. 양자테마),https://www.boannews.com/media/view.asp?idx=135346&page=5&kind=3
티피링크 윤경선 상무 “Global Security Top 100은 위로와 용기를 주는 상”,https://www.boannews.com/media/view.asp?idx=135343&page=5&kind=3
AI기본법 국회 본회의 통과... 국가 AI 경쟁력 제고 및 AI 활용 초석 다져,https://www.boannews.com/media/view.asp?idx=135345&page=5&kind=2
[인터뷰] 하이젠 박경섭 전무 “보안 스토리지의 중요성 알렸던 2024년, 2025년엔 대중화”,https://www.boannews.com/media/view.asp?idx=135341&page=5&kind=3
이에이트, 부산 에코델타시티 디지털트윈 사업 본격화,https://www.boannews.com/media/view.asp?idx=135342&page=5&kind=3
