Title,Link
미국서 퇴출된 틱톡, 벌써 다운로드와 접속 불가,https://www.boannews.com/media/view.asp?idx=135657&page=1&kind=1
물밑에서 벌어진 美中 해커 싸움, 이번 주는 FBI의 승,https://www.boannews.com/media/view.asp?idx=135655&page=1&kind=1
구글 오오스가 가진 근본 취약점, 구글은 아직 해결하지 못해,https://www.boannews.com/media/view.asp?idx=135654&page=1&kind=1
가평군청, 92명 개인정보 유출..실무자 부주의 원인,https://www.boannews.com/media/view.asp?idx=135652&page=1&kind=1
성심당 빵, 공식 인스타 해킹 당해..사칭DM 등 주의 당부,https://www.boannews.com/media/view.asp?idx=135653&page=1&kind=1
키스톤, AI로 牛 키운다,https://www.boannews.com/media/view.asp?idx=135644&page=1&kind=1
[한 주를 관통하는 보안 소식] 2025년 1월 3주차 “그를 맞이하라”,https://www.boannews.com/media/view.asp?idx=135648&page=1&kind=1
정보보호학회, 제30대 회장에 박영호 세종사이버대 교수 추대,https://www.boannews.com/media/view.asp?idx=135647&page=1&kind=3
[bnTV] 보안뉴스 전문기자 선정, ‘2025 보안 핫 키워드 톱10’,https://www.boannews.com/media/view.asp?idx=135641&page=1&kind=1
[인터뷰] 지상호 KISA 동남센터장, “보안 솔루션·관제 융합, 철통 지원”,https://www.boannews.com/media/view.asp?idx=135609&page=1&kind=2
“설 선물 도착”...정부, 명절 맞이 ‘사이버사기’ 주의보,https://www.boannews.com/media/view.asp?idx=135658&page=1&kind=2
고학수 개인정보위원장, 유튜버 ‘궤도’와 토크쇼,https://www.boannews.com/media/view.asp?idx=135656&page=1&kind=2
[부고] 티에스에스 최정환 대표, 티제이원 최정국 대표 모친상,https://www.boannews.com/media/view.asp?idx=135646&page=1&kind=1
NCSL, ‘사이버안보 거버넌스 재구축’ 등 3대 아젠다 제시,https://www.boannews.com/media/view.asp?idx=135645&page=1&kind=2
회사서 부모님 용돈 드려, 인텔리빅스 ‘효도수당’ 도입,https://www.boannews.com/media/view.asp?idx=135643&page=1&kind=3
팔로알토 AP총괄, “AI 등장은 역사적 ‘변곡점’”,https://www.boannews.com/media/view.asp?idx=135642&page=1&kind=3
임천수 TOCSG 대표, “기업고객 원픽은 ‘통합보안’”,https://www.boannews.com/media/view.asp?idx=135627&page=1&kind=6
[CES 2025 결산⑤-양자] 양자보안, AI위협 유일 대항마,https://www.boannews.com/media/view.asp?idx=135628&page=1&kind=1
김용호 쿼드마이너 CTO, “랜섬웨어 공격, 선파악·후대응 중요”,https://www.boannews.com/media/view.asp?idx=135493&page=1&kind=6
씨프로, 딥러닝 기반 IP카메라 출시,https://www.boannews.com/media/view.asp?idx=135630&page=1&kind=3
[카드뉴스] 양자컴퓨터가 대중화된다면... 우리의 데이터를 지킬 방법은? - 개인편,https://www.boannews.com/media/view.asp?idx=135639&page=1&kind=5
과기정통부-시스코, 韓청년 사이버보안 교육... 세계 2번째,https://www.boannews.com/media/view.asp?idx=135637&page=1&kind=2
CES서 아무도 관심 두지 않는 보안이 이목을 끄는 법, ‘최악의 제품 어워드’,https://www.boannews.com/media/view.asp?idx=135567&page=1&kind=1
[오늘의 보안 영어] ring in,https://www.boannews.com/media/view.asp?idx=135638&page=1&kind=1
[배종찬의 보안 빅데이터] 양자컴퓨팅의 미래... 주가보다 더 중요한 것은 바로 ‘보안’,https://www.boannews.com/media/view.asp?idx=135635&page=1&kind=5
[사람과 보안] SK하이닉스가 중국에 먹혔더라면 어떻게 됐을까,https://www.boannews.com/media/view.asp?idx=135629&page=1&kind=1
씨게이트, AI가 클라우드 스토리지의 성장동력,https://www.boannews.com/media/view.asp?idx=135626&page=1&kind=5
과기정통부, ‘연구보안’ 주제로 출연연과 현장 소통,https://www.boannews.com/media/view.asp?idx=135624&page=1&kind=2
AI 기본法, ‘신뢰성’ 기반 기술 생태계 발전 모색,https://www.boannews.com/media/view.asp?idx=135623&page=1&kind=1
[보안 역사, 그날] 2006년에 모습 드러낸 카마수트라 웜과 작명 난제,https://www.boannews.com/media/view.asp?idx=135584&page=1&kind=1
이글루, 공격표면 관리 서비스 출시,https://www.boannews.com/media/view.asp?idx=135616&page=2&kind=3
[유경동의 IP전략] K-양자, 황금알 거위 배 갈라,https://www.boannews.com/media/view.asp?idx=135620&page=2&kind=6
KITRI-서울미디어大, 보안인재 양성 맞손,https://www.boannews.com/media/view.asp?idx=135619&page=2&kind=3
MS, 시큐리티 코파일럿으로 보안시장 저변 확대,https://www.boannews.com/media/view.asp?idx=135621&page=2&kind=3
SOS랩 등 30개 품목, 조달청 혁신제품 피선,https://www.boannews.com/media/view.asp?idx=135617&page=2&kind=2
[CES 2025 결산④-글로벌 빅테크] CES, ‘숨은보안찾기’ 현장으로 탈바꿈,https://www.boannews.com/media/view.asp?idx=135613&page=2&kind=1
[오늘의 보안 영어] make good on,https://www.boannews.com/media/view.asp?idx=135618&page=2&kind=1
악성코드를 대신 배포해 주는 새로운 서비스, DaaS는 무엇인가,https://www.boannews.com/media/view.asp?idx=131915&page=2&kind=1
윈스-프라이빗테크놀로지, 제로트러스트 보안사업 본격화 위해 손잡았다,https://www.boannews.com/media/view.asp?idx=135611&page=2&kind=3
슈프리마, 차세대 엔터프라이즈 보안 솔루션으로 중동서 인기몰이,https://www.boannews.com/media/view.asp?idx=135610&page=2&kind=3
인포트렌드, HPC·미디어 위한 고밀도 스토리지 솔루션 공개,https://www.boannews.com/media/view.asp?idx=135608&page=2&kind=3
DJI, 올인원 카메라 드론 ‘DJI Flip’ 출시... 누구나 쉽게 항공 및 인물 촬영 가능,https://www.boannews.com/media/view.asp?idx=135607&page=2&kind=3
인텔리빅스, ‘Emerging AI Top 100’ 4년 연속 선정,https://www.boannews.com/media/view.asp?idx=135606&page=2&kind=3
2025년 보안 트렌드, ‘CCTV 보안 강화’와 ‘AI CCTV 구축 증가’ 등 꼽혀,https://www.boannews.com/media/view.asp?idx=135605&page=2&kind=3
신제품 출시 샤오미, 까다로운 한국 소비자에 ‘데이터 보안’ 최우선 어필,https://www.boannews.com/media/view.asp?idx=135604&page=2&kind=3
조달청, 올해 조달계획 상반기 신속 집행... 역대 최대 규모 34조 5,000억원,https://www.boannews.com/media/view.asp?idx=135603&page=2&kind=2
펜타시큐리티, ‘클라우드브릭’으로 글로벌·B2C 사업 키운다,https://www.boannews.com/media/view.asp?idx=135602&page=2&kind=3
과기정통부, AI기본法 ‘하위법령 정비단’ 본격 출범,https://www.boannews.com/media/view.asp?idx=135601&page=2&kind=2
코콤, APT용 보안관제 솔루션 출시,https://www.boannews.com/media/view.asp?idx=135597&page=2&kind=3
한화비전, ‘AI 보안 솔루션’으로 오일머니 눈독,https://www.boannews.com/media/view.asp?idx=135598&page=2&kind=3
