Title,Link
티피링크 VIGI, 풀컬러 스마트 감시 카메라 ‘InSight S245’ 출시,https://www.boannews.com/media/view.asp?idx=137201&page=2&kind=3
[SKT 해킹 사태] SKT 가입자들 “인당 30만원 배상하라”... 집단분쟁조정신청,https://www.boannews.com/media/view.asp?idx=137199&page=2&kind=1
아메이투라, KISA의 지문인식 알고리즘 성능 인증 획득,https://www.boannews.com/media/view.asp?idx=137197&page=2&kind=3
스마트홈 브랜드 타포(Tapo), 반려동물 박람회 ‘2025 메가주 일산’ 참가,https://www.boannews.com/media/view.asp?idx=137198&page=2&kind=3
국토부, 도로안전 살피는 ‘2025 도로안심·서비스 국민참여단’ 모집,https://www.boannews.com/media/view.asp?idx=137187&page=3&kind=2
한국인공지능협회(KORAIA), 이재명 후보와 AI 정책 협약 체결,https://www.boannews.com/media/view.asp?idx=137196&page=3&kind=2
이스트소프트-포바이포, 글로벌 AI SaaS 고도화 위해 ‘맞손’,https://www.boannews.com/media/view.asp?idx=137192&page=3&kind=3
[사람과 보안] 보안은 기술이 아니라 경영의 심장...SKT 해킹이 바꾸는 기업문화,https://www.boannews.com/media/view.asp?idx=137193&page=3&kind=1
과기정통부, 기업-정부 부처에 “사이버 보안 경계 태세 강화해 달라”,https://www.boannews.com/media/view.asp?idx=137195&page=3&kind=1
안랩, 클라우드 보안 강화한 ‘컨테이너형 보안’ 제품군 추가,https://www.boannews.com/media/view.asp?idx=137190&page=3&kind=3
정부, AI 보안·제로트러스트 등 신기술 보안 18개 과제 선정,https://www.boannews.com/media/view.asp?idx=137188&page=3&kind=2
[SKT 해킹 사태] “‘SKT 재발’ 막으려면 인증제 실효성 확보, CPO 위상 제고 필요”,https://www.boannews.com/media/view.asp?idx=137191&page=3&kind=2
[SKT 해킹 사태] 과기정통부 장관, “범국가적 사이버 보안 예방 필요한 시점”,https://www.boannews.com/media/view.asp?idx=137189&page=3&kind=2
[PIS FAIR 2025 미리보기] 안랩,https://www.boannews.com/media/view.asp?idx=137155&page=3&kind=3
[PIS FAIR 2025 미리보기] 한국기업보안,https://www.boannews.com/media/view.asp?idx=137156&page=3&kind=3
[대한민국 상장기업 리포트-1] 영상보안 분야 7곳, 사업보고서 분석해보니,https://www.boannews.com/media/view.asp?idx=137049&page=3&kind=3
[인사] 과학기술정보통신부,https://www.boannews.com/media/view.asp?idx=137186&page=3&kind=2
AI보안 준비된 한국 기업, 100개중 단 3곳...시스코 보고서,https://www.boannews.com/media/view.asp?idx=137184&page=3&kind=3
