Title,Link
[SKT 해킹 사태] 유심 재설정 12일 도입..유심 교체 동일 효과,https://www.boannews.com/media/view.asp?idx=137205&page=1&kind=1
‘KISA알림.pdf.lnk’ 뜨면, 클릭 금지!...KISA 사칭 악성이메일 주의,https://www.boannews.com/media/view.asp?idx=137204&page=1&kind=1
[2025 암호화 솔루션 리포트] SKT가 유심 정보만 암호화했다면... 주목받는 ‘암호화 솔루션’,https://www.boannews.com/media/view.asp?idx=137203&page=1&kind=3
[대한민국 상장기업 리포트-2] 생체인식·출입통제 분야 6곳, 매출현황 분석,https://www.boannews.com/media/view.asp?idx=137050&page=1&kind=3
국토부, 도로안전 살피는 ‘2025 도로안심·서비스 국민참여단’ 모집,https://www.boannews.com/media/view.asp?idx=137187&page=1&kind=2
[사람과 보안] 보안은 기술이 아니라 경영의 심장...SKT 해킹이 바꾸는 기업문화,https://www.boannews.com/media/view.asp?idx=137193&page=1&kind=1
과기정통부, 기업-정부 부처에 “사이버 보안 경계 태세 강화해 달라”,https://www.boannews.com/media/view.asp?idx=137195&page=1&kind=1
[SKT 해킹 사태] 과기정통부 장관, “범국가적 사이버 보안 예방 필요한 시점”,https://www.boannews.com/media/view.asp?idx=137189&page=1&kind=2
[대한민국 상장기업 리포트-1] 영상보안 분야 7곳, 사업보고서 분석해보니,https://www.boannews.com/media/view.asp?idx=137049&page=1&kind=3
AI보안 준비된 한국 기업, 100개중 단 3곳...시스코 보고서,https://www.boannews.com/media/view.asp?idx=137184&page=1&kind=3
[SKT 해킹 사태] “엄마, 유심 바꿔야 된대!”...SKT 피싱 공격 주의보,https://www.boannews.com/media/view.asp?idx=137200&page=1&kind=1
티피링크 VIGI, 풀컬러 스마트 감시 카메라 ‘InSight S245’ 출시,https://www.boannews.com/media/view.asp?idx=137201&page=1&kind=3
[SKT 해킹 사태] SKT 가입자들 “인당 30만원 배상하라”... 집단분쟁조정신청,https://www.boannews.com/media/view.asp?idx=137199&page=1&kind=1
아메이투라, KISA의 지문인식 알고리즘 성능 인증 획득,https://www.boannews.com/media/view.asp?idx=137197&page=1&kind=3
스마트홈 브랜드 타포(Tapo), 반려동물 박람회 ‘2025 메가주 일산’ 참가,https://www.boannews.com/media/view.asp?idx=137198&page=1&kind=3
한국인공지능협회(KORAIA), 이재명 후보와 AI 정책 협약 체결,https://www.boannews.com/media/view.asp?idx=137196&page=1&kind=2
이스트소프트-포바이포, 글로벌 AI SaaS 고도화 위해 ‘맞손’,https://www.boannews.com/media/view.asp?idx=137192&page=1&kind=3
안랩, 클라우드 보안 강화한 ‘컨테이너형 보안’ 제품군 추가,https://www.boannews.com/media/view.asp?idx=137190&page=1&kind=3
정부, AI 보안·제로트러스트 등 신기술 보안 18개 과제 선정,https://www.boannews.com/media/view.asp?idx=137188&page=1&kind=2
[SKT 해킹 사태] “‘SKT 재발’ 막으려면 인증제 실효성 확보, CPO 위상 제고 필요”,https://www.boannews.com/media/view.asp?idx=137191&page=1&kind=2
[PIS FAIR 2025 미리보기] 안랩,https://www.boannews.com/media/view.asp?idx=137155&page=1&kind=3
[PIS FAIR 2025 미리보기] 한국기업보안,https://www.boannews.com/media/view.asp?idx=137156&page=1&kind=3
[인사] 과학기술정보통신부,https://www.boannews.com/media/view.asp?idx=137186&page=1&kind=2
[이슈칼럼] SKT 유심 해킹 사고, 예상 시나리오별 취약점 확인과 대응방법,https://www.boannews.com/media/view.asp?idx=137185&page=1&kind=1
[SKT 해킹 사태] 보안업계, ‘BPF도어’ 탐지 솔루션 잇단 출시,https://www.boannews.com/media/view.asp?idx=137180&page=1&kind=1
이터널, 지정맥 인증 기반 PC 로그온 솔루션 출시,https://www.boannews.com/media/view.asp?idx=137183&page=1&kind=3
산업보안연구학회-국정원, ‘2025 국제 산업보안 논문 경진대회’ 개최,https://www.boannews.com/media/view.asp?idx=137182&page=1&kind=3
지란지교데이터, ‘2025 글로벌 IP 스타기업’ 선정,https://www.boannews.com/media/view.asp?idx=137181&page=1&kind=3
이지서티, ‘IDENTITY SHIELD V3.0’ 조달청 디지털 서비스몰 등록,https://www.boannews.com/media/view.asp?idx=137179&page=1&kind=3
에브리존 ‘터보백신’ KT클라우드 마켓클라우드 입점,https://www.boannews.com/media/view.asp?idx=137178&page=1&kind=3
디지탈센스, ‘신분증 도용 방지 시스템’ 개발..출입통제 고도화,https://www.boannews.com/media/view.asp?idx=137176&page=2&kind=3
파수, 글로벌 인포섹 어워드 2개 부문 수상..데이터 보호·관리 역량 입증,https://www.boannews.com/media/view.asp?idx=137175&page=2&kind=3
KISIA, 2025 ‘시큐리티아카데미’ 6기 교육생 모집,https://www.boannews.com/media/view.asp?idx=137173&page=2&kind=2
[SKT 해킹 사태] SKT, 내일까지 개인정보 1차 유출통지,https://www.boannews.com/media/view.asp?idx=137172&page=2&kind=1
한국형 방어 시스템 구축 시급..씨큐비스타, 사이버戰 동향 발표,https://www.boannews.com/media/view.asp?idx=137171&page=2&kind=2
오마다(Omada), 10G 멀티기가비트 지원하는 액세스 맥스 시리즈 L2 스위치 신제품 출시,https://www.boannews.com/media/view.asp?idx=137170&page=2&kind=3
개인정보위, 보험대리점 개인정보 유출 사건 조사 착수,https://www.boannews.com/media/view.asp?idx=137169&page=2&kind=1
고용노동부, ‘2024 중대재해 사이렌’ 책자 발간,https://www.boannews.com/media/view.asp?idx=137168&page=2&kind=3
한국후지필름BI, ‘레보리아 프레스’ 신제품 2종 로드쇼 개최,https://www.boannews.com/media/view.asp?idx=137167&page=2&kind=3
[PIS FAIR 2025 미리보기] 센티널테크놀로지,https://www.boannews.com/media/view.asp?idx=137152&page=2&kind=3
[PIS FAIR 2025 미리보기] 엘세븐시큐리티,https://www.boannews.com/media/view.asp?idx=137154&page=2&kind=3
[이슈칼럼] SKT 유심 해킹 사건이 일깨운 AI 사이버보안의 시급성,https://www.boannews.com/media/view.asp?idx=137166&page=2&kind=1
[SKT 해킹 사태] 입법조사처 “해킹 경보 및 피해보상 법 개정 필요해”,https://www.boannews.com/media/view.asp?idx=137165&page=2&kind=1
[2025 스마트 보안등·안전표지판 리포트] 생활안전 높이는 친절하고 똑똑한 녀석들,https://www.boannews.com/media/view.asp?idx=137041&page=2&kind=3
[인터뷰] 김상인 인더스비젼 대표 “수중 환경의 안전도 인더스비젼이 책임질 것”,https://www.boannews.com/media/view.asp?idx=137031&page=2&kind=3
[카드뉴스] 가정의 달, 우리 아이의 디지털 세상도 함께 지켜볼까요?,https://www.boannews.com/media/view.asp?idx=137163&page=2&kind=1
라온시큐어, 5대 1 주식 액면병합..모바일 신분증-제로트러스트 기반 사업 고도화,https://www.boannews.com/media/view.asp?idx=137153&page=2&kind=3
CJ올리브네트웍스 디지털 인증서 北에 털렸다...국책 기계연 공격 시도,https://www.boannews.com/media/view.asp?idx=137157&page=2&kind=1
