Title,Link
카스퍼스키 “AI가 랜섬웨어 피해 가속화”,https://www.boannews.com/media/view.asp?idx=137357&page=2&kind=3
시큐아이, 통신사 대상 ‘보안 전략’ 콘퍼런스 개최,https://www.boannews.com/media/view.asp?idx=137355&page=2&kind=3
딥엑스, 글로벌 시장 선점 위해 노타와 전략적 MOU 체결,https://www.boannews.com/media/view.asp?idx=137354&page=2&kind=3
[SKT 해킹 사태] SKT “보안투자, 대폭 확대”,https://www.boannews.com/media/view.asp?idx=137352&page=2&kind=1
케이사인, 국가 에너지 인프라 PQC 시범전환 수주,https://www.boannews.com/media/view.asp?idx=137351&page=2&kind=3
KISA, 해양 사이버보안 협력체계 가동...R&D 워크숍 진행,https://www.boannews.com/media/view.asp?idx=137350&page=3&kind=2
시놀로지, 영상 모니터링 솔루션 C2 Surveillance 공개,https://www.boannews.com/media/view.asp?idx=137349&page=3&kind=3
VIGI, 고성능 스마트 감시카메라 InSight S385·InSight S485 신규 출시,https://www.boannews.com/media/view.asp?idx=137348&page=3&kind=3
시놀로지, 액티브-액티브 NVMe 스토리지 솔루션 발표,https://www.boannews.com/media/view.asp?idx=137347&page=3&kind=3
F1시큐리티, ‘아시아테크x싱가포르2025’ 참가,https://www.boannews.com/media/view.asp?idx=137346&page=3&kind=3
[단독] SKT 공격한 악성코드 BPF도어, KT 서버도 침투했나,https://www.boannews.com/media/view.asp?idx=137345&page=3&kind=1
스패로우 공급망 보안 3종, 공공조달 시장점유율 1위,https://www.boannews.com/media/view.asp?idx=137341&page=3&kind=3
항공보안학회, 청주대와 ‘항공보안 및 공항운영 미래항공 인재양성’ 상호협력 추진,https://www.boannews.com/media/view.asp?idx=137339&page=3&kind=3
범죄 피해구조, 골든타임 확보...ETRI-KT텔레캅, 저전력 정밀측위 기술 협력,https://www.boannews.com/media/view.asp?idx=137338&page=3&kind=2
워터월시스템즈, 중동 진출 타진...현지 업체와 전략 논의,https://www.boannews.com/media/view.asp?idx=137336&page=3&kind=3
세이지, AI 기반 안전 모니터링 솔루션 지능형 CCTV 성능 시험 인증 ‘방화’ 부문 추가 획득,https://www.boannews.com/media/view.asp?idx=137335&page=3&kind=3
이스트소프트, AI 검색 엔진 ‘앨런’ 크롬 확장프로그램 출시,https://www.boannews.com/media/view.asp?idx=137334&page=3&kind=1
[PIS FAIR 2025 미리보기] 프라이버시지,https://www.boannews.com/media/view.asp?idx=137260&page=3&kind=3
레드햇, 양자보안 적용 리눅스 출시…“생성형 AI, 초보자도 쉽게”,https://www.boannews.com/media/view.asp?idx=137333&page=3&kind=3
입법조사처, “이통사 정보보호 예산 확보 의무화해야”...망법 개정 제안,https://www.boannews.com/media/view.asp?idx=137332&page=3&kind=1
[카드뉴스] 유심 정보, SKT가 지금 당장 암호화해야 할 이유,https://www.boannews.com/media/view.asp?idx=137331&page=3&kind=1
[유경동의 IP전략] K-골프테크 종가, ‘타이틀리스트’,https://www.boannews.com/media/view.asp?idx=137330&page=3&kind=6
안랩 “21대 대선 설문조사 주의 당부”...경품 미끼 피싱 사기,https://www.boannews.com/media/view.asp?idx=137329&page=3&kind=1
유니온바이오메트릭스, 반려동물 ‘비문’ 출입 인식및 관리 시스템 특허 취득,https://www.boannews.com/media/view.asp?idx=137328&page=3&kind=3
씨프로, AI re-Positioning PTZ 돔 카메라,https://www.boannews.com/media/view.asp?idx=137327&page=3&kind=3
[배종찬의 보안 빅데이터] 승리의 ‘삼선’인가 아니면 해킹의 아디다스인가,https://www.boannews.com/media/view.asp?idx=137326&page=4&kind=1
노르마-리게티, 84큐비트 양자 클라우드 출시 초 읽기,https://www.boannews.com/media/view.asp?idx=137325&page=4&kind=3
KISIA-민주당 정보보호 정책 협약...사이버보안을 국가전략 수출산업으로,https://www.boannews.com/media/view.asp?idx=137324&page=4&kind=2
구르머스, AI 엑스포서 ‘CamBOT’ AI 카메라 선봬,https://www.boannews.com/media/view.asp?idx=137322&page=4&kind=1
브로드컴 클라우드 가상화 솔루션, 국가정보원 보안기능 확인서 취득,https://www.boannews.com/media/view.asp?idx=137323&page=4&kind=3
페스카로, 車보안 국가인증제용 ‘평가 시스템’ 구축 완료,https://www.boannews.com/media/view.asp?idx=137321&page=4&kind=3
