Title,Link
[SKT 해킹 사태] “해킹 피해 범위 더 클 수도”... 서버 조사중 악성코드 추가 발견,https://www.boannews.com/media/view.asp?idx=137115&page=1&kind=1
[SKT 해킹 사태] 국회, ‘정보유출’ 통신사 귀책시 번호이동 위약금 면제 추진,https://www.boannews.com/media/view.asp?idx=137114&page=1&kind=1
[SKT 해킹 사태] SKT, “스미싱 시도 확실히 늘어...방어 태세 높여”,https://www.boannews.com/media/view.asp?idx=137113&page=1&kind=1
[SKT 해킹 사태] 과기정통부 유상임 장관 “정보보호 체계 전반 전면 재검토”,https://www.boannews.com/media/view.asp?idx=137112&page=1&kind=1
[RSAC 2025] 다양성과 협업의 향연...나흘간 일정 마쳐,https://www.boannews.com/media/view.asp?idx=137111&page=1&kind=1
[SKT 해킹 사태] 기다리다 지쳤는데..별도 구입한 공 ‘유심’으로 교체 가능할까,https://www.boannews.com/media/view.asp?idx=137103&page=1&kind=1
[SKT 해킹 사태] SKT 가입자 이탈, 한 달 새 87% 급증... 1위 지위 ‘흔들’,https://www.boannews.com/media/view.asp?idx=137109&page=1&kind=1
[SKT 해킹 사태] 팩트 체크 나선 SKT “유심 정보만으로 계좌에서 돈 빼낼 수 없어”,https://www.boannews.com/media/view.asp?idx=137102&page=1&kind=1
[SKT 해킹 사태] 임원진 Q&A “위약금 면제는 아직... 검토중”,https://www.boannews.com/media/view.asp?idx=137104&page=1&kind=1
[SKT 해킹 사태] 불안감 커진 국민들... 통신 3사의 보안·안전 부가서비스 총정리,https://www.boannews.com/media/view.asp?idx=137099&page=1&kind=1
22주년 맞이한 SGA그룹, ‘SGA 3.0’ 비전 공개,https://www.boannews.com/media/view.asp?idx=137110&page=1&kind=3
원스테크넷-으뜸정보기술, 클라우드 분야 ‘맞손’,https://www.boannews.com/media/view.asp?idx=137108&page=1&kind=3
티오리-옥타, 전략적 보안 파트너십 체결,https://www.boannews.com/media/view.asp?idx=137105&page=1&kind=3
안랩, RSA 컨퍼런스에서 AI 보안 솔루션 선보여,https://www.boannews.com/media/view.asp?idx=137106&page=1&kind=3
[SKT 해킹 사태] 유심 복제? 심스와핑? Q&A로 풀어본 오해와 진실,https://www.boannews.com/media/view.asp?idx=137098&page=1&kind=1
SKT와 보험대리점 이어 ‘알바몬’도 해킹...이력서 정보 2.2만건 유출,https://www.boannews.com/media/view.asp?idx=137100&page=1&kind=1
[SKT 해킹 사태] 국민 10명중 9명, 디지털 보안 사고 ‘징벌적 손해배상’ 필요,https://www.boannews.com/media/view.asp?idx=137095&page=1&kind=1
국정원-민관군 연합팀, NATO 사이버방어 훈련 락드쉴즈 2025 참가,https://www.boannews.com/media/view.asp?idx=137097&page=1&kind=2
[SKT 해킹 사태] 개인정보위, “SKT 유출 사고 후 고객 공지 및 피해 예방 대처 미흡”,https://www.boannews.com/media/view.asp?idx=137096&page=1&kind=1
[SKT 해킹 사태] “신규 고객 영업 정지에 위약금 면제 압박”...보안 위기가 기업 전체 위기로,https://www.boannews.com/media/view.asp?idx=137094&page=1&kind=1
[SKT 해킹 사태] USIM 입고 스미싱 문자 기승..SKT 공식 문자는 링크 없어,https://www.boannews.com/media/view.asp?idx=137093&page=1&kind=1
[SKT 해킹 사태] SKT, “신규 가입 및 번호 이동 중단... 유심보호서비스 자동 가입”,https://www.boannews.com/media/view.asp?idx=137092&page=1&kind=1
[SKT 해킹 사태] SK텔레콤, 해킹 인지 후 유심 유출 은폐 정황 드러났다,https://www.boannews.com/media/view.asp?idx=137091&page=1&kind=1
Group-IB ‘2025년 Global CTI 기술 혁신 리더십’ 수상,https://www.boannews.com/media/view.asp?idx=137088&page=1&kind=3
[SKT 해킹 사태][단독] 통신 3사 보안 강화 필요성 더 커지는데... KT CISO는 아직 구인중,https://www.boannews.com/media/view.asp?idx=137090&page=1&kind=1
[SKT 해킹 사태] 2주 간의 타임라인으로 본 사건의 재구성,https://www.boannews.com/media/view.asp?idx=137089&page=1&kind=1
잉카인터넷, SKT 해킹 ‘BPF도어’ 악성코드 전용 백신 무료 배포,https://www.boannews.com/media/view.asp?idx=137087&page=1&kind=3
[SKT 해킹 사태] 혼란만 부추긴 유심 교체 조치, 이용자들의 피해 유형과 대응은?,https://www.boannews.com/media/view.asp?idx=137086&page=1&kind=1
[SKT 해킹 사태] 정부, “SKT, 유심 물량 안정화 때까지 신규 가입자 유치 중단하라”,https://www.boannews.com/media/view.asp?idx=137085&page=1&kind=1
SK그룹 미국 법인, 랜섬웨어 공격 당해,https://www.boannews.com/media/view.asp?idx=137083&page=1&kind=1
[SKT 해킹 사태] 유심 포맷, 교체 전까지 실효성 있는 대안,https://www.boannews.com/media/view.asp?idx=137084&page=2&kind=1
조달청, 공정평가 클린창구 개설... 불공정 행위 익명으로 신고,https://www.boannews.com/media/view.asp?idx=137076&page=2&kind=2
[SKT 해킹 사태] 美 T모바일, 개인정보 유출 피해 고객에 최대 3200만원 배상...SKT는?,https://www.boannews.com/media/view.asp?idx=137082&page=2&kind=1
[SKT 해킹 사태] 누구나 쉽게 구할 수 있는 ‘유심 라이터’...심스와핑 공격에 악용,https://www.boannews.com/media/view.asp?idx=137081&page=2&kind=1
[SKT 해킹 사태] [포토] 즐거운 여행길?...유심 교체 위해 공항에 늘어선 줄,https://www.boannews.com/media/view.asp?idx=137080&page=2&kind=1
[SKT 해킹 사태 중간점검-1] 사건 경위와 현재 상황, 그리고 드러난 문제점,https://www.boannews.com/media/view.asp?idx=137079&page=2&kind=1
[SKT 해킹 사태] 분리된 SKT 서버, VPN 취약점으로 뚫었나,https://www.boannews.com/media/view.asp?idx=137078&page=2&kind=1
원스테크넷-아스트론, 클라우드 보안 ‘맞손’,https://www.boannews.com/media/view.asp?idx=137075&page=2&kind=1
[SKT 해킹 사태] 국회, 개인정보 유출 기업에 ‘칼’ 빼든다,https://www.boannews.com/media/view.asp?idx=137077&page=2&kind=1
[SKT 해킹 사태] 통신사·콜센터 대규모 해킹사고 일으킨 ‘스텔스 공격’은?,https://www.boannews.com/media/view.asp?idx=137074&page=2&kind=1
[기자수첩] 美 RSAC 현장서 바라본 SKT 사태,https://www.boannews.com/media/view.asp?idx=137073&page=2&kind=1
[SKT 해킹 사태] 개인정보위, “SKT 이용 개인정보취급자, 유심 교체” 권고,https://www.boannews.com/media/view.asp?idx=137072&page=2&kind=2
[SKT 해킹 사태] 유심 해킹 여파에 보안 관련주 급등... 생체인식·양자보안 관심↑,https://www.boannews.com/media/view.asp?idx=137071&page=2&kind=3
유니뷰, 전국 순회 교육 통해 스마트 영상보안 기술력 강화,https://www.boannews.com/media/view.asp?idx=137064&page=2&kind=3
지오멕스소프트-케어링, AI 기반 환자 모니터링 서비스 제공 위한 MOU 체결,https://www.boannews.com/media/view.asp?idx=137054&page=2&kind=3
[SKT 해킹 사태] SKT 600억, KT 1218억..이통사 보안 투자 도마 올라,https://www.boannews.com/media/view.asp?idx=137070&page=2&kind=1
[RSAC 2025] K-시큐, RSAC 2025 출격...한국관·단독관 운영, 금보원 단체 참관,https://www.boannews.com/media/view.asp?idx=137053&page=2&kind=3
[SKT 해킹 사태] 5월 초 연휴에 ‘유심 품귀 대란’  어떻게 하나,https://www.boannews.com/media/view.asp?idx=137069&page=2&kind=1
[SKT 해킹 사태] 금융권과 카드사는 어떻게 대응하고 있나?,https://www.boannews.com/media/view.asp?idx=137062&page=2&kind=1
[SKT 해킹 사태] 한민수 의원 분노 폭발 “어디다 대고 위약금을 물겠다고 하는 것인가”,https://www.boannews.com/media/view.asp?idx=137067&page=2&kind=1
명지대 국방우주안보연구센터, 2025 국방 우주안보 발전 세미나 개최,https://www.boannews.com/media/view.asp?idx=137068&page=3&kind=3
[SKT 해킹 사태] SKT 유심 정보, 암호화 없이 저장돼 있었다,https://www.boannews.com/media/view.asp?idx=137066&page=3&kind=1
[SKT 해킹 사태] ‘SK 늑장 대응’ 비판 점증...최태원 회장에 책임론 번진다,https://www.boannews.com/media/view.asp?idx=137065&page=3&kind=1
[SKT 해킹 사태] 유영상 대표, 위약금 납부 면제 지적에 “검토하겠다” 입장만 되풀이,https://www.boannews.com/media/view.asp?idx=137063&page=3&kind=1
[SKT 해킹 사태] 늘어선 유심 교체 줄...e심으로 갈아탈까?,https://www.boannews.com/media/view.asp?idx=137061&page=3&kind=1
올해 정보보호 공시 의무 대상 기업 671개사 공개...작년보다 16개 늘어,https://www.boannews.com/media/view.asp?idx=137060&page=3&kind=2
[SKT 해킹 사태] 유영상 SKT 대표, “전체 가입자 정보 유출 전제로 대비 중”,https://www.boannews.com/media/view.asp?idx=137059&page=3&kind=1
홍원표 SK쉴더스 대표 사임..“개인적 결정”,https://www.boannews.com/media/view.asp?idx=137058&page=3&kind=3
[SKT 해킹 사태] [카드뉴스]"최대 2,300만 명 잠재적 피해" SKT 사상 최대 해킹 사태,https://www.boannews.com/media/view.asp?idx=137057&page=3&kind=1
[SKT 해킹 사태] SKT, “경쟁사에서 유심 카드 지원 제안 있었다”,https://www.boannews.com/media/view.asp?idx=137056&page=3&kind=1
[SKT 해킹 사태] 유영상 SKT 대표,  “번호이동 위약금 폐지, 종합적 검토”,https://www.boannews.com/media/view.asp?idx=137055&page=3&kind=1
[SKT 해킹 사태] SKT 사태, 포털·금융·게임사 CISO들은 어떻게 대응하고 있나?,https://www.boannews.com/media/view.asp?idx=137052&page=3&kind=1
한국전파진흥협회, 시스코 보안 아카데미 3기 모집,https://www.boannews.com/media/view.asp?idx=137048&page=3&kind=3
[SKT 해킹 사태] SKT 해킹 사태... 유심 교체 전 꼭 챙겨야 할 3가지,https://www.boannews.com/media/view.asp?idx=137044&page=3&kind=1
시큐리온, 리눅스용 안티바이러스 솔루션 GS 인증 1등급 획득,https://www.boannews.com/media/view.asp?idx=137046&page=3&kind=3
