Title,Link
[한 주를 관통하는 보안 소식] 2024년 12월 3주차, “공백”,https://www.boannews.com/media/view.asp?idx=135236&page=1&kind=1
[택배&보안] 자꾸만 마을 택배함에 방치되는 나의 물건들,https://www.boannews.com/media/view.asp?idx=135215&page=1&kind=6
[보안 역사, 그날] 1997년 12월 9일, 야후를 해킹한 2인조,https://www.boannews.com/media/view.asp?idx=135216&page=1&kind=1
[카드뉴스] 연말연시, 사이버 보안을 강화하세요! - 개인편,https://www.boannews.com/media/view.asp?idx=135264&page=1&kind=1
KISIA 조영철 회장, “정보보호 인력 양성, 교육 내실화와 관리체계 다지는 데 초점”,https://www.boannews.com/media/view.asp?idx=135253&page=1&kind=3
[캠퍼스 탐방] 강원대 융합보안대학원, 의료·헬스케어 분야 양질의 보안인력 키운다,https://www.boannews.com/media/view.asp?idx=134787&page=1&kind=2
LG전자 장태진 선임 “모던웹 등장에 새로운 사이버 공격 전략 나타나”,https://www.boannews.com/media/view.asp?idx=135250&page=1&kind=5
미국의 스마트 가구 시장 규모 살펴보니... 2024년 약 35억달러 규모,https://www.boannews.com/media/view.asp?idx=135188&page=1&kind=3
[오늘의 보안 영어] gain the ear,https://www.boannews.com/media/view.asp?idx=135251&page=1&kind=1
[제로트러스트 보안모델 도입사례③] 금융권 보안의 미래 ‘K-ZT’ 모델,https://www.boannews.com/media/view.asp?idx=135244&page=1&kind=3
라쿠텐 심포니, 해양 사이버보안 토탈 솔루션 ‘라쿠텐 마리타임’ 공개,https://www.boannews.com/media/view.asp?idx=135272&page=1&kind=3
북한 연계 해커의 해킹 건수 및 탈취 금액, 전년 대비 2배 이상 증가,https://www.boannews.com/media/view.asp?idx=135268&page=1&kind=1
쿤텍-고려대, 사이버 레질리언스 중심의 지능형 서비스 로봇 안정성 강화 지원,https://www.boannews.com/media/view.asp?idx=135270&page=1&kind=3
KISA, 디지털플랫폼정부 구현 선도를 위한 현장 시찰,https://www.boannews.com/media/view.asp?idx=135269&page=1&kind=3
몸캠피싱, 미성년 피해자 문의 증가... 2024년 800건 이상 달해,https://www.boannews.com/media/view.asp?idx=135265&page=1&kind=1
조국혁신당 이해민 의원, 사회권선진국 실현 위한 ‘디지털권 포럼’ 개최,https://www.boannews.com/media/view.asp?idx=135267&page=1&kind=2
이스트소프트-이스트시큐리티, 가족친화인증제도 우수 기업에 선정,https://www.boannews.com/media/view.asp?idx=135266&page=1&kind=3
과기정통부, AI 반도체 전문가와 기술사업화 추진 위한 정책 소통의 장 마련,https://www.boannews.com/media/view.asp?idx=135263&page=1&kind=2
KISIA, ‘2024 정보보호 인재양성 교육사업 성과교류회’ 개최,https://www.boannews.com/media/view.asp?idx=135259&page=1&kind=3
과기정통부, 글로벌 공급망 확보 위한 ‘첨단소재 R&D 발전전략’ 발표,https://www.boannews.com/media/view.asp?idx=135262&page=1&kind=2
LG유플러스 차세대 보안 솔루션 ‘U+SASE, 보안 협업 아이디어 대상 수상,https://www.boannews.com/media/view.asp?idx=135261&page=1&kind=3
사이버리즌, 2024 마이터 어택 평가서 전 영역 최우수 평가,https://www.boannews.com/media/view.asp?idx=135260&page=1&kind=3
안랩, ‘마이터어택 평가’에서 글로벌 수준 위협 탐지 및 분석 역량 입증,https://www.boannews.com/media/view.asp?idx=135258&page=1&kind=3
아카라라이프 주요 경영 성과 발표, AIoT 서비스 역량 입증하고 비즈니스 모델 다각화,https://www.boannews.com/media/view.asp?idx=135257&page=1&kind=3
이노뎁-리벨리온, K-AI 생태계 구축 나선다,https://www.boannews.com/media/view.asp?idx=135254&page=1&kind=3
오픈베이스, 새해부터 AI 접목한 보안관제 서비스 제공... 시장 공략 본격화,https://www.boannews.com/media/view.asp?idx=135256&page=1&kind=3
NIA, ‘2024 디지털 포용 콘퍼런스’ 개최,https://www.boannews.com/media/view.asp?idx=135255&page=1&kind=2
과기정통부, AI 보안기술 통해 정보보호 기업 경쟁력 제고 나선다,https://www.boannews.com/media/view.asp?idx=135252&page=1&kind=2
AI와 사이버 만나며 핵과 맞대결... 최대 변수로 떠올라,https://www.boannews.com/media/view.asp?idx=135249&page=1&kind=2
10년 만에 다시 발견된 APT 조직 카레토, “여전히 살아있네”,https://www.boannews.com/media/view.asp?idx=135248&page=1&kind=4
