Title,Link
종단간 암호화를 제공한다는 클라우드 서비스, 정말로 안전할까?,https://www.boannews.com/media/view.asp?idx=133755&page=1&kind=4
[bnTV] ‘계엄령 후폭풍’에 정치 테마주로 떠오른 보안상장기업(feat. 안랩, 수산아이앤티),https://www.boannews.com/media/view.asp?idx=135067&page=1&kind=3
보이스피싱 등 범죄 사용된 인터넷 전화, 어떻게 차단 및 조치할 수 있나,https://www.boannews.com/media/view.asp?idx=135074&page=1&kind=2
2024년 사이버보안 주요 사업 성과와 2025년 10대 이슈 짚어보니,https://www.boannews.com/media/view.asp?idx=135071&page=1&kind=2
지란지교그룹, 2025년 보안 트렌드 키워드로 ‘R.E.S.I.L.I.E.N.C.E’ 선정,https://www.boannews.com/media/view.asp?idx=135073&page=1&kind=3
MS가 새롭게 밀고 있는 리콜 기능, 당분간 리콜되는 이유,https://www.boannews.com/media/view.asp?idx=131418&page=1&kind=1
[오늘의 보안 영어] free rein,https://www.boannews.com/media/view.asp?idx=135068&page=1&kind=1
랜섬웨어 그룹 랜섬허브, 자사 사이트에 한국기업 ‘고려제강’ 데이터 공개,https://www.boannews.com/media/view.asp?idx=135017&page=1&kind=1
더 안전한 AI 활용을 위한 Synology의 제안,https://www.boannews.com/media/view.asp?idx=134967&page=1&kind=3
새 안드로이드 멀웨어 드로이드봇, 독특한 운영 및 통신 방식으로 모방 범죄 이끌어낼 수도,https://www.boannews.com/media/view.asp?idx=135045&page=1&kind=1
디지털행정서비스 장애, 주기적 점검으로 예방하고 체계적 관리로 신속 복구,https://www.boannews.com/media/view.asp?idx=135049&page=1&kind=2
중소기업 혁신, 국방 첨단전략산업 발전의 열쇠,https://www.boannews.com/media/view.asp?idx=135050&page=1&kind=2
과세정보 노리는 해킹 공격, 이제 AI로 막는다,https://www.boannews.com/media/view.asp?idx=135051&page=1&kind=2
구매한 물건, 주소정보 활용해 로봇이 주차장까지 옮겨 드려요,https://www.boannews.com/media/view.asp?idx=135052&page=1&kind=2
중기부, ‘글로벌 혁신특구’ 조성으로 AI·우주항공·바이오 분야의 미래 성장동력 창출,https://www.boannews.com/media/view.asp?idx=135053&page=1&kind=2
인공지능 전문 기업들이 제조 현장 바꾼다,https://www.boannews.com/media/view.asp?idx=135054&page=1&kind=2
개인의 학습 경험과 역량의 디지털 연계 추진한다,https://www.boannews.com/media/view.asp?idx=135055&page=1&kind=2
SKT-SK C&C, AI로 B2B 사업 혁신한다,https://www.boannews.com/media/view.asp?idx=135056&page=1&kind=2
NIA, 히말라야의 작은 왕국 부탄에 정보접근센터 개소,https://www.boannews.com/media/view.asp?idx=135057&page=1&kind=2
부산정보산업진흥원, AI시대 기업가 컨퍼런스 개최,https://www.boannews.com/media/view.asp?idx=135058&page=1&kind=2
서울시여성가족재단, 우먼테크 교육 플랫폼 ‘2024 우먼잇츠 기술 세미나’ 개최,https://www.boannews.com/media/view.asp?idx=135059&page=1&kind=2
구로구, 내년 2월까지 공공 CCTV 89대 확충,https://www.boannews.com/media/view.asp?idx=135060&page=1&kind=2
오차범위 5㎝ 고정밀 위치정보서비스로 스마트 해운·항만 시대 열어간다,https://www.boannews.com/media/view.asp?idx=135061&page=1&kind=2
안랩, ‘기업에서 발생하기 쉬운 인권 리스크’ 주제로 ESG 특강 개최,https://www.boannews.com/media/view.asp?idx=135077&page=1&kind=3
한싹, ‘패스가드 AM’ GS인증 1등급 획득... 시스템 보안시장 경쟁력 강화,https://www.boannews.com/media/view.asp?idx=135065&page=1&kind=3
엘세븐시큐리티, 특허청에 개인정보 마스킹 솔루션 공급... 기술력 인정받아,https://www.boannews.com/media/view.asp?idx=135076&page=1&kind=3
쿤텍-ETRI, 공급망 보안 관리가 가능한 토탈 솔루션인 이지스(AEGIS) 고도화,https://www.boannews.com/media/view.asp?idx=135075&page=1&kind=3
이노뎁, ‘K-AI’로 중남미 진출... 창사 이래 최대 규모,https://www.boannews.com/media/view.asp?idx=135072&page=1&kind=3
