Title,Link
과기정통부, ‘K-제로트러스트 보안모델’ 공공·금융 대상 첫 도입 사례 발표,https://www.boannews.com/media/view.asp?idx=135108&page=5&kind=2
지재위, 영업비밀·산업기술보호법 등 IP 소송 관할집중 넓혔다,https://www.boannews.com/media/view.asp?idx=135103&page=5&kind=2
연말연시 ‘유명 기업이나 기관 사칭한 피싱’ 공격 주의보,https://www.boannews.com/media/view.asp?idx=135104&page=5&kind=2
이지서티, 반정형 및 실시간 데이터 비식별화 솔루션 GS인증 획득,https://www.boannews.com/media/view.asp?idx=135107&page=5&kind=3
금융보안원, 블랙햇 유럽·아시아 컨퍼런스 연이어 발표 진행,https://www.boannews.com/media/view.asp?idx=135102&page=5&kind=2
네티스, 와이파이6 AX6000급 2.5Gbps 공유기 ‘MEX6000’출시,https://www.boannews.com/media/view.asp?idx=135106&page=5&kind=3
과기정통부, 디지털 안전 선도모델 성과 공유,https://www.boannews.com/media/view.asp?idx=135101&page=5&kind=2
과기정통부, ‘메타버스 얼라이언스 및 자율규제 성과공유회’ 개최,https://www.boannews.com/media/view.asp?idx=135079&page=5&kind=2
과기정통부, 성과 확산과 교류의 장 ‘2024 디지털 혁신 축제’ 개최,https://www.boannews.com/media/view.asp?idx=135080&page=5&kind=2
과수산업의 선도 모델 ‘2025년 스마트 과수원’ 조성은 어디에?,https://www.boannews.com/media/view.asp?idx=135081&page=5&kind=2
청소년의 89.4%, ‘딥페이크 불법 영상물’을 범죄로 인식,https://www.boannews.com/media/view.asp?idx=135082&page=5&kind=2
금융위, 혁신금융서비스 25건 신규 지정,https://www.boannews.com/media/view.asp?idx=135083&page=5&kind=2
SKT, 텔코 에지 AI 연구 성과로 ‘월드 커뮤니케이션 어워드’ 수상,https://www.boannews.com/media/view.asp?idx=135084&page=5&kind=3
