Title,Link
ETRI, 강소형 국산 생성 언어모델 공개,https://www.boannews.com/media/view.asp?idx=134753&page=2&kind=2
과기정통부, ‘방송산업의 인공지능·디지털 기술 활용현황’ 설문결과 발표,https://www.boannews.com/media/view.asp?idx=134749&page=2&kind=2
AI·데이터 기반 재난대응 역량 강화한다,https://www.boannews.com/media/view.asp?idx=134748&page=2&kind=2
IPA, 국가정보원 지부와 인천지역 사이버보안협의회 행사 개최,https://www.boannews.com/media/view.asp?idx=134755&page=2&kind=2
코레일, ‘공공데이터 품질인증심사’ 최우수 등급 획득,https://www.boannews.com/media/view.asp?idx=134756&page=2&kind=2
해수부, 항만의 스마트 보안 우수 사례 발굴·확산 추진,https://www.boannews.com/media/view.asp?idx=134747&page=2&kind=2
지란지교데이터 유병완 대표, 정보보호산업 발전 유공 과기정통부 장관 표창,https://www.boannews.com/media/view.asp?idx=134772&page=3&kind=3
강원대 융합보안대학원, 2024 가명익명처리 경진대회 과기정통부장관상 수상,https://www.boannews.com/media/view.asp?idx=134771&page=3&kind=2
ESG 경영 위한 공공과 민간 협력 강조, 제8회 서울 ESG 경영포럼 개최,https://www.boannews.com/media/view.asp?idx=134769&page=3&kind=3
지란지교소프트, ‘제20회 오피스키퍼 보안 세미나’성료,https://www.boannews.com/media/view.asp?idx=134770&page=3&kind=3
안랩, 기업 고객 보안담당자 대상 ‘AhnLab ISF SQUARE 2024 for Enterprise’개최,https://www.boannews.com/media/view.asp?idx=134768&page=3&kind=3
개인정보위, 원칙 중심 규율체계 정착 위해 6대 로펌과 간담회 개최,https://www.boannews.com/media/view.asp?idx=134765&page=3&kind=2
잉카인터넷, 임직원 정신건강 관리 공로로 ‘마음건강 친화기업 인증’ 획득,https://www.boannews.com/media/view.asp?idx=134763&page=3&kind=3
공공·민간의 CCTV 영상관제 전문가, 국가공인 자격 제도 신설한다,https://www.boannews.com/media/view.asp?idx=134766&page=3&kind=2
배달원·고객 정보 15만건 유출한 쿠팡... 과징금 15억 8,865만원,https://www.boannews.com/media/view.asp?idx=134767&page=3&kind=2
KISA, 재외동포인증센터 시범서비스 개시,https://www.boannews.com/media/view.asp?idx=134764&page=3&kind=1
[오늘의 보안 영어] on edge,https://www.boannews.com/media/view.asp?idx=134762&page=3&kind=1
MS, 일부 자사 서비스에서 발견된 취약점 긴급히 패치,https://www.boannews.com/media/view.asp?idx=134761&page=3&kind=1
