Title,Link
디링크의 오래된 장비들에서 나온 취약점, 공격자들이 지속적으로 노려,https://www.boannews.com/media/view.asp?idx=135377&page=1&kind=4
[한국정보보호학회 칼럼] ‘클라우드’와 ‘제로트러스트’가 만났을 때,https://www.boannews.com/media/view.asp?idx=135400&page=1&kind=3
포페이스의 산업용 라우터에서 발견된 취약점, 실제 공격의 통로가 돼,https://www.boannews.com/media/view.asp?idx=135376&page=1&kind=1
[글로벌 인터뷰] 펜테라 마이클 탄 AP&J 부사장 “자동화된 모의해킹 솔루션, 여기에 있다”,https://www.boannews.com/media/view.asp?idx=135385&page=1&kind=3
주가 떡상한 엑스게이트, 숨은 비결은 ‘양자 기술’,https://www.boannews.com/media/view.asp?idx=135361&page=1&kind=3
AI 대전환 주도할 대한민국 디지털 혁신기술은? S2W 다크버트 등 13개 선정,https://www.boannews.com/media/view.asp?idx=135390&page=1&kind=2
아무도 모르게 진행되고 있던 크롬 플러그인 침해 캠페인, 로그인 크리덴셜 빼돌려,https://www.boannews.com/media/view.asp?idx=135393&page=1&kind=1
[긴급] ‘오징어게임 시즌2’ 공개 틈타 넷플릭스 피싱 등장!,https://www.boannews.com/media/view.asp?idx=135383&page=1&kind=1
‘AI, 공급망, 클라우드’... 2025 새로운 해, 우리의 일상 모두를 의심하라,https://www.boannews.com/media/view.asp?idx=135386&page=1&kind=3
북한의 해커들, 컨태져스인터뷰 진행하면서 새로운 멀웨어 등장시켜,https://www.boannews.com/media/view.asp?idx=135382&page=1&kind=1
에스에스알, 보안 솔루션 ‘SolidStep CCE', ‘MetiEye’ 조달청 디지털서비스몰 등록 완료,https://www.boannews.com/media/view.asp?idx=135409&page=1&kind=3
신세계아이앤씨 ‘스파로스 CMP’, 국가정보원 주관 보안기능 확인서 획득,https://www.boannews.com/media/view.asp?idx=135408&page=1&kind=3
개인정보위, 국민체감도 높은 ‘4기 가명정보 결합 선도사례’ 확정,https://www.boannews.com/media/view.asp?idx=135399&page=1&kind=2
NIA, 양자산업의 현재와 미래 담은 ‘2024 양자정보기술 백서’ 발간,https://www.boannews.com/media/view.asp?idx=135397&page=1&kind=2
VIGI, 소규모 사업장용 무선 NVR 출시,https://www.boannews.com/media/view.asp?idx=135398&page=1&kind=3
한국지능정보원, 2025년 12대 디지털 트렌드 전망 발표,https://www.boannews.com/media/view.asp?idx=135394&page=1&kind=2
도구공간, 마음AI와 서비스 로봇 실증사업 완수,https://www.boannews.com/media/view.asp?idx=135392&page=1&kind=3
에브리존, 전문 안티랜섬웨어 ‘화이트디펜더’로 중소기업기술마켓 인증제품 선정,https://www.boannews.com/media/view.asp?idx=135391&page=1&kind=3
안랩 임직원, 창립 30주년 앞두고 하트-하트재단 등 3개 단체에 기부,https://www.boannews.com/media/view.asp?idx=135388&page=1&kind=3
올해 상반기, 국정원 및 검·경에 넘긴 통신이용자 정보... 전년대비 43.7% 감소,https://www.boannews.com/media/view.asp?idx=135384&page=1&kind=2
[오늘의 보안 영어] power vacuum,https://www.boannews.com/media/view.asp?idx=135387&page=1&kind=1
[부고] 중앙대학교 이창무 교수 장인상,https://www.boannews.com/media/view.asp?idx=135381&page=1&kind=1
다크웹에서 발견된 새로운 캠페인, 인증 시스템의 근간을 흔들어,https://www.boannews.com/media/view.asp?idx=135370&page=1&kind=1
[긴급] 아파치 제품 3종에서 위험도 10점 만점 등 초고위험도 취약점 3개 발견,https://www.boannews.com/media/view.asp?idx=135380&page=1&kind=1
이녹스첨단소재, 회사 및 임직원 사칭 메일 주의 당부,https://www.boannews.com/media/view.asp?idx=135375&page=1&kind=1
제주항공 여객기 참사, 181명 중 사망자 179명 최종 확인... 승무원 2명만 구조,https://www.boannews.com/media/view.asp?idx=135378&page=1&kind=1
국토부 “사고기의 블랙박스와 음성기록장치 수거”... 사고 원인 조사 착수할 듯,https://www.boannews.com/media/view.asp?idx=135374&page=1&kind=1
국토부 “조류 충돌 경고 전달 후, 조종사 메이데이 선언”... 2분 후 사고 발생,https://www.boannews.com/media/view.asp?idx=135373&page=1&kind=1
최상목 권한대행, 무안공항 추락사고 중대본 긴급 가동... 사망자 58명 확인,https://www.boannews.com/media/view.asp?idx=135372&page=1&kind=1
[속보] 181명 태운 제주항공 여객기,  무안국제공항 착륙 중 추락... 28명 사망, 2명 구조 확인,https://www.boannews.com/media/view.asp?idx=135371&page=1&kind=1
삼성전자 사칭한 신종 스미싱 유포...경품이벤트 설문조사 주의!,https://www.boannews.com/media/view.asp?idx=135369&page=2&kind=1
환경부 공식 SNS X 계정, 해킹 정황 포착... 현재는 정상 복구,https://www.boannews.com/media/view.asp?idx=135368&page=2&kind=1
특허법·실용신안법 3가지 개정안, 국회 통과... 특허기술의 해외유출 방지 목적,https://www.boannews.com/media/view.asp?idx=135367&page=2&kind=2
[한 주를 관통하는 보안 소식] 2024년 12월 4주차, “Civil Life”,https://www.boannews.com/media/view.asp?idx=135349&page=2&kind=1
