Title,Link
서울시여성가족재단, 우먼테크 교육 플랫폼 ‘2024 우먼잇츠 기술 세미나’ 개최,https://www.boannews.com/media/view.asp?idx=135059&page=2&kind=2
구로구, 내년 2월까지 공공 CCTV 89대 확충,https://www.boannews.com/media/view.asp?idx=135060&page=2&kind=2
오차범위 5㎝ 고정밀 위치정보서비스로 스마트 해운·항만 시대 열어간다,https://www.boannews.com/media/view.asp?idx=135061&page=2&kind=2
[bnTV] ‘계엄령 후폭풍’에 정치 테마주로 떠오른 보안상장기업(feat. 안랩, 수산아이앤티),https://www.boannews.com/media/view.asp?idx=135067&page=3&kind=3
보이스피싱 등 범죄 사용된 인터넷 전화, 어떻게 차단 및 조치할 수 있나,https://www.boannews.com/media/view.asp?idx=135074&page=3&kind=2
2024년 사이버보안 주요 사업 성과와 2025년 10대 이슈 짚어보니,https://www.boannews.com/media/view.asp?idx=135071&page=3&kind=2
안랩, ‘기업에서 발생하기 쉬운 인권 리스크’ 주제로 ESG 특강 개최,https://www.boannews.com/media/view.asp?idx=135077&page=3&kind=3
한싹, ‘패스가드 AM’ GS인증 1등급 획득... 시스템 보안시장 경쟁력 강화,https://www.boannews.com/media/view.asp?idx=135065&page=3&kind=3
엘세븐시큐리티, 특허청에 개인정보 마스킹 솔루션 공급... 기술력 인정받아,https://www.boannews.com/media/view.asp?idx=135076&page=3&kind=3
쿤텍-ETRI, 공급망 보안 관리가 가능한 토탈 솔루션인 이지스(AEGIS) 고도화,https://www.boannews.com/media/view.asp?idx=135075&page=3&kind=3
지란지교그룹, 2025년 보안 트렌드 키워드로 ‘R.E.S.I.L.I.E.N.C.E’ 선정,https://www.boannews.com/media/view.asp?idx=135073&page=3&kind=3
이노뎁, ‘K-AI’로 중남미 진출... 창사 이래 최대 규모,https://www.boannews.com/media/view.asp?idx=135072&page=3&kind=3
아태지역 전자조달 네트워크 총회, 필리핀 마닐라에서 개막,https://www.boannews.com/media/view.asp?idx=135070&page=3&kind=3
한국후지필름BI, 중소기업 성장 전략 세미나 개최,https://www.boannews.com/media/view.asp?idx=135064&page=3&kind=3
LG유플러스, 서울시내 1인 가구 대상 보이스피싱 예방 특강,https://www.boannews.com/media/view.asp?idx=135063&page=3&kind=3
조달청-국가기술표준원, 서비스 공공조달 확산위한 업무협약 체결,https://www.boannews.com/media/view.asp?idx=135048&page=3&kind=2
지재위, 제2회 ‘지식재산 보호정책 협의회’ 개최,https://www.boannews.com/media/view.asp?idx=135046&page=3&kind=2
MS가 새롭게 밀고 있는 리콜 기능, 당분간 리콜되는 이유,https://www.boannews.com/media/view.asp?idx=131418&page=3&kind=1
[오늘의 보안 영어] free rein,https://www.boannews.com/media/view.asp?idx=135068&page=3&kind=1
시큐아이, 고용노동부 ‘일·생활 균형 우수기업’ 선정,https://www.boannews.com/media/view.asp?idx=135066&page=3&kind=3
티피링크 Omada Pro, 연말맞이 나라장터 종합쇼핑몰 15% 할인 프로모션 진행,https://www.boannews.com/media/view.asp?idx=135047&page=3&kind=3
랜섬웨어 그룹 랜섬허브, 자사 사이트에 한국기업 ‘고려제강’ 데이터 공개,https://www.boannews.com/media/view.asp?idx=135017&page=3&kind=1
더 안전한 AI 활용을 위한 Synology의 제안,https://www.boannews.com/media/view.asp?idx=134967&page=3&kind=3
새 안드로이드 멀웨어 드로이드봇, 독특한 운영 및 통신 방식으로 모방 범죄 이끌어낼 수도,https://www.boannews.com/media/view.asp?idx=135045&page=4&kind=1
파이오링크, 웹방화벽 공공조달 위해 태광네트웍정보와 총판 체결,https://www.boannews.com/media/view.asp?idx=135044&page=4&kind=3
사이냅 문서뷰어 2025, GS인증 1등급 획득,https://www.boannews.com/media/view.asp?idx=135043&page=4&kind=3
파수, 보안성 및 UX 개선한 ‘랩소디 에코 클라우드’ 기념 프로모션 진행,https://www.boannews.com/media/view.asp?idx=135042&page=4&kind=3
AI 검색 엔진 서비스 ‘앨런’ 정식 출시... 퍼플렉시티, 서치GPT와 본격 경쟁,https://www.boannews.com/media/view.asp?idx=135041&page=4&kind=3
CCTV 중기간 경쟁제품 재지정, 국산 보안제품 제조기반 탄력 전망,https://www.boannews.com/media/view.asp?idx=135040&page=4&kind=3
