Title,Link
한컴위드, AI 기반 안면인식 기술로 스마트패스 시장 공략,https://www.boannews.com/media/view.asp?idx=137910&page=2&kind=3
오리엔텀, EQ 테크 에너지와 ‘양자 전기 그리드’ 개발 협력 MOU,https://www.boannews.com/media/view.asp?idx=137908&page=2&kind=3
사람 잡는 해커…사이버 위협, 현실에서 생명 좌우,https://www.boannews.com/media/view.asp?idx=137900&page=2&kind=1
과기정통부가 뽑은 2025년 우수 보안 기술 9종은?,https://www.boannews.com/media/view.asp?idx=137909&page=2&kind=2
금융보안원, 혁신금융서비스 보안대책 평가...2년간 총 83건 진행,https://www.boannews.com/media/view.asp?idx=137906&page=2&kind=2
티피링크, 통합 중앙집중 관리 플랫폼 ‘Omada Central’ 공개,https://www.boannews.com/media/view.asp?idx=137905&page=2&kind=3
모바일 주민증·국가보훈등록증으로도 휴대폰 개통한다,https://www.boannews.com/media/view.asp?idx=137904&page=3&kind=2
정부, 국가 전략사업 연계 보안 집중 발굴...OT 보안 강조,https://www.boannews.com/media/view.asp?idx=137893&page=3&kind=2
회의록도 에이닷으로...SKT. 신규 AI 서비스 2종 베타 출시,https://www.boannews.com/media/view.asp?idx=137898&page=3&kind=3
AI와 대화하며 윔블던 테니스 몰입 관람...IBM ‘매치 챗’ 공개,https://www.boannews.com/media/view.asp?idx=137897&page=3&kind=3
탈레스, 비정형 데이터 실시간 가시성 및 제어 강화 ‘FAM’ 출시,https://www.boannews.com/media/view.asp?idx=137895&page=3&kind=3
[IP포토] 특허, 대한독립을 외치다...역사박물관, ‘독립과 발명’ 기획전 열어,https://www.boannews.com/media/view.asp?idx=137896&page=3&kind=2
S2W, 금융권 AX 가속화…피노텍·시그넷파트너스와 파트너십,https://www.boannews.com/media/view.asp?idx=137894&page=3&kind=3
과기정통부 2차관 류제명 발탁, 인공지능·네트워크 정책 두루 거친 ‘실무형 전문가’,https://www.boannews.com/media/view.asp?idx=137892&page=3&kind=2
행안부 與 중진 윤호중, 기재부 구윤철 등 6개 부처 장관 인선... 차관급 인사도 단행,https://www.boannews.com/media/view.asp?idx=137891&page=3&kind=2
‘IoT 보안인증 제도’ 확산 추진... 제품 생애주기 보안 강화,https://www.boannews.com/media/view.asp?idx=137890&page=3&kind=2
[구축사례] 부안군청, 통합관제센터 자산관리 솔루션으로 스마트 도시 고도화 기반 마련,https://www.boannews.com/media/view.asp?idx=137855&page=3&kind=2
악성 앱 카톡으로 알려준다? LG유플러스, 30일부터 피싱 범죄 안내 서비스 시행,https://www.boannews.com/media/view.asp?idx=137889&page=3&kind=3
LG유플러스. 글로벌 양자표준 연합의 초대 의장사 선정,https://www.boannews.com/media/view.asp?idx=137888&page=3&kind=3
기술 보호 전략과 정책과제는? 중앙대 보안대학원 세미나 개최,https://www.boannews.com/media/view.asp?idx=137887&page=3&kind=2
에픽게임즈, ‘다크 패턴’으로 게이머 속이다 철퇴...1억2600만달러 환불,https://www.boannews.com/media/view.asp?idx=137879&page=3&kind=1
[사람과 보안] 이재명 정부 AI 전략을 다시 묻다① “100조 AI 질주, 브레이크가 없다”,https://www.boannews.com/media/view.asp?idx=137881&page=3&kind=2
사이버보안신기술융합학회, 한국인공지능산업법학회와 MOU 체결,https://www.boannews.com/media/view.asp?idx=137884&page=3&kind=3
사이버보안신기술융합학회 창립...초대 학회장에 동국대 이재우 석좌교수,https://www.boannews.com/media/view.asp?idx=137883&page=3&kind=2
NIA, 가명정보 활용 민관 협력 네트워크 장 펼쳐,https://www.boannews.com/media/view.asp?idx=137885&page=3&kind=2
과기정통부 “SKT 해킹 사고 조사결과 30일 발표”...공개는 차주 중,https://www.boannews.com/media/view.asp?idx=137886&page=3&kind=2
오경석 두나무 신임 대표 “강력한 보안 우위 위해 투자할 것”,https://www.boannews.com/media/view.asp?idx=137882&page=4&kind=3
한국 주도 ‘패스워드리스 얼라이언스 포럼’ 창립,https://www.boannews.com/media/view.asp?idx=137880&page=4&kind=3
국세청 사칭 문자 걸러낸다...홈택스에서 진위 확인 서비스 제공,https://www.boannews.com/media/view.asp?idx=137878&page=4&kind=1
국가 핵심 인프라 보안 강화한다...KISIA, CPS보안 협의체 발족,https://www.boannews.com/media/view.asp?idx=137877&page=4&kind=2
K-보안기술, ‘짝퉁 OUT’ 제 몫 톡톡,https://www.boannews.com/media/view.asp?idx=137876&page=4&kind=1
유로폴, AMD, 커리어넷 해킹 ‘인텔브로커’ 미국에서 기소돼...2500만달러 피해 유발,https://www.boannews.com/media/view.asp?idx=137875&page=4&kind=1
[예스24 해킹] 당해버린 랜섬웨어, ‘협상’ 불가피 하다면?...“사후 대응 관건”,https://www.boannews.com/media/view.asp?idx=137863&page=4&kind=1
파이오링크, 日에 보안스위치·AP 3000대 공급...차량 정비시장 공략,https://www.boannews.com/media/view.asp?idx=137872&page=4&kind=3
배경훈 과기정통부 장관 후보 “전반적 국가 사이버보안 체계 살피겠다”,https://www.boannews.com/media/view.asp?idx=137873&page=4&kind=2
펜타시큐리티, 국가서비스대상 사이버보안 부문 2년 연속 수상,https://www.boannews.com/media/view.asp?idx=137869&page=4&kind=3
지니언스, 정보보호 자율 공시 시행…“보안 투명성 강화 및 사이버안보 기여”,https://www.boannews.com/media/view.asp?idx=137871&page=4&kind=3
LG U+, 보안 앰배서더로 프로파일러 권일용 교수 선정,https://www.boannews.com/media/view.asp?idx=137867&page=4&kind=1
조달청, 2024년 공공조달 규모 전년대비 7.9% 증가한 225조 1,000억원,https://www.boannews.com/media/view.asp?idx=137866&page=4&kind=2
[카드뉴스] 이스라엘 VS 이란 사이버전쟁의 실체 ‘모두가 타깃이 될 수 있다’,https://www.boannews.com/media/view.asp?idx=137865&page=4&kind=1
KOHSIA·KICT·숭실대 AI 융합연, 공동 세미나 개최,https://www.boannews.com/media/view.asp?idx=137864&page=4&kind=3
매년 6월 26일, ‘변리사의 날’...변리사회, 첫 기념식 개최,https://www.boannews.com/media/view.asp?idx=137862&page=4&kind=1
차세대 보안리더 양성 ‘BoB’ 14기 발대식 개최...교육생 172명 임명,https://www.boannews.com/media/view.asp?idx=137861&page=4&kind=1
인텔리빅스-엠젠솔루션, 차세대 화재관제 AI 개발 MOU 체결,https://www.boannews.com/media/view.asp?idx=137860&page=4&kind=3
이제 공공기관 개인정보법 위반하면 처분 내용 전면 공개,https://www.boannews.com/media/view.asp?idx=137858&page=4&kind=2
[IP포토] 표준특허, “참 잘했어요!”...우수 참여기관 수상,https://www.boannews.com/media/view.asp?idx=137859&page=4&kind=2
ICTK 보안 칩, 우주 공간에서도 끄떡 없다,https://www.boannews.com/media/view.asp?idx=137857&page=5&kind=3
랜섬웨어 보안 솔루션 기업 체크멀, 전국 영업 파트너 모집,https://www.boannews.com/media/view.asp?idx=137856&page=5&kind=3
신종 ‘파일픽스’ 공격 발견…윈도우 탐색기로 악성 명령 은밀 실행,https://www.boannews.com/media/view.asp?idx=137854&page=5&kind=1
맨날 배달 주문했는데...개인정보위, 고객정보 홈페이지에 노출한 파파존스 조사 나서,https://www.boannews.com/media/view.asp?idx=137853&page=5&kind=1
회원 2만명 주민등록번호 유출된 한국인정지원센터 과징금 맞아,https://www.boannews.com/media/view.asp?idx=137852&page=5&kind=1
S2W, AI·보안 전문가들 실무 인사이트 공유...‘SIS 2025: MOVEMENT’ 개최,https://www.boannews.com/media/view.asp?idx=137850&page=5&kind=3
하오 양 스플렁크 부사장 “회복탄력성 위해 데이터 계층화·재사용·연합 중요”,https://www.boannews.com/media/view.asp?idx=137848&page=5&kind=3
“AI독립, 국가 안보에 중요” …서강대, 산·학·연 국방 소버린 AI 전략 제시,https://www.boannews.com/media/view.asp?idx=137847&page=5&kind=2
LG유플러스, AI로 딥페이크 보이스피싱 잡는다,https://www.boannews.com/media/view.asp?idx=137849&page=5&kind=1
네티스, 와이파이6 공유기 ‘MEX601V2’ 출시,https://www.boannews.com/media/view.asp?idx=137846&page=5&kind=3
SK 쉴더스, AI 기반 ‘선제 차단’ 보안 전략 제시‘,https://www.boannews.com/media/view.asp?idx=137843&page=5&kind=3
핀텔, AI 기반 혁신 솔루션으로 도시 안전과 효율 동시 실현,https://www.boannews.com/media/view.asp?idx=137845&page=5&kind=3
특허심판원, 소송보단 ‘대화’...합의로 반도체 IP분쟁 해결해,https://www.boannews.com/media/view.asp?idx=137844&page=5&kind=1
‘저작권법 위반 통지’ 메일, 겁먹고 클릭하면 정보 ‘탈탈’,https://www.boannews.com/media/view.asp?idx=137842&page=5&kind=1
“천년 고도 경주서 정보보호 미래 찾아”...한국정보보호학회 하계 학술대회 성료,https://www.boannews.com/media/view.asp?idx=137838&page=5&kind=1
서강대학교, 국방 AI 기술 미래 선도 위한 워크숍 개최,https://www.boannews.com/media/view.asp?idx=137837&page=5&kind=2
파수 “연평균 20% 성장, 주주환원 30%”... 기업가치 제고 계획 발표,https://www.boannews.com/media/view.asp?idx=137836&page=5&kind=3
사이버다임, 정보보호 지원사업 참여...SECaaS 비즈니스 가속화,https://www.boannews.com/media/view.asp?idx=137833&page=5&kind=3
구글·애플 공식 앱스토어서 변종 앱 버젓이 유통…암호화폐 정보 노린다,https://www.boannews.com/media/view.asp?idx=137835&page=5&kind=1
군복에 센서 회로 인쇄...데이터 수집해 맞춤 훈련,https://www.boannews.com/media/view.asp?idx=137834&page=5&kind=2
