Title,Link
인빅, 4대 국가지원사업 연속 선정,https://www.boannews.com/media/view.asp?idx=138386&page=2&kind=3
[우주보안 칼럼] 우주로 향한 전장, 지구에 머문 보안,https://www.boannews.com/media/view.asp?idx=138384&page=2&kind=2
[ISEC 2025 미리보기] 소프트캠프, 업무환경별 N²SF 구축 방안과 필수 기술 전시,https://www.boannews.com/media/view.asp?idx=138320&page=2&kind=3
[ISEC 2025 미리보기] 잉카인터넷, 엔드포인트 전문 솔루션 ‘Tachyon UMS 4.0’ 선봬,https://www.boannews.com/media/view.asp?idx=138318&page=2&kind=3
TTA,  플리토에 AI 추론데이터 데이터품질인증 부여...국내 첫 사례,https://www.boannews.com/media/view.asp?idx=138376&page=2&kind=2
게임사, ‘IP 확보’ 사활....웹툰 등 주목,https://www.boannews.com/media/view.asp?idx=138374&page=2&kind=1
“보안 체계 개편해 AI 3대 강국 이끌 것” 배경훈 장관, 사이버 위협 대응 점검,https://www.boannews.com/media/view.asp?idx=138373&page=2&kind=2
국과수, 화재 감식에 AI 활용해 원격 감정,https://www.boannews.com/media/view.asp?idx=138372&page=3&kind=2
휴가철, 문단속과 함께 개인정보도 챙겨야,https://www.boannews.com/media/view.asp?idx=138371&page=3&kind=2
카카오뱅크, 데프콘 출전 국내 연합팀 ‘콜드 퓨전’ 공식 후원,https://www.boannews.com/media/view.asp?idx=138370&page=3&kind=3
LGU+, PQC 기술 확산 위해 대학생 공모전 개최,https://www.boannews.com/media/view.asp?idx=138366&page=3&kind=3
[배종찬의 보안 빅데이터] 트럼프 대통령이 관세만큼 강조하는 AI보안,https://www.boannews.com/media/view.asp?idx=138367&page=3&kind=4
누리랩, “탤레그램 사칭 피싱 사이트 주의하세요”,https://www.boannews.com/media/view.asp?idx=138365&page=3&kind=1
[IP포토] 장철민 의원실, ‘산업재산 정보 활용·확산 촉진 국회토론회’ 개최,https://www.boannews.com/media/view.asp?idx=138363&page=3&kind=1
LG엔솔, 中 상대 배터리 특허침해소 ‘3연승’,https://www.boannews.com/media/view.asp?idx=138361&page=3&kind=1
와플랫-KT텔레캅, AI 기반 디지털 돌봄 서비스 ‘맞손’,https://www.boannews.com/media/view.asp?idx=138359&page=3&kind=3
[SGI서울보증 랜섬웨어] ‘건라’ 랜섬웨어 특징과 동작 원리 분석해보니,https://www.boannews.com/media/view.asp?idx=138356&page=3&kind=1
“AI 경쟁력 강화 위해 이용 접근성 제고” 데이터안심구역 운영협의체 개최,https://www.boannews.com/media/view.asp?idx=138358&page=3&kind=2
한국정보시스템감사통제협회 정기총회 … 나재훈 회장 재선임,https://www.boannews.com/media/view.asp?idx=138357&page=3&kind=2
[카드뉴스] AI CCTV가 범죄를 ‘예측’한다! 침입감지·출입통제 한번에!,https://www.boannews.com/media/view.asp?idx=138360&page=3&kind=1
한국정보통신자격협회-서울사이버대학교, 미래 융합 인재 양성 MOU 체결,https://www.boannews.com/media/view.asp?idx=138355&page=3&kind=3
모빌린트, 코오롱베니트 AI 얼라이언스와 MOU 체결,https://www.boannews.com/media/view.asp?idx=138354&page=3&kind=3
[ISEC 2025 미리보기] 엑스게이트, NGFW·퀀텀 VPN·SSL 가시화로 빈틈없는 보안 환경 구축,https://www.boannews.com/media/view.asp?idx=138302&page=3&kind=3
[ISEC 2025 미리보기] SK쉴더스, Jamf로 완성하는 애플 디바이스 보안,https://www.boannews.com/media/view.asp?idx=138301&page=3&kind=3
[ISEC 2025 미리보기] 인스피언, ISEC 2025서 차세대 SIEM 솔루션 ‘BizInsider SIEM’ 전시,https://www.boannews.com/media/view.asp?idx=138299&page=3&kind=3
클로락스, “해킹 너 때문”…IT 서비스 외주 기업 고소,https://www.boannews.com/media/view.asp?idx=138353&page=3&kind=1
마에스트로 포렌식 AI 기반 디지털 포렌식 솔루션 ‘마에스트로 위즈덤’, 신규 고객사 대거 확보,https://www.boannews.com/media/view.asp?idx=138351&page=3&kind=3
KAIST 정보보호대학원, ‘2025 시큐리티@KAIST 페어’ 개최,https://www.boannews.com/media/view.asp?idx=138352&page=4&kind=2
얼굴 인식, 한번이 끝 아니야…시선AI, 지속인증 보안 솔루션 SEEU ON IdP 출시,https://www.boannews.com/media/view.asp?idx=138350&page=4&kind=3
