Title,Link
[CISO 코리아 2025] 신용석 전 사이버안보비서관 “국가안보실이 사이버안보 컨트롤타워로 적합”,https://www.boannews.com/media/view.asp?idx=138041&page=4&kind=2
LG유플러스, 정보보호백서 발간...고객의 보안 체감 강화,https://www.boannews.com/media/view.asp?idx=138039&page=4&kind=2
[CISO 코리아 2025] 류제명 차관, “정보보호가 기업 경영 핵심” 인식되도록 제도 개선하겠다,https://www.boannews.com/media/view.asp?idx=138040&page=4&kind=2
[CISO 코리아 2025] 현직 CISO 800명 모여 지식과 경험 공유...CISO 코리아 2025 개막,https://www.boannews.com/media/view.asp?idx=138036&page=4&kind=2
[CISO 코리아 2025] “솔루션 개편으로 신속한 의사결정”… KB국민은행 자율보안체계 소개,https://www.boannews.com/media/view.asp?idx=138037&page=4&kind=1
[SKT 해킹 사태] SKT, 2022년 해킹 발견하고도...그 해 보안투자 대폭 줄였다,https://www.boannews.com/media/view.asp?idx=138035&page=4&kind=1
넷앤드, 영등포 지역 취약계층에 여름 물품 기부,https://www.boannews.com/media/view.asp?idx=138034&page=4&kind=3
산림청 국립산림과학원, AI 통한 인위적 행동 패턴 분석으로 산불위험예보 정확도 높인다,https://www.boannews.com/media/view.asp?idx=138033&page=4&kind=2
양천구, LED 안전표지로 일방통행로 야간 역주행 사고 막는다,https://www.boannews.com/media/view.asp?idx=138032&page=4&kind=2
테이텀, K-ICT WEEK in BUSAN 참가...클라우드 네이티브 보안 강조,https://www.boannews.com/media/view.asp?idx=138031&page=4&kind=3
엔키화이트햇, Pre-ICON 선정...3년간 70억원 보증지원,https://www.boannews.com/media/view.asp?idx=138030&page=4&kind=3
시큐아이, 무료 보안 컨설팅 제공...맞춤형 전략 제시,https://www.boannews.com/media/view.asp?idx=138029&page=4&kind=3
정보보호 주간 ‘UNITED’ 개막, AI 시대 보안 위해 산학연관 총집합,https://www.boannews.com/media/view.asp?idx=138028&page=4&kind=2
티피링크, 4G 네트워크 및 3 포트 설계 갖춘 풀 컬러 카메라 출시,https://www.boannews.com/media/view.asp?idx=138027&page=4&kind=3
유럽연합, 2030년 양자 보안 글로벌 표준화·인프라 구축 본격화,https://www.boannews.com/media/view.asp?idx=138026&page=4&kind=2
하이크비전 ESG 보고서 발표, 보다 나은 미래 위한 ‘THRIVE’ 지속가능성 철학 제시,https://www.boannews.com/media/view.asp?idx=138025&page=4&kind=3
파이오링크, 첫 자사주 소각...전체 2% 규모,https://www.boannews.com/media/view.asp?idx=138023&page=4&kind=1
[2025 정보보호공시] 배달 앱 1위 배민, 보안투자 매년 두자리수↑…“클라우드 보안 강화”,https://www.boannews.com/media/view.asp?idx=138022&page=4&kind=3
지란지교소프트, ‘제로다크웹 3.0’ 출시...웹 도메인 유출 탐지 추가,https://www.boannews.com/media/view.asp?idx=138021&page=5&kind=1
VIGI, 최대 64채널 지원하는 고성능 네트워크 비디오 레코더 출시,https://www.boannews.com/media/view.asp?idx=138020&page=5&kind=3
파수, ‘랩소디 에코 클라우드’ 업데이트...공급망 보안 SaaS 비즈니스 가속화,https://www.boannews.com/media/view.asp?idx=138019&page=5&kind=1
랜섬웨어 그룹 헌터스 인터내셔널, 조직 해체 선언…“모든 피해자에 무료 복호화키 제공”,https://www.boannews.com/media/view.asp?idx=138018&page=5&kind=1
안랩블록체인컴퍼니, ‘워터밤 서울 2025’에 웹3 티켓 시스템 도입,https://www.boannews.com/media/view.asp?idx=138017&page=5&kind=3
[유경동의 IP전략] 불타는 웨이모(2),https://www.boannews.com/media/view.asp?idx=138016&page=5&kind=1
카타르 ‘국가IP전략’  수립, K-IP가 나선다,https://www.boannews.com/media/view.asp?idx=138015&page=5&kind=1
U+보안전문매장, 운영 2주 만에 20만명 스미싱·피싱 방지 서비스 가입,https://www.boannews.com/media/view.asp?idx=138014&page=5&kind=3
[기획특집] 2025 대한민국, 법제도 변화로 본 CCTV의 규율과 의미,https://www.boannews.com/media/view.asp?idx=137952&page=5&kind=2
[SKT 해킹 사태] 해킹 후 위약금 내고 떠난 사용자, 얼마나 돌려받는지 확인하세요,https://www.boannews.com/media/view.asp?idx=138013&page=5&kind=1
피해자 곁 배신자? 美 랜섬웨어 협상가, 해커와 리베이트 의혹,https://www.boannews.com/media/view.asp?idx=138002&page=5&kind=1
카스퍼스키, “챗GPT 사칭 공격 115% 늘어나”,https://www.boannews.com/media/view.asp?idx=138012&page=5&kind=1
[SKT 해킹 사태] SK텔레콤, 신임 CISO에 이종현 박사 선임,https://www.boannews.com/media/view.asp?idx=138011&page=5&kind=1
라온시큐어-인공지능협-디지털인증협, AI 인재 인증 위한 3자 MOU,https://www.boannews.com/media/view.asp?idx=138010&page=5&kind=3
BHSN-한컴, 리걸 AI 도입 ‘맞손’,https://www.boannews.com/media/view.asp?idx=138009&page=5&kind=3
[SKT 해킹 사태] SKT 올해 매출 전망 17조8000억원 → 17조원 하향,https://www.boannews.com/media/view.asp?idx=138008&page=5&kind=1
KISA, PLUS2025 보안 컨퍼런스 개최...실무 중심 보안 전략 논의,https://www.boannews.com/media/view.asp?idx=138007&page=5&kind=2
엘세븐시큐리티, 공공부문 순항...부산시에 솔루션 공급,https://www.boannews.com/media/view.asp?idx=138005&page=5&kind=1
[SKT 해킹 사태] SKT, “정보보호에 5년 간 7000억원 투자”,https://www.boannews.com/media/view.asp?idx=138006&page=5&kind=1
[SKT 해킹 사태] 4년간 방치된 SKT 해킹…통화 기록 유출돼도 대책 없어,https://www.boannews.com/media/view.asp?idx=138004&page=5&kind=1
