Title,Link
유니온바이오메트릭스, 日 야스다가 지분 5% 확보하며 전략적 파트너십 강화,https://www.boannews.com/media/view.asp?idx=138201&page=2&kind=3
앤앤에스피, OT 보안 풀 라인업 완성,https://www.boannews.com/media/view.asp?idx=138200&page=2&kind=3
2025년 제4차 첨단미래포럼·연구회 개최,https://www.boannews.com/media/view.asp?idx=138198&page=2&kind=3
티피링크 가트너 매직 쿼드런트 7년 연속 등재로 글로벌 경쟁력 입증,https://www.boannews.com/media/view.asp?idx=138197&page=2&kind=3
[SGI서울보증 랜섬웨어] SGI서울보증 해킹, 이렇게 당했다,https://www.boannews.com/media/view.asp?idx=138199&page=2&kind=1
개인정보위-KISA, 클라우드 보안 대책 마련...기업들과 간담회 가져,https://www.boannews.com/media/view.asp?idx=138196&page=2&kind=2
[SGI서울보증 랜섬웨어] 기업들 랜섬웨어 비상, 대책은?...“골든타임 대응 핵심”,https://www.boannews.com/media/view.asp?idx=138195&page=2&kind=1
티피링크, 2025 VIGI 제품 세미나 성공리 개최,https://www.boannews.com/media/view.asp?idx=138194&page=3&kind=3
[IP인포] 보안특허지수(STP),https://www.boannews.com/media/view.asp?idx=138193&page=3&kind=1
웹케시, 연구행정시스템에 ‘특허 API 연동’ 전격 도입...산단 설명회서 밝혀,https://www.boannews.com/media/view.asp?idx=138192&page=3&kind=5
에너지·교통·통신도 ‘핵티비스트’ 손안에...국가 인프라 공격 늘었다,https://www.boannews.com/media/view.asp?idx=138191&page=3&kind=1
[IP포토] 특허청, 산하기관 정책협의회 개최...새 정부 新정책 공유,https://www.boannews.com/media/view.asp?idx=138190&page=3&kind=2
TSCM, 보안 통화용 블루투스 이어버드 출시,https://www.boannews.com/media/view.asp?idx=138189&page=3&kind=3
클라우드플레어, 2분기 DDoS 공격 730만 건 차단…통신·서비스 인프라 집중 공격 받아,https://www.boannews.com/media/view.asp?idx=138188&page=3&kind=5
