Title,Link
개인정보위-KISA, 클라우드 보안 대책 마련...기업들과 간담회 가져,https://www.boannews.com/media/view.asp?idx=138196&page=5&kind=2
[SGI서울보증 랜섬웨어] 기업들 랜섬웨어 비상, 대책은?...“골든타임 대응 핵심”,https://www.boannews.com/media/view.asp?idx=138195&page=5&kind=1
티피링크, 2025 VIGI 제품 세미나 성공리 개최,https://www.boannews.com/media/view.asp?idx=138194&page=5&kind=3
[IP인포] 보안특허지수(STP),https://www.boannews.com/media/view.asp?idx=138193&page=5&kind=1
웹케시, 연구행정시스템에 ‘특허 API 연동’ 전격 도입...산단 설명회서 밝혀,https://www.boannews.com/media/view.asp?idx=138192&page=5&kind=5
에너지·교통·통신도 ‘핵티비스트’ 손안에...국가 인프라 공격 늘었다,https://www.boannews.com/media/view.asp?idx=138191&page=5&kind=1
[IP포토] 특허청, 산하기관 정책협의회 개최...새 정부 新정책 공유,https://www.boannews.com/media/view.asp?idx=138190&page=5&kind=2
TSCM, 보안 통화용 블루투스 이어버드 출시,https://www.boannews.com/media/view.asp?idx=138189&page=5&kind=3
클라우드플레어, 2분기 DDoS 공격 730만 건 차단…통신·서비스 인프라 집중 공격 받아,https://www.boannews.com/media/view.asp?idx=138188&page=5&kind=5
파수, 더 강력해진 ‘마인드셋’으로 랜섬웨어 예방 지원,https://www.boannews.com/media/view.asp?idx=138187&page=5&kind=3
앤앤에스피, OT 보안 풀라인업 완성…주요기반시설 및 제조·인프라 산업 보안 강화,https://www.boannews.com/media/view.asp?idx=138186&page=5&kind=3
KISIA, 인도네시아 보안 인재 양성...운수르야 대학과 업무협약,https://www.boannews.com/media/view.asp?idx=138185&page=5&kind=2
코오롱베니트, LG 엑사원 기반 소버린 AI 패키지 ‘AI 비전 인텔리전스’ 공개,https://www.boannews.com/media/view.asp?idx=138184&page=5&kind=3
라온시큐어, 코스타리카 대학·협회·교육기관 디지털 ID 구축,https://www.boannews.com/media/view.asp?idx=138183&page=5&kind=3
[ISEC 2025 미리보기] 지란지교 그룹, 관리자 실무 편의성 높인 정보보호 관리 방안 제시,https://www.boannews.com/media/view.asp?idx=138165&page=5&kind=3
[ISEC 2025 미리보기] 패킷고 ZTNA, ‘데이터 중심’ 제로 트러스트 보안 모델 제시,https://www.boannews.com/media/view.asp?idx=138164&page=5&kind=3
