Title,Link
개인정보위, 보건의료데이터 안전 활용 위한 ‘개인정보 기술포럼’ 공개 세미나,https://www.boannews.com/media/view.asp?idx=138095&page=3&kind=1
[정보보호 주간] “랜섬웨어, 민간뿐 아니라 군에도 위협될 수 있어”,https://www.boannews.com/media/view.asp?idx=138096&page=4&kind=2
태안군 CCTV 통합관제센터, 실시간 대응 성과 입증,https://www.boannews.com/media/view.asp?idx=138094&page=4&kind=2
“AI, 불법 스팸 잡는데 효과 있다”...정부, 불법스팸 종합대책 현황 점검,https://www.boannews.com/media/view.asp?idx=138093&page=4&kind=2
윈도우 제로데이 취약점 ‘CVE-2025-32713’ 최초 발견…S2W 포착,https://www.boannews.com/media/view.asp?idx=138092&page=4&kind=3
지스케일러, 제로 트러스트·AI 융합 보안 솔루션 국내 출시…클라우드·AI 환경 전방위 보호,https://www.boannews.com/media/view.asp?idx=138091&page=4&kind=3
[IP칼럼] K-디스커버리 도입 선결 조건,https://www.boannews.com/media/view.asp?idx=138090&page=4&kind=1
AI 보이스피싱 방지 기술...개인정보 오남용 문제는 어떻게?,https://www.boannews.com/media/view.asp?idx=138089&page=4&kind=2
“SQL 삽입 공격 대비 소홀”...개인정보위, 블랙야크에 13억9100만원 과징금,https://www.boannews.com/media/view.asp?idx=138087&page=4&kind=1
티오리한국 -대구대, 차세대 AI·보안 인재 양성 나선다,https://www.boannews.com/media/view.asp?idx=138086&page=4&kind=3
[정보보호 주간] 임종인 교수 “이스라엘, AI로 이란 정밀 타격...보안 대변혁기 시사”,https://www.boannews.com/media/view.asp?idx=138084&page=4&kind=2
펜타시큐리티 ‘클라우드브릭’ 글로벌 고객사 1100곳 돌파,https://www.boannews.com/media/view.asp?idx=138083&page=4&kind=1
정부, “‘25만원 민생쿠폰’ 안내 문자엔 URL 없어"...스미싱 피해 예방 총력,https://www.boannews.com/media/view.asp?idx=138071&page=4&kind=2
누리랩, “여름 휴가철 틈탄 피싱 사이트 기승”...공식 사이트 확인 필수,https://www.boannews.com/media/view.asp?idx=138079&page=4&kind=1
부산 금정구, 송전탑에 AI 산불감시 카메라 설치 추진,https://www.boannews.com/media/view.asp?idx=138078&page=4&kind=2
HS효성인포메이션시스템, 기가옴 레이더 AI 워크로드 최적화 고성능 스토리지 부문 리더 선정,https://www.boannews.com/media/view.asp?idx=138077&page=4&kind=3
LG유플러스, AI 협력 생태계 조성 나서...스타트업 4곳에 투자,https://www.boannews.com/media/view.asp?idx=138076&page=4&kind=3
KISA 임영철 연구위원, 유엔전자거래무역촉진기구(UN/CEFACT) 라포터 선출,https://www.boannews.com/media/view.asp?idx=138075&page=4&kind=2
SK쉴더스, 中企 특화 구독형 사이버보안 서비스 지원,https://www.boannews.com/media/view.asp?idx=138073&page=4&kind=1
노르마-강동경희대학교병원-리게티, 양자 컴퓨팅 기반 신약 개발 맞손,https://www.boannews.com/media/view.asp?idx=138074&page=4&kind=3
조달청, 다수공급자계약 등 조달 주요제도 80개 규제리셋,https://www.boannews.com/media/view.asp?idx=138072&page=4&kind=2
