Title,Link
명상교육진흥원, ‘AI 수어 명상’ 콘텐츠 개발,https://www.boannews.com/media/view.asp?idx=138160&page=2&kind=3
LG유플러스, 공항철도에 이음 5G 특화망 구축,https://www.boannews.com/media/view.asp?idx=138159&page=2&kind=2
[ISEC 2025 미리보기] 인트브릿지, 정보보호 인증 통합관리 솔루션 ‘컴플라인’ 선보여,https://www.boannews.com/media/view.asp?idx=138143&page=2&kind=3
‘마이크로소프트 엘리베이트’ 출범...사람 우선한 AI 미래 열어,https://www.boannews.com/media/view.asp?idx=138157&page=2&kind=2
MS, 포레스터 보고서 ‘제로 트러스트 플랫폼 리더’ 선정,https://www.boannews.com/media/view.asp?idx=138158&page=2&kind=3
국방기술품질원, 국방 AI 표준화 워킹그룹 출범,https://www.boannews.com/media/view.asp?idx=138156&page=2&kind=2
[ISEC 2025 미리보기] 소프트플로우, SBOM 기반 공급망 보안 강화 전략 소개,https://www.boannews.com/media/view.asp?idx=138150&page=2&kind=1
행정안전부-하이트진로 ‘모바일 신분증 활용해 책임 있는 음주문화 조성 위한 업무협약’ 체결,https://www.boannews.com/media/view.asp?idx=138155&page=3&kind=2
소방청, 교육부와 함께 ‘찾아가는 소방안전교육’ 긴급 확대 실시,https://www.boannews.com/media/view.asp?idx=138154&page=3&kind=2
[주목! 이 보안기술] “암호화 속 숨은 악성코드 꼼짝마”…수산아이앤티 ‘e프리즘 SSL VA’,https://www.boannews.com/media/view.asp?idx=138152&page=3&kind=2
핀텔의 에이전틱 AI 플랫폼 ‘PREVAX 4.0’, 스마트도시의 새로운 기준으로 주목,https://www.boannews.com/media/view.asp?idx=138153&page=3&kind=3
한국인터넷정보학회, 태국에서 제20회 APIC-IST 2025 국제학술대회 성황리 개최,https://www.boannews.com/media/view.asp?idx=138151&page=3&kind=3
센티넬원 “한글 AI가 알려주는 우리 회사 보안 현황은?”,https://www.boannews.com/media/view.asp?idx=138149&page=3&kind=3
[ISEC 2025 미리보기] 엔피코어, ‘좀비제로 XDR’·‘랜섬제로’로 기업 보안 시장 공략 강화,https://www.boannews.com/media/view.asp?idx=138138&page=3&kind=3
[ISEC 2025 미리보기] 다온기술, AI 기반 탐지 플랫폼 ‘GLIMPS’ 선보여,https://www.boannews.com/media/view.asp?idx=138144&page=3&kind=1
[ISEC 2025 미리보기] 디알엠인사이드, 제로트러스트 기반 웹 보안 솔루션 Web-X DRM v2.0 소개,https://www.boannews.com/media/view.asp?idx=138128&page=3&kind=3
티피링크, Wi-Fi 7 게이밍 공유기 ‘Archer GE230’ 출시,https://www.boannews.com/media/view.asp?idx=138148&page=3&kind=3
