Title,Link
SK쉴더스, 中企 특화 구독형 사이버보안 서비스 지원,https://www.boannews.com/media/view.asp?idx=138073&page=1&kind=1
[정보보호 주간] 공급망 보안은 제품 설계 첫 단계부터...KISA, ‘시큐어 바이 디자인’ 협약식 개최,https://www.boannews.com/media/view.asp?idx=138070&page=1&kind=2
시스코, 벤 도슨 신임 APJC 지역 총괄 사장 및 세일즈 책임자 선임,https://www.boannews.com/media/view.asp?idx=138069&page=1&kind=1
카스퍼스키, 이더리움 수수료 사기 웹사이트 탐지...사용자 주의 권고,https://www.boannews.com/media/view.asp?idx=138068&page=1&kind=1
[정보보호 주간] 김태성 교수 “사이버 보안 인력 양성, 하드 데이터와 융합교육이 핵심”,https://www.boannews.com/media/view.asp?idx=138067&page=1&kind=1
[정보보호 주간] ‘제로트러스트’와 ‘AI’ 보안 기술 선보인 보안 기업들...제14회 정보보호의 날,https://www.boannews.com/media/view.asp?idx=138062&page=1&kind=3
[정보보호 주간] 李 대통령, “튼튼한 사이버보안으로 AI 3대 강국 현실화”...제14회 정보보호의 날,https://www.boannews.com/media/view.asp?idx=138058&page=1&kind=2
[이원태의 글로벌 AI안보 전략-1] 글로벌 AI안보의 지정학적 풍경과 한국의 전략적 선택,https://www.boannews.com/media/view.asp?idx=138060&page=1&kind=4
[카드뉴스] “실시간 사장님 화상 호출” … 사실은 AI가 만든 가짜라면?,https://www.boannews.com/media/view.asp?idx=138061&page=1&kind=1
[배종찬의 보안 빅데이터] CCTV, 일상의 감시자인가 보호자인가,https://www.boannews.com/media/view.asp?idx=138059&page=1&kind=1
노르마-강동경희대학교병원-리게티, 양자 컴퓨팅 기반 신약 개발 맞손,https://www.boannews.com/media/view.asp?idx=138074&page=1&kind=3
조달청, 다수공급자계약 등 조달 주요제도 80개 규제리셋,https://www.boannews.com/media/view.asp?idx=138072&page=1&kind=2
[정보보호 주간] 스패로우, 신뢰할 수 있는 SW 공급망 형성 방안 제시...2025 공급망 보안 워크숍,https://www.boannews.com/media/view.asp?idx=138066&page=1&kind=1
조달청, 나라장터 종합쇼핑몰 인증관리 개선으로 행정 부담 줄이고 정보 정확성 높인다,https://www.boannews.com/media/view.asp?idx=138065&page=1&kind=2
감사원, ‘다봄 CCTV 성능 문제·납품 과정 위법 없음’ 무혐의 결론,https://www.boannews.com/media/view.asp?idx=138064&page=1&kind=1
파이오링크, 제로트러스트를 위한 ‘네트워크 초세분화’ 시연,https://www.boannews.com/media/view.asp?idx=138063&page=1&kind=1
해외 공동연구하다 억울한 일 당하지 말자...정부, 해외 연구보안 제도 가이드 발간,https://www.boannews.com/media/view.asp?idx=138056&page=1&kind=2
[IP人] 김완기 청장, “IP, 혁신의 원동력”...스위스 WIPO 총회서 강조,https://www.boannews.com/media/view.asp?idx=138057&page=1&kind=1
F5, 양자 컴퓨팅 위협 대비 양자내성암호 솔루션 출시,https://www.boannews.com/media/view.asp?idx=138054&page=1&kind=3
고려대 정보보호대학원, ‘KU시큐리티 고위 전문가 과정’ 신설...9월 3일 개강,https://www.boannews.com/media/view.asp?idx=138055&page=1&kind=2
보안 업계, 류제명 차관에게 한 첫 주문은?… “선제적 AI 보안으로 글로벌 도약”,https://www.boannews.com/media/view.asp?idx=138053&page=1&kind=1
2025년 포항시 개인정보 보호 실무자 회의 개최,https://www.boannews.com/media/view.asp?idx=138052&page=1&kind=2
소프트캠프, 황성익 영업본부 부사장 영입,https://www.boannews.com/media/view.asp?idx=138051&page=1&kind=3
AI 보안의 미래를 묻다...‘코드게이트 2025’ 개최,https://www.boannews.com/media/view.asp?idx=138049&page=1&kind=2
KISIA ‘2025 제3회 KISIA 정보보호 개발자 해커톤’ 개최,https://www.boannews.com/media/view.asp?idx=138050&page=1&kind=2
KISA, 글로벌 사이버보안 협력 네트워크 ‘CAMP 2.0’ 출범,https://www.boannews.com/media/view.asp?idx=138047&page=1&kind=2
류제명 과기정통부 제2차관, 첫 행보는 AI와 보안,https://www.boannews.com/media/view.asp?idx=138048&page=1&kind=1
개인정보위, 민·관 함께 신뢰 기반 AI 가드레일 구축 방안 모색,https://www.boannews.com/media/view.asp?idx=138045&page=1&kind=2
이정석 풍림무약 대표, ‘2025 서울 중소기업인대회’ 대통령 표창 수상,https://www.boannews.com/media/view.asp?idx=138044&page=1&kind=3
금융보안원 ‘2025 금융 AI 챌린지’ 개최, AI 기술로 금융의 미래 열다,https://www.boannews.com/media/view.asp?idx=138042&page=1&kind=2
티피링크 오마다, 고성능 PoE 인젝터 신제품 2종 출시,https://www.boannews.com/media/view.asp?idx=138043&page=2&kind=3
[CISO 코리아 2025] 신용석 전 사이버안보비서관 “국가안보실이 사이버안보 컨트롤타워로 적합”,https://www.boannews.com/media/view.asp?idx=138041&page=2&kind=2
LG유플러스, 정보보호백서 발간...고객의 보안 체감 강화,https://www.boannews.com/media/view.asp?idx=138039&page=2&kind=2
[CISO 코리아 2025] 류제명 차관, “정보보호가 기업 경영 핵심” 인식되도록 제도 개선하겠다,https://www.boannews.com/media/view.asp?idx=138040&page=2&kind=2
[CISO 코리아 2025] 현직 CISO 800명 모여 지식과 경험 공유...CISO 코리아 2025 개막,https://www.boannews.com/media/view.asp?idx=138036&page=2&kind=2
[CISO 코리아 2025] “솔루션 개편으로 신속한 의사결정”… KB국민은행 자율보안체계 소개,https://www.boannews.com/media/view.asp?idx=138037&page=2&kind=1
[SKT 해킹 사태] SKT, 2022년 해킹 발견하고도...그 해 보안투자 대폭 줄였다,https://www.boannews.com/media/view.asp?idx=138035&page=2&kind=1
넷앤드, 영등포 지역 취약계층에 여름 물품 기부,https://www.boannews.com/media/view.asp?idx=138034&page=2&kind=3
산림청 국립산림과학원, AI 통한 인위적 행동 패턴 분석으로 산불위험예보 정확도 높인다,https://www.boannews.com/media/view.asp?idx=138033&page=2&kind=2
양천구, LED 안전표지로 일방통행로 야간 역주행 사고 막는다,https://www.boannews.com/media/view.asp?idx=138032&page=2&kind=2
테이텀, K-ICT WEEK in BUSAN 참가...클라우드 네이티브 보안 강조,https://www.boannews.com/media/view.asp?idx=138031&page=2&kind=3
엔키화이트햇, Pre-ICON 선정...3년간 70억원 보증지원,https://www.boannews.com/media/view.asp?idx=138030&page=2&kind=3
시큐아이, 무료 보안 컨설팅 제공...맞춤형 전략 제시,https://www.boannews.com/media/view.asp?idx=138029&page=2&kind=3
정보보호 주간 ‘UNITED’ 개막, AI 시대 보안 위해 산학연관 총집합,https://www.boannews.com/media/view.asp?idx=138028&page=2&kind=2
티피링크, 4G 네트워크 및 3 포트 설계 갖춘 풀 컬러 카메라 출시,https://www.boannews.com/media/view.asp?idx=138027&page=2&kind=3
유럽연합, 2030년 양자 보안 글로벌 표준화·인프라 구축 본격화,https://www.boannews.com/media/view.asp?idx=138026&page=2&kind=2
하이크비전 ESG 보고서 발표, 보다 나은 미래 위한 ‘THRIVE’ 지속가능성 철학 제시,https://www.boannews.com/media/view.asp?idx=138025&page=2&kind=3
파이오링크, 첫 자사주 소각...전체 2% 규모,https://www.boannews.com/media/view.asp?idx=138023&page=2&kind=1
[2025 정보보호공시] 배달 앱 1위 배민, 보안투자 매년 두자리수↑…“클라우드 보안 강화”,https://www.boannews.com/media/view.asp?idx=138022&page=2&kind=3
지란지교소프트, ‘제로다크웹 3.0’ 출시...웹 도메인 유출 탐지 추가,https://www.boannews.com/media/view.asp?idx=138021&page=2&kind=1
VIGI, 최대 64채널 지원하는 고성능 네트워크 비디오 레코더 출시,https://www.boannews.com/media/view.asp?idx=138020&page=3&kind=3
파수, ‘랩소디 에코 클라우드’ 업데이트...공급망 보안 SaaS 비즈니스 가속화,https://www.boannews.com/media/view.asp?idx=138019&page=3&kind=1
랜섬웨어 그룹 헌터스 인터내셔널, 조직 해체 선언…“모든 피해자에 무료 복호화키 제공”,https://www.boannews.com/media/view.asp?idx=138018&page=3&kind=1
안랩블록체인컴퍼니, ‘워터밤 서울 2025’에 웹3 티켓 시스템 도입,https://www.boannews.com/media/view.asp?idx=138017&page=3&kind=3
[유경동의 IP전략] 불타는 웨이모(2),https://www.boannews.com/media/view.asp?idx=138016&page=3&kind=1
카타르 ‘국가IP전략’  수립, K-IP가 나선다,https://www.boannews.com/media/view.asp?idx=138015&page=3&kind=1
U+보안전문매장, 운영 2주 만에 20만명 스미싱·피싱 방지 서비스 가입,https://www.boannews.com/media/view.asp?idx=138014&page=3&kind=3
[기획특집] 2025 대한민국, 법제도 변화로 본 CCTV의 규율과 의미,https://www.boannews.com/media/view.asp?idx=137952&page=3&kind=2
[SKT 해킹 사태] 해킹 후 위약금 내고 떠난 사용자, 얼마나 돌려받는지 확인하세요,https://www.boannews.com/media/view.asp?idx=138013&page=3&kind=1
피해자 곁 배신자? 美 랜섬웨어 협상가, 해커와 리베이트 의혹,https://www.boannews.com/media/view.asp?idx=138002&page=3&kind=1
카스퍼스키, “챗GPT 사칭 공격 115% 늘어나”,https://www.boannews.com/media/view.asp?idx=138012&page=3&kind=1
[SKT 해킹 사태] SK텔레콤, 신임 CISO에 이종현 박사 선임,https://www.boannews.com/media/view.asp?idx=138011&page=3&kind=1
라온시큐어-인공지능협-디지털인증협, AI 인재 인증 위한 3자 MOU,https://www.boannews.com/media/view.asp?idx=138010&page=3&kind=3
BHSN-한컴, 리걸 AI 도입 ‘맞손’,https://www.boannews.com/media/view.asp?idx=138009&page=3&kind=3
[SKT 해킹 사태] SKT 올해 매출 전망 17조8000억원 → 17조원 하향,https://www.boannews.com/media/view.asp?idx=138008&page=3&kind=1
KISA, PLUS2025 보안 컨퍼런스 개최...실무 중심 보안 전략 논의,https://www.boannews.com/media/view.asp?idx=138007&page=3&kind=2
엘세븐시큐리티, 공공부문 순항...부산시에 솔루션 공급,https://www.boannews.com/media/view.asp?idx=138005&page=3&kind=1
[SKT 해킹 사태] SKT, “정보보호에 5년 간 7000억원 투자”,https://www.boannews.com/media/view.asp?idx=138006&page=3&kind=1
[SKT 해킹 사태] 4년간 방치된 SKT 해킹…통화 기록 유출돼도 대책 없어,https://www.boannews.com/media/view.asp?idx=138004&page=3&kind=1
[SKT 해킹 사태] 타임라인으로 본 SKT 사태...유출부터 위약금 면제까지,https://www.boannews.com/media/view.asp?idx=138003&page=3&kind=1
[SKT 해킹 사태] SKT 악성코드, 이렇게 침투했다...“총체적 관리 부실·대응 미흡”,https://www.boannews.com/media/view.asp?idx=138001&page=4&kind=1
[SKT 해킹 사태] SKT 위약금 면제 날벼락…가입자 이탈 현실화되나,https://www.boannews.com/media/view.asp?idx=138000&page=4&kind=1
[SKT 해킹 사태] 과기정통부, 해킹은 SKT 과실...“위약금 면제 가능 판단”,https://www.boannews.com/media/view.asp?idx=137999&page=4&kind=1
전국 과학관-전파관리소, 과학 문화 확산 맞손,https://www.boannews.com/media/view.asp?idx=137994&page=4&kind=2
세이퍼존, 디지털기업 in 경남 선정,https://www.boannews.com/media/view.asp?idx=137997&page=4&kind=3
지니언스, 말레이시아 사업 박차...‘사이데스 2025’ 국내 유일 참가,https://www.boannews.com/media/view.asp?idx=137998&page=4&kind=3
악성코드 유포 ‘지름길’ 된 윈도우 LNK 파일…공격 50% 급증,https://www.boannews.com/media/view.asp?idx=137996&page=4&kind=1
[유경동의 IP전략] 불타는 웨이모(1),https://www.boannews.com/media/view.asp?idx=137995&page=4&kind=1
[2025 인증보안 솔루션 리포트] 퀀텀 점프 앞둔 인증보안, 성장 요소 모두 갖췄다,https://www.boannews.com/media/view.asp?idx=137903&page=4&kind=3
[2025 방폭 CCTV 제품&솔루션 리포트] 불꽃보다 빠른, 위험 속 산업 현장 지킴이,https://www.boannews.com/media/view.asp?idx=137924&page=4&kind=3
[현장탐방] 아마노코리아의 ‘A’렌터카허브’ 체험기,https://www.boannews.com/media/view.asp?idx=137921&page=4&kind=3
김현민 금보원 디지털자산보안팀장 “전통 금융·디지털자산 교차점서 ‘신뢰’ 지켜”,https://www.boannews.com/media/view.asp?idx=137993&page=4&kind=1
[인터뷰] 이상욱 솔디아 대표 ‘기술 품은 리더십으로 다시 짜는 솔디아의 성장 지도’,https://www.boannews.com/media/view.asp?idx=137870&page=4&kind=3
[사람과 보안] 이재명 정부 AI 전략을 다시 묻다② “AI로 무장한 공권력, 누구를 겨누는가?”,https://www.boannews.com/media/view.asp?idx=137987&page=4&kind=2
[카드뉴스] 개발자 주의! 지금 설치한 그 패키지, ‘좀비’일 수 있습니다,https://www.boannews.com/media/view.asp?idx=137991&page=4&kind=1
KISA, 2025년 제14회 한국인터넷거버넌스포럼(KrIGF) 개최,https://www.boannews.com/media/view.asp?idx=137992&page=4&kind=2
한국인터넷정보학회 국방정보기술연구회 ‘2025년 전반기 워크숍’ 개최,https://www.boannews.com/media/view.asp?idx=137990&page=4&kind=3
특허청, IP서비스 산업 활성화...현장 목소리 청취,https://www.boannews.com/media/view.asp?idx=137989&page=4&kind=2
[IP人] 서을수 특허심판원장, 韓·유럽 상표·디자인심판 협력회의 참석,https://www.boannews.com/media/view.asp?idx=137988&page=4&kind=2
오내피플, 기술·경영혁신형 중소기업 인증 갱신,https://www.boannews.com/media/view.asp?idx=137983&page=4&kind=3
인텔리빅스에서 AI 연구하며 병역의무 마치세요,https://www.boannews.com/media/view.asp?idx=137985&page=5&kind=3
IP정책포럼, ‘K-디스커버리’ 본격 논의 착수,https://www.boannews.com/media/view.asp?idx=137986&page=5&kind=1
[부고] 안정보 안랩 라킨(Rakeen) CPO 장인상,https://www.boannews.com/media/view.asp?idx=137984&page=5&kind=1
개인정보위, ‘개인정보 보호수준 평가’ 현장 지원 나서,https://www.boannews.com/media/view.asp?idx=137982&page=5&kind=2
이글루코퍼레이션, 보안 운영 자동화 SOAR 특허 취득,https://www.boannews.com/media/view.asp?idx=137981&page=5&kind=3
에브리존, 6년 연속 KISA 정보보호 지원사업 공급기업 선정,https://www.boannews.com/media/view.asp?idx=137978&page=5&kind=2
안드로이드 기기 겨냥 사이버 위협 급증…공식 앱스토어까지 뚫렸다,https://www.boannews.com/media/view.asp?idx=137980&page=5&kind=1
파수, FDI Summit서 AI·보안 융합 전략 공개,https://www.boannews.com/media/view.asp?idx=137979&page=5&kind=3
SKT, 에이닷 엑스 4.0 지식형 모델 오픈소스로 공개,https://www.boannews.com/media/view.asp?idx=137977&page=5&kind=3
KITRI, 스마트혁신제품 제조기업 맞춤형 기술지원,https://www.boannews.com/media/view.asp?idx=137976&page=5&kind=2
엔피코어 ‘랜섬제로’, 과기정통부·KISA 2025 우수 정보보호기술 지정,https://www.boannews.com/media/view.asp?idx=137974&page=5&kind=3
[단독] 인터파크, 개인정보 유출 또...개인정보위에 신고,https://www.boannews.com/media/view.asp?idx=137965&page=5&kind=1
한국사이버안보학회, 6G· AI 시대 안보 전략 세미나 개최,https://www.boannews.com/media/view.asp?idx=137975&page=5&kind=2
KISIA, SBOM 생성도구 실증 기업 모집,https://www.boannews.com/media/view.asp?idx=137973&page=5&kind=2
러시아 방산업체, 사이버 공격에 뚫렸다…해군 핵심 시스템 문서 대량 유출,https://www.boannews.com/media/view.asp?idx=137972&page=5&kind=1
이형택 이노티움 대표 “문제는 파편화된 보안 솔루션, 통합 필요한 시점”,https://www.boannews.com/media/view.asp?idx=137970&page=5&kind=1
조달청, 혁신제품 연계한 연구개발 과제 선정·추진,https://www.boannews.com/media/view.asp?idx=137971&page=5&kind=2
클럼엘이 만드는 자율보안, ‘ClumL Frontier 2025’ 성료,https://www.boannews.com/media/view.asp?idx=137969&page=5&kind=3
