Title,Link
북한 해킹그룹 ‘코니’의 공격 아티팩트, 다른 북한 해킹그룹과 다른 점은,https://www.boannews.com/media/view.asp?idx=134068&page=2&kind=1
개인정보위, 합법 처리근거 없이 민감정보 수집·활용한 메타 제재... 216억 과징금 부과,https://www.boannews.com/media/view.asp?idx=134076&page=2&kind=2
개인정보위, 월급쟁이부자들·박차컴퍼니에 과징금 처분,https://www.boannews.com/media/view.asp?idx=134075&page=2&kind=2
안랩, 2024년 3분기 매출 685억... 영업이익 85억,https://www.boannews.com/media/view.asp?idx=134074&page=2&kind=3
“악성 민원인 폭언 녹음한다”... KISA, 민원 응대 보호시스템 전사 확대,https://www.boannews.com/media/view.asp?idx=134073&page=2&kind=2
온라인 채용 플랫폼, 개인정보 안전조치 이행률 97% 기록해,https://www.boannews.com/media/view.asp?idx=134072&page=2&kind=2
이노티움-DataSoftNow, CMMC인증컨설팅 협력 MOU 체결,https://www.boannews.com/media/view.asp?idx=134071&page=3&kind=3
메가존클라우드, 파이오링크와 클라우드 보안 서비스 협력,https://www.boannews.com/media/view.asp?idx=134070&page=3&kind=3
나무소프트, ‘글로벌 ICT 표준 컨퍼런스 2024’에서 특허청장 표창 수상,https://www.boannews.com/media/view.asp?idx=134067&page=3&kind=3
특허청, 스타트업과 함께 ‘제조 AI’ 특허경쟁력 강화에 나선다,https://www.boannews.com/media/view.asp?idx=134044&page=3&kind=2
중기부, 인공지능 기반 기술평가 플랫폼 ‘K-TOP’ 개시,https://www.boannews.com/media/view.asp?idx=134045&page=3&kind=2
과학수사관이 전문직으로서 갖춰야 할 핵심 가치 담은 ‘과학수사관 윤리규범’ 선포,https://www.boannews.com/media/view.asp?idx=134046&page=3&kind=2
디지털 초연결 시대, 정보문화기술 표준과 지식재산으로 혁신 선도,https://www.boannews.com/media/view.asp?idx=134047&page=3&kind=2
행안부, 디지털네이션스 회의 및 OECD 협력 통해 디지털 선도국 역할 강화,https://www.boannews.com/media/view.asp?idx=134048&page=3&kind=2
문체부, 인공지능 저작권 쟁점에 대한 국민의 생각을 묻다,https://www.boannews.com/media/view.asp?idx=134049&page=3&kind=2
정보기술 선도하는 한·아세안 등 16개국 장애청소년들이 함께 하는 축제의 장,https://www.boannews.com/media/view.asp?idx=134050&page=3&kind=2
국토부, ‘제130차 OGC 국제공간정보표준화 총회’ 개최,https://www.boannews.com/media/view.asp?idx=134051&page=3&kind=2
기업 협업으로 글로벌 6G·저궤도 위성 주도권 확보,https://www.boannews.com/media/view.asp?idx=134052&page=3&kind=3
SKT, ‘AI 인프라 슈퍼 하이웨이’ 구축한다,https://www.boannews.com/media/view.asp?idx=134053&page=3&kind=3
현대건설, 기입주 단지에도 첨단 AI 라이프 선보여,https://www.boannews.com/media/view.asp?idx=134054&page=3&kind=3
중소기업 10곳 중 9곳은 AI 활용 안해... 업종별 우수 사례, 활용 방법 알려야,https://www.boannews.com/media/view.asp?idx=134055&page=3&kind=2
[bnTV] 실적 시즌과 美 대선 변수? 보안주는 상승세,https://www.boannews.com/media/view.asp?idx=134057&page=3&kind=3
[개인정보 보호법 해석 사례-①보호법 정의] 어디까지 개인정보인가?,https://www.boannews.com/media/view.asp?idx=133900&page=3&kind=2
[오늘의 보안 영어] in the throes of,https://www.boannews.com/media/view.asp?idx=134066&page=3&kind=1
인텔브로커, MIT테크놀로지리뷰의 구독자 30만 명 개인정보 유출,https://www.boannews.com/media/view.asp?idx=134065&page=3&kind=1
미국 사법부, 피싱 공격한 나이지리아인에게 26년형 구형,https://www.boannews.com/media/view.asp?idx=134064&page=3&kind=1
