Title,Link
AI 분야 주요 보안위협 TOP 10,https://www.boannews.com/media/view.asp?idx=134079&page=1&kind=6
[정보세계정치학회 칼럼] 미완성 기술, 인공지능의 회색지대와 국제 거버넌스 외교 추세,https://www.boannews.com/media/view.asp?idx=134023&page=1&kind=6
사이버안보 정책 발전 위한 정부의 역할은?,https://www.boannews.com/media/view.asp?idx=134037&page=1&kind=2
북한 해킹그룹 ‘코니’의 공격 아티팩트, 다른 북한 해킹그룹과 다른 점은,https://www.boannews.com/media/view.asp?idx=134068&page=1&kind=1
개인정보위, 합법 처리근거 없이 민감정보 수집·활용한 메타 제재... 216억 과징금 부과,https://www.boannews.com/media/view.asp?idx=134076&page=1&kind=2
개인정보위, 월급쟁이부자들·박차컴퍼니에 과징금 처분,https://www.boannews.com/media/view.asp?idx=134075&page=1&kind=2
안랩, 2024년 3분기 매출 685억... 영업이익 85억,https://www.boannews.com/media/view.asp?idx=134074&page=1&kind=3
“악성 민원인 폭언 녹음한다”... KISA, 민원 응대 보호시스템 전사 확대,https://www.boannews.com/media/view.asp?idx=134073&page=1&kind=2
온라인 채용 플랫폼, 개인정보 안전조치 이행률 97% 기록해,https://www.boannews.com/media/view.asp?idx=134072&page=1&kind=2
이노티움-DataSoftNow, CMMC인증컨설팅 협력 MOU 체결,https://www.boannews.com/media/view.asp?idx=134071&page=2&kind=3
메가존클라우드, 파이오링크와 클라우드 보안 서비스 협력,https://www.boannews.com/media/view.asp?idx=134070&page=2&kind=3
나무소프트, ‘글로벌 ICT 표준 컨퍼런스 2024’에서 특허청장 표창 수상,https://www.boannews.com/media/view.asp?idx=134067&page=2&kind=3
특허청, 스타트업과 함께 ‘제조 AI’ 특허경쟁력 강화에 나선다,https://www.boannews.com/media/view.asp?idx=134044&page=2&kind=2
중기부, 인공지능 기반 기술평가 플랫폼 ‘K-TOP’ 개시,https://www.boannews.com/media/view.asp?idx=134045&page=2&kind=2
과학수사관이 전문직으로서 갖춰야 할 핵심 가치 담은 ‘과학수사관 윤리규범’ 선포,https://www.boannews.com/media/view.asp?idx=134046&page=2&kind=2
디지털 초연결 시대, 정보문화기술 표준과 지식재산으로 혁신 선도,https://www.boannews.com/media/view.asp?idx=134047&page=2&kind=2
