Title,Link
사이버 공격자들, 실제로 인공지능을 어떻게 악용하나,https://www.boannews.com/media/view.asp?idx=133588&page=1&kind=4
AI 기본법, 국회 과방위 법안소위 통과...  AI 진흥 계획 수립 근거 마련,https://www.boannews.com/media/view.asp?idx=134587&page=1&kind=2
[한 주를 관통하는 보안 소식] 2024년 11월 3주차, ‘In the Air’,https://www.boannews.com/media/view.asp?idx=134516&page=1&kind=1
[퀴즈 이·보·소] 연말 앞둔 온라인 사기, 무엇을 조심해야 할까?,https://www.boannews.com/media/view.asp?idx=134580&page=1&kind=1
과기정통부, ‘국제 AI안전연구소 네트워크’ 참여... 주도적인 역할 할 것,https://www.boannews.com/media/view.asp?idx=134578&page=1&kind=2
최근 페이스북에서 유행하는 멀버타이징 캠페인, 비트워든 사칭,https://www.boannews.com/media/view.asp?idx=134581&page=1&kind=1
배블로더, 그리 획기적이지 않은 기술을 매우 획기적으로 사용 중,https://www.boannews.com/media/view.asp?idx=134579&page=1&kind=1
[긴급] 국세청 등 정부 사칭 미끼 문자와 해킹 메일 주의보,https://www.boannews.com/media/view.asp?idx=134576&page=1&kind=2
디지털포렌식 1인당 연 366건 업무... 전문인력 턱없이 부족,https://www.boannews.com/media/view.asp?idx=134575&page=1&kind=2
[게임&보안] 고수들 드글대는 사이버 공간인지라 누구나 압축 성장이 필요하다,https://www.boannews.com/media/view.asp?idx=134517&page=1&kind=3
빗썸, 강화된 투자자 보호와 보안위협탐지 시스템으로 안전한 거래 환경 조성 앞장선다,https://www.boannews.com/media/view.asp?idx=134586&page=1&kind=3
2024년 디지털 창업경진대회 최고 선발전 본격 시작됐다,https://www.boannews.com/media/view.asp?idx=134585&page=1&kind=2
인공지능 시대, 공직 전문성 높일 인재 확보 전략은?,https://www.boannews.com/media/view.asp?idx=134584&page=1&kind=2
산림청, 개인정보 지키고 국민 복지 높여... 가명정보 활용 경진대회 ‘대상’ 수상,https://www.boannews.com/media/view.asp?idx=134583&page=1&kind=2
외교부, 제6차 경제안보외교 민관합동 협의체 개최,https://www.boannews.com/media/view.asp?idx=134582&page=1&kind=2
KISA, 화이트해커와 함께 사이버 보안성 높인다,https://www.boannews.com/media/view.asp?idx=134577&page=1&kind=2
국과수 전종주 연구사 “디지털 증거, 파일 열어만 봐도 파일 속성 변경돼 취약성 커져”,https://www.boannews.com/media/view.asp?idx=134540&page=1&kind=2
KISIA, 2024 ICT융합산업보안 컨퍼런스 11월 26일 개최,https://www.boannews.com/media/view.asp?idx=134569&page=1&kind=3
제11차 아세안 확대 국방장관회의... 사이버·유엔 평화유지활동 높이 평가,https://www.boannews.com/media/view.asp?idx=134568&page=1&kind=2
2024 가명정보 활용 경진대회 시상식 개최,https://www.boannews.com/media/view.asp?idx=134567&page=1&kind=2
한국사회보장정보원-토마토시스템, AI 관련 신기술 개발 MOU 체결,https://www.boannews.com/media/view.asp?idx=134566&page=1&kind=3
[오늘의 보안 영어] call time on,https://www.boannews.com/media/view.asp?idx=134574&page=1&kind=1
랜섬허브, 멕시코 법무부 침해한 뒤 데이터 샘플 공개해,https://www.boannews.com/media/view.asp?idx=134573&page=1&kind=1
중국 해커들이 사용하기 시작한 새 멀웨어, 울프스베인,https://www.boannews.com/media/view.asp?idx=134572&page=1&kind=1
제로데이 취약점 있는 팔로알토네트웍스 장비 겨냥 공격 증가 중,https://www.boannews.com/media/view.asp?idx=134571&page=1&kind=1
다크웹의 대형 시장 팝아이툴즈, 미국 사법부가 무력화시켜,https://www.boannews.com/media/view.asp?idx=134570&page=1&kind=1
LG U+, 기업가치 제고 계획 발표 ‘AX 컴퍼니’ 구조 전환 가속화,https://www.boannews.com/media/view.asp?idx=134565&page=1&kind=3
