Title,Link
북한 IT노동자, 가짜 이력서로 서방국 취업해 정보탈취·외화벌이 ‘일거양득’,https://www.boannews.com/media/view.asp?idx=134485&page=2&kind=1
개인정보위, 민간과 공동으로 개인정보 보호와 데이터 활용 생태계 조성 방법 찾는다,https://www.boannews.com/media/view.asp?idx=134488&page=2&kind=2
SKT, 신한카드와 AI 기반 사이버금융 범죄 예방 맞손,https://www.boannews.com/media/view.asp?idx=134487&page=2&kind=3
경찰청, 제17회 사이버치안대상 시상식 개최... 김휘강 고려대 교수 대통령 표창,https://www.boannews.com/media/view.asp?idx=134486&page=2&kind=2
트럼프 당선에 일론 머스크 부상까지... AI 시대의 사이버안보 전략 9가지,https://www.boannews.com/media/view.asp?idx=134408&page=2&kind=2
[오늘의 보안 영어] on the spot,https://www.boannews.com/media/view.asp?idx=134493&page=2&kind=1
데이터 분석과 데이터 과학에 널리 사용되는 플랫폼, 스포츠 경기 노려,https://www.boannews.com/media/view.asp?idx=134492&page=3&kind=1
러시아 랜섬웨어 포보스의 운영자, 한국에서 미국으로 인도돼,https://www.boannews.com/media/view.asp?idx=134491&page=3&kind=1
악명 높은 봇넷 엔지오웹, 각종 범죄 인프라 확대시키고 있어,https://www.boannews.com/media/view.asp?idx=134490&page=3&kind=1
애플, 올해 다섯 번째와 여섯 번째 발견된 제로데이 취약점 패치,https://www.boannews.com/media/view.asp?idx=134489&page=3&kind=1
티피링크 Festa, Wi-Fi 7 천장형 AP 신제품 출시,https://www.boannews.com/media/view.asp?idx=134484&page=3&kind=3
NSHC, 일본 ‘EdgeTech+ 2024’ 초청받아 한국기업으로 참가중,https://www.boannews.com/media/view.asp?idx=134483&page=3&kind=3
관세청, ‘2024 정부혁신 왕중왕전’ 장관상 수상,https://www.boannews.com/media/view.asp?idx=134458&page=3&kind=2
지역 문제를 신기술로 해결... ‘데이터 기반 지역활성화 사업’ 성과공유회 개최,https://www.boannews.com/media/view.asp?idx=134457&page=3&kind=2
자율운항선박 자동 정박 시스템, ‘대한민국 올해의 10대 기계 기술’ 선정,https://www.boannews.com/media/view.asp?idx=134456&page=3&kind=2
특허청, ‘2024 캠퍼스 특허 유니버시아드’ 시상식 개최,https://www.boannews.com/media/view.asp?idx=134455&page=3&kind=2
스마트건설로 미래를 디자인하다... 국토부, ‘2024 스마트건설 EXPO’ 개막,https://www.boannews.com/media/view.asp?idx=134454&page=3&kind=2
중기부, ‘2024 민관협력 오픈이노베이션’ 성과공유회 개최,https://www.boannews.com/media/view.asp?idx=134453&page=3&kind=2
SKT AI 펠로우십 6기, 특허 출원·서비스화 등 눈부신 성과 창출,https://www.boannews.com/media/view.asp?idx=134452&page=3&kind=2
ETRI, 전문 분야 설명가능한 인공지능 기술개발,https://www.boannews.com/media/view.asp?idx=134451&page=3&kind=2
GIST AI정책전략대학원, 아마존웹서비스와 클라우드 인재 양성에 힘 모아,https://www.boannews.com/media/view.asp?idx=134450&page=3&kind=2
과기정통부, 딥페이크 주제로 ‘디지털 심화쟁점 공동토의’ 개최,https://www.boannews.com/media/view.asp?idx=134476&page=3&kind=2
