Title,Link
현대차, 국제 해킹·보안 컨퍼런스 최대 후원사로 참여,https://www.boannews.com/media/view.asp?idx=134172&page=2&kind=3
제4차 한-영 사이버정책협의회 개최... 사이버 위협 대응 협력 강화 논의,https://www.boannews.com/media/view.asp?idx=134155&page=2&kind=2
테르텐, 일본 ASOCIO 디지털 서밋 2024에서 사이버 보안 어워드 수상,https://www.boannews.com/media/view.asp?idx=134154&page=2&kind=3
원모어시큐리티, 올인원 안전 플랫폼 ‘원모어아이 v2.0’ GS인증 1등급 획득,https://www.boannews.com/media/view.asp?idx=134150&page=2&kind=3
[긴급] 전국 법원 홈페이지 대부분 접속불가... 디도스 공격 추정,https://www.boannews.com/media/view.asp?idx=134151&page=3&kind=1
블랙베리 QNX, 현대모비스 차세대 디지털 콕핏 플랫폼에 채택,https://www.boannews.com/media/view.asp?idx=134148&page=3&kind=3
경찰청, 문체부와 공동으로 필리핀에서 불법 IPTV 운영자 검거,https://www.boannews.com/media/view.asp?idx=134149&page=3&kind=1
앤앤에스피-지니언스 손잡고 포스트 망분리 시대 금융 보안 대응책 내놔,https://www.boannews.com/media/view.asp?idx=134152&page=3&kind=3
블랙베리 QNX, 텔레칩스 차세대 디지털 콧핏 개발 플랫폼 선정,https://www.boannews.com/media/view.asp?idx=134147&page=3&kind=3
일본도 친러 성향 디도스 공격 받아... 디도스·랜섬웨어·피싱 피해현황은?,https://www.boannews.com/media/view.asp?idx=134137&page=3&kind=1
과기정통부, 민·관 합동으로 미래산업 사이버 보안 적극 대응 나서,https://www.boannews.com/media/view.asp?idx=134146&page=3&kind=2
한국, 아·태 침해사고대응팀협의회(APCERT) 의장국 재당선,https://www.boannews.com/media/view.asp?idx=134123&page=3&kind=2
과기정통부, ‘제14회 소프트웨어 개발보안 학술대회’ 개최,https://www.boannews.com/media/view.asp?idx=134124&page=3&kind=2
폴리텍, 제8회 벤처창업아이템 경진대회 개최,https://www.boannews.com/media/view.asp?idx=134122&page=3&kind=2
인공지능 대전환 시대, 새로운 돌파구를 열다!,https://www.boannews.com/media/view.asp?idx=134125&page=3&kind=2
