Title,Link
SKT, ‘AI 인프라 슈퍼 하이웨이’ 구축한다,https://www.boannews.com/media/view.asp?idx=134053&page=1&kind=3
현대건설, 기입주 단지에도 첨단 AI 라이프 선보여,https://www.boannews.com/media/view.asp?idx=134054&page=1&kind=3
중소기업 10곳 중 9곳은 AI 활용 안해... 업종별 우수 사례, 활용 방법 알려야,https://www.boannews.com/media/view.asp?idx=134055&page=1&kind=2
KISIA, FISCON 2024 부대행사로 정보보호 제품 전시회 개최,https://www.boannews.com/media/view.asp?idx=134059&page=1&kind=3
조달청, 역대 최대 규모 공공조달 수출상담회 개최,https://www.boannews.com/media/view.asp?idx=134061&page=1&kind=2
샌즈랩, AI 기반 차세대 NDR 솔루션 ‘MNX’로 공공시장 본격 공략,https://www.boannews.com/media/view.asp?idx=134058&page=1&kind=3
아이씨티케이-쿠도커뮤니케이션, 총판 계약 체결,https://www.boannews.com/media/view.asp?idx=134056&page=1&kind=3
[카드뉴스] 안전한 접근을 위한 필수 장치, ‘다중인증(MFA)’이란?,https://www.boannews.com/media/view.asp?idx=134041&page=1&kind=5
티피링크, 대규모 시나리오 위한 Omada Pro 와이파이7 AP9778 출시,https://www.boannews.com/media/view.asp?idx=134042&page=1&kind=3
디스코드 봇에 숨겨진 RAT 악성코드... ‘파이실론’ 사례 분석해보니,https://www.boannews.com/media/view.asp?idx=134040&page=1&kind=1
[한국사이버안보학회 칼럼] 미국의 선제적 방어전략에 대한 한국의 준비,https://www.boannews.com/media/view.asp?idx=134025&page=2&kind=6
KISA, 미주개발은행과 중남미 디지털 안전 및 협력 강화,https://www.boannews.com/media/view.asp?idx=134039&page=2&kind=2
유니온커뮤니티, ‘2024 ICT 특허경영대상’ 수상,https://www.boannews.com/media/view.asp?idx=134038&page=2&kind=3
에스앤아이코퍼레이션, ‘ISO/IEC 27001:2022’ 인증 획득,https://www.boannews.com/media/view.asp?idx=134034&page=2&kind=3
FIDO 얼라이언스, ‘패스키로 여는 안전한 내일’ 주제로 퍼블릭 세미나 개최,https://www.boannews.com/media/view.asp?idx=134035&page=2&kind=3
국민의힘 박충권 의원, “대형 플랫폼, 독점적 행위 규제해야”,https://www.boannews.com/media/view.asp?idx=134033&page=2&kind=2
포티넷, “70% 기업, 직원들의 기본적인 보안 인식 부족”,https://www.boannews.com/media/view.asp?idx=134032&page=2&kind=3
한국사이버안보학회 법제도연구위원회, ‘사이버안보와 법의 역할’ 논의,https://www.boannews.com/media/view.asp?idx=134022&page=2&kind=2
조달청, 조직문화 혁신을 위한 약속 캠폐인 실시,https://www.boannews.com/media/view.asp?idx=134030&page=2&kind=2
[오늘의 보안 영어] in lockstep,https://www.boannews.com/media/view.asp?idx=134029&page=2&kind=1
새롭게 등장한 랜섬웨어, 독특하게 프리BSD 서버 노려,https://www.boannews.com/media/view.asp?idx=134028&page=2&kind=1
온라인 아동 그루밍 범죄자들, 절반이 스냅챗에서 활동,https://www.boannews.com/media/view.asp?idx=134027&page=2&kind=1
깃 설정파일 노리는 대형 캠페인 적발돼,https://www.boannews.com/media/view.asp?idx=134026&page=2&kind=1
스콥정보통신, AWS 출신 사업운영 전문가 최철호 COO 영입... ‘고객만족 경영 강화’,https://www.boannews.com/media/view.asp?idx=134024&page=2&kind=3
SK쉴더스, 전기차 화재 대응 역량 강화,https://www.boannews.com/media/view.asp?idx=134021&page=2&kind=3
안랩, 2024년 한국ESG기준원 ESG평가 통합 ‘우수’ 등급 획득,https://www.boannews.com/media/view.asp?idx=134020&page=2&kind=3
조달청, 102개 규제개혁과제 연내 완료,https://www.boannews.com/media/view.asp?idx=134019&page=2&kind=2
LG유플러스, 보안 전문가 발굴 위한 ‘시큐리티 해커톤’ 12월 6일 개최,https://www.boannews.com/media/view.asp?idx=134018&page=2&kind=3
[기획특집] 에스원과 SK쉴더스, KT텔레캅에 대한 소비자의 선택과 생각은?,https://www.boannews.com/media/view.asp?idx=133856&page=2&kind=3
[인터뷰] 에이앤티코리아 이동식 대표 “협력사 위한 맞춤 솔루션은 국내 최고 수준”,https://www.boannews.com/media/view.asp?idx=133954&page=2&kind=3
언더그라운드 랜섬웨어, 텔레그램에 탈취 정보 공개,https://www.boannews.com/media/view.asp?idx=134008&page=3&kind=1
“제가 보낸 DM 누르지 마세요”... 유명인 SNS 해킹 피해 속출,https://www.boannews.com/media/view.asp?idx=134017&page=3&kind=1
[보안&영화] 블랙 해커와 보안 전문가의 결정적 차이점은 바로 ‘악의’,https://www.boannews.com/media/view.asp?idx=133950&page=3&kind=1
한국사이버안보학회 2대 회장, 서울과기대 손기욱 교수 선출,https://www.boannews.com/media/view.asp?idx=134016&page=3&kind=2
[한 주를 관통하는 보안 소식] 2024년 10월 5주차, ‘Versus’,https://www.boannews.com/media/view.asp?idx=133976&page=3&kind=1
친러 해킹그룹, 우크라이나 지원 빌미로 한국 공격... 랜섬웨어·디도스 주의 권고,https://www.boannews.com/media/view.asp?idx=134007&page=3&kind=1
국정원 윤오준 3차장 “초국가적 사이버위협 대응 위해 국제공조와 민간협력 강화”,https://www.boannews.com/media/view.asp?idx=134009&page=3&kind=2
강원도, AI 자율제조 포럼 개최... AI로 만드는 제조업 혁신 패러다임 전환,https://www.boannews.com/media/view.asp?idx=134015&page=3&kind=2
부산시, ‘2024 부산 사이버보안 콘퍼런스’ 개최,https://www.boannews.com/media/view.asp?idx=134014&page=3&kind=2
LG전자, 헬스케어 스타트업 성공 노하우 나눈다,https://www.boannews.com/media/view.asp?idx=134013&page=3&kind=3
디지털플랫폼정부 전문가 양성해 디지털정부 해외 진출 돕는다,https://www.boannews.com/media/view.asp?idx=134012&page=3&kind=2
과기정통부-교육부, ‘2024 대한민국 소프트웨어 교육 축제’ 개최,https://www.boannews.com/media/view.asp?idx=134011&page=3&kind=2
경찰청, 딥페이크 성범죄 특별단속 추진 현황 발표,https://www.boannews.com/media/view.asp?idx=134010&page=3&kind=2
MS-SQL 서버 취약점 점검, 비전문가도 할 수 있다... ‘해킹진단도구’ 활용법,https://www.boannews.com/media/view.asp?idx=133980&page=3&kind=1
[인터뷰] Tiandy 코리아 최림 본부장 “내년 한국시장, 현지화와 기술 지원 강화, CS 활성화에 중점”,https://www.boannews.com/media/view.asp?idx=134005&page=3&kind=3
Weekly Security Premium Report 제174호 발간! 중소기업을 위한 ‘효율적인 보안 가이드라인’,https://www.boannews.com/media/view.asp?idx=134004&page=3&kind=3
과기정통부, 2024년 데이터안심구역 활용 공동 경진대회 시상식 개최,https://www.boannews.com/media/view.asp?idx=133996&page=3&kind=2
과기정통부, ‘2024년 정보통신사고 재난대응 안전한국훈련’ 실시,https://www.boannews.com/media/view.asp?idx=133994&page=3&kind=2
조달청, 신산업 이끄는 45개 혁신제품 지정,https://www.boannews.com/media/view.asp?idx=134002&page=3&kind=3
큐냅, 버그바운티 대회에서 발견된 제로데이 취약점 패치해,https://www.boannews.com/media/view.asp?idx=134000&page=3&kind=1
[오늘의 보안 영어] boots on the ground,https://www.boannews.com/media/view.asp?idx=134001&page=4&kind=4
소포스, 중국 해커와 싸운 5년 간의 기록 공개해,https://www.boannews.com/media/view.asp?idx=133999&page=4&kind=1
새로운 피싱키트 슈고우, 유명 브랜드 사칭하며 빠르게 세력 넓혀,https://www.boannews.com/media/view.asp?idx=133998&page=4&kind=1
새롭게 등장한 라이트스파이, 이번에는 iOS도 노려,https://www.boannews.com/media/view.asp?idx=133997&page=4&kind=1
인터넷신문윤리위원회, 2024 인터넷신문 윤리포럼 성료,https://www.boannews.com/media/view.asp?idx=133995&page=4&kind=2
한국과 유럽연합, ‘동등성 인정’ 추진으로 데이터 교류 장벽 없앤다,https://www.boannews.com/media/view.asp?idx=133993&page=4&kind=2
위협 인텔리전스 플랫폼 ‘안랩 TIP’에 텔레그램 및 랜섬웨어 특화 모니터링 기능 추가,https://www.boannews.com/media/view.asp?idx=133992&page=4&kind=3
[bnTV] 수능 코앞! 수험생 노리는 ‘사이버 범죄’ 주의보,https://www.boannews.com/media/view.asp?idx=133930&page=4&kind=1
[한국정보보호학회 칼럼] 국가 경제의 중심, 항만을 위한 사이버보안 강화 노력,https://www.boannews.com/media/view.asp?idx=133978&page=4&kind=6
한국후지필름BI, 11번가 ‘그랜드십일절’ 통해 복합기와 프린터 최대 30% 할인,https://www.boannews.com/media/view.asp?idx=133991&page=4&kind=3
최은수 인텔리빅스 대표, ‘CES 2025 혁신상’ 심사위원에 임명,https://www.boannews.com/media/view.asp?idx=133990&page=4&kind=3
ETRI, ‘2024 AIoT 국제전시회’ 참가해 최첨단 지능형 사물인터넷 기술 공개,https://www.boannews.com/media/view.asp?idx=133989&page=4&kind=2
행안부, G20 장관회의에서 재난위험경감 선도 국가로서 위상 강화,https://www.boannews.com/media/view.asp?idx=133988&page=4&kind=2
과기정통부, ‘2024 생명연구자원 인공지능 활용 경진대회’ 수상자 발표,https://www.boannews.com/media/view.asp?idx=133986&page=4&kind=2
과기정통부, 데이터 표준계약서 및 활용안내서 배포,https://www.boannews.com/media/view.asp?idx=133985&page=4&kind=2
AI CCTV와 X-Ray 등 첨단 기술 통해 관세행정 서비스 혁신하다,https://www.boannews.com/media/view.asp?idx=133984&page=4&kind=2
선박 ‘사이버안전’으로 해상 물류 공급망 지킨다,https://www.boannews.com/media/view.asp?idx=133983&page=4&kind=2
[2024 제로트러스트-데이터 보안 리포트] 결국엔 데이터 보안, 제로트러스트 도입의 최전선 될 것,https://www.boannews.com/media/view.asp?idx=133852&page=4&kind=3
개인정보위, ‘개인정보의 안전성 확보조치 기준 안내서’ 공개,https://www.boannews.com/media/view.asp?idx=133982&page=4&kind=2
