Title,Link
이지서티, 중소기업 혁신대전에서 ‘아이덴티티 쉴드 반정형 V1.0’ 선보여,https://www.boannews.com/media/view.asp?idx=134660&page=2&kind=3
정보보호산업 경쟁력이 곧 국가안보, ‘2024 정보보호산업인의 밤’ 개최,https://www.boannews.com/media/view.asp?idx=134645&page=2&kind=2
세이퍼존, 최신 맥OS 및 리눅스 OS 등 자동 업데이트 지원 밝혀,https://www.boannews.com/media/view.asp?idx=134659&page=2&kind=3
2024년 국회 과학기술공로장 시상식 개최,https://www.boannews.com/media/view.asp?idx=134600&page=2&kind=2
보안 소프트웨어도 지나치게 오래되면 오히려 공격 도구가 된다,https://www.boannews.com/media/view.asp?idx=134658&page=2&kind=1
중국의 APT 단체 겔세뮴, 처음으로 리눅스 기반 시스템 공격하기 시작,https://www.boannews.com/media/view.asp?idx=134657&page=3&kind=1
현대오토에버, 생성형 AI로 업무 효율성 높인다,https://www.boannews.com/media/view.asp?idx=134656&page=3&kind=3
에브리존, 화이트디펜더로 ‘글로벌디지털초월대상’ 초월제품 혁신상 수상,https://www.boannews.com/media/view.asp?idx=134655&page=3&kind=3
플레인비트, ‘2024년 사이버보안전문단 연구 프로젝트’ 최우수상 수상,https://www.boannews.com/media/view.asp?idx=134654&page=3&kind=3
과기정통부, 공공데이터 활용 성과공유회 개최,https://www.boannews.com/media/view.asp?idx=134653&page=3&kind=2
‘전북 가명정보 활용 지원센터’ 개소식 개최,https://www.boannews.com/media/view.asp?idx=134651&page=3&kind=2
[bnTV] ‘트럼프발 공포’ 여전... 외인 ‘팔자’에 기관 ‘저가 매수’로 지수 방어했다,https://www.boannews.com/media/view.asp?idx=134647&page=3&kind=3
2024년 의료 환경에서의 정보보안 키워드 TOP 10,https://www.boannews.com/media/view.asp?idx=134646&page=3&kind=6
[긴급] 엔비디아 BCM 소프트웨어에서 인증 누락 취약점 발견... 초고위험 수준,https://www.boannews.com/media/view.asp?idx=134648&page=3&kind=1
KISA-MCMC, 한국과 말레이시아의 정보보호 협력 새 지평 열다,https://www.boannews.com/media/view.asp?idx=134649&page=3&kind=2
아이들에게 과학으로 보안 가르친 긱블 박찬후 대표, 국회서 열린 WACON 2024 공로상,https://www.boannews.com/media/view.asp?idx=134650&page=3&kind=3
방화벽 취약점 악용 공격 비상! 해킹포럼에 100여개 기업의 방화벽 호스팅 서버 접근권한 판매 글 올라와,https://www.boannews.com/media/view.asp?idx=134612&page=3&kind=1
공공 보건 분야 첫 초거대 AI... ‘금연길라잡이 AI검색요약 서비스’ 선보여,https://www.boannews.com/media/view.asp?idx=134621&page=3&kind=2
복지부, 인공지능이 위기가구에 ‘똑똑’,https://www.boannews.com/media/view.asp?idx=134622&page=3&kind=2
정보기술 대기업과 디지털 신기술이 한자리에... 디지털 혁신의 미래를 만나다,https://www.boannews.com/media/view.asp?idx=134623&page=3&kind=2
대학생 소프트웨어 인재들의 열전, 제24회 ‘한국 대학생 프로그래밍 경시대회’ 개최,https://www.boannews.com/media/view.asp?idx=134624&page=3&kind=2
