Title,Link
GICON, 호남정보보호지원센터·전남대와 함께 ‘호남지역 정보보호 해커톤대회’ 개최,https://www.boannews.com/media/view.asp?idx=134084&page=2&kind=2
정부, ‘딥페이크 성범죄 대응 강화방안’ 발표...‘허위 영상물’ 처벌 강화,https://www.boannews.com/media/view.asp?idx=134110&page=2&kind=2
국방 ICT 표준화·시험인증 협력을 위한 전략적 파트너십 체결,https://www.boannews.com/media/view.asp?idx=134113&page=2&kind=2
[긴급] 러·우 전쟁에 해킹그룹 공격 증가... 보안권고 3가지,https://www.boannews.com/media/view.asp?idx=134109&page=2&kind=1
다후아테크놀로지, 다수의 국제 보안 인증 획득으로 글로벌 신뢰도 강화,https://www.boannews.com/media/view.asp?idx=134108&page=2&kind=3
산업부, AI을 활용한 산업·에너지 기술개발 본격 추진,https://www.boannews.com/media/view.asp?idx=134094&page=3&kind=2
하이크비전, 네트워크 카메라 ‘이지 IP 4.0 플러스’ 공개,https://www.boannews.com/media/view.asp?idx=134107&page=3&kind=3
KISIA, 사이버보안 모태펀드 운용사와 MOU 체결,https://www.boannews.com/media/view.asp?idx=134099&page=3&kind=3
S2W, ‘2024 하반기 파트너스 데이’ 진행,https://www.boannews.com/media/view.asp?idx=134106&page=3&kind=3
부산시, 블록체인 AI 기반 ‘유실물 찾기 서비스’ ‘파인딩올’ 출시,https://www.boannews.com/media/view.asp?idx=134083&page=3&kind=2
2025년 디지털금융 및 사이버보안 10대 이슈는?,https://www.boannews.com/media/view.asp?idx=134100&page=3&kind=2
점점 많아지고 있는 SaaS, 하지만 보안은 제자리걸음,https://www.boannews.com/media/view.asp?idx=132517&page=3&kind=4
[퀴즈 이·보·소] 수능을 앞두고 사이버 위협에 노출된 사람은?,https://www.boannews.com/media/view.asp?idx=134077&page=3&kind=1
[이슈칼럼] 개인정보 유출, 모두 막을 수 있다,https://www.boannews.com/media/view.asp?idx=134031&page=3&kind=3
[오늘의 보안 영어] in a similar vein,https://www.boannews.com/media/view.asp?idx=134105&page=3&kind=1
전자 서명 플랫폼 도큐사인 악용한 피싱 캠페인 발견돼,https://www.boannews.com/media/view.asp?idx=134104&page=3&kind=1
인터폴, “국제 공조로 사이버 범죄자 41명 체포하는 데 성공”,https://www.boannews.com/media/view.asp?idx=134103&page=3&kind=1
FBI, 중국 해커들에 대한 정보를 얻기 위해 대중의 도움 요청,https://www.boannews.com/media/view.asp?idx=134102&page=3&kind=1
캐나다 경찰, 스노우플레이크 데이터 침해 사건 용의자 체포에 성공,https://www.boannews.com/media/view.asp?idx=134101&page=3&kind=1
학교 출입 관리를 강화한 ‘학교방문 안심이’ 출시,https://www.boannews.com/media/view.asp?idx=134095&page=3&kind=3
LG CNS, 전력 AI 솔루션 ‘에너딕트’ 출시,https://www.boannews.com/media/view.asp?idx=134096&page=3&kind=3
지니언스, 시스코 출신 해외사업장 영입하고 글로벌사업 가속화,https://www.boannews.com/media/view.asp?idx=134098&page=3&kind=3
[긴급] 국방부, 디도스 공격에 다운된 홈페이지...10시 40분 현재도 마비,https://www.boannews.com/media/view.asp?idx=134097&page=3&kind=1
인기 높은 오픈소스 인공지능 프레임워크 올라마에서 취약점 6개 발견돼,https://www.boannews.com/media/view.asp?idx=134082&page=3&kind=1
심각해지고 있는 아동 대상 온라인 그루밍, 계속해서 늘어나고 있어,https://www.boannews.com/media/view.asp?idx=134081&page=3&kind=1
깃 환경 노리는 대규모 캠페인 에머랄드웨일, 클라우드 크리덴셜이 위험하다,https://www.boannews.com/media/view.asp?idx=134080&page=4&kind=1
AI 분야 주요 보안위협 TOP 10,https://www.boannews.com/media/view.asp?idx=134079&page=4&kind=6
[정보세계정치학회 칼럼] 미완성 기술, 인공지능의 회색지대와 국제 거버넌스 외교 추세,https://www.boannews.com/media/view.asp?idx=134023&page=4&kind=6
사이버안보 정책 발전 위한 정부의 역할은?,https://www.boannews.com/media/view.asp?idx=134037&page=4&kind=2
북한 해킹그룹 ‘코니’의 공격 아티팩트, 다른 북한 해킹그룹과 다른 점은,https://www.boannews.com/media/view.asp?idx=134068&page=4&kind=1
개인정보위, 합법 처리근거 없이 민감정보 수집·활용한 메타 제재... 216억 과징금 부과,https://www.boannews.com/media/view.asp?idx=134076&page=4&kind=2
개인정보위, 월급쟁이부자들·박차컴퍼니에 과징금 처분,https://www.boannews.com/media/view.asp?idx=134075&page=4&kind=2
안랩, 2024년 3분기 매출 685억... 영업이익 85억,https://www.boannews.com/media/view.asp?idx=134074&page=4&kind=3
“악성 민원인 폭언 녹음한다”... KISA, 민원 응대 보호시스템 전사 확대,https://www.boannews.com/media/view.asp?idx=134073&page=4&kind=2
온라인 채용 플랫폼, 개인정보 안전조치 이행률 97% 기록해,https://www.boannews.com/media/view.asp?idx=134072&page=4&kind=2
이노티움-DataSoftNow, CMMC인증컨설팅 협력 MOU 체결,https://www.boannews.com/media/view.asp?idx=134071&page=4&kind=3
메가존클라우드, 파이오링크와 클라우드 보안 서비스 협력,https://www.boannews.com/media/view.asp?idx=134070&page=4&kind=3
나무소프트, ‘글로벌 ICT 표준 컨퍼런스 2024’에서 특허청장 표창 수상,https://www.boannews.com/media/view.asp?idx=134067&page=4&kind=3
특허청, 스타트업과 함께 ‘제조 AI’ 특허경쟁력 강화에 나선다,https://www.boannews.com/media/view.asp?idx=134044&page=4&kind=2
중기부, 인공지능 기반 기술평가 플랫폼 ‘K-TOP’ 개시,https://www.boannews.com/media/view.asp?idx=134045&page=4&kind=2
과학수사관이 전문직으로서 갖춰야 할 핵심 가치 담은 ‘과학수사관 윤리규범’ 선포,https://www.boannews.com/media/view.asp?idx=134046&page=4&kind=2
디지털 초연결 시대, 정보문화기술 표준과 지식재산으로 혁신 선도,https://www.boannews.com/media/view.asp?idx=134047&page=4&kind=2
행안부, 디지털네이션스 회의 및 OECD 협력 통해 디지털 선도국 역할 강화,https://www.boannews.com/media/view.asp?idx=134048&page=4&kind=2
문체부, 인공지능 저작권 쟁점에 대한 국민의 생각을 묻다,https://www.boannews.com/media/view.asp?idx=134049&page=4&kind=2
정보기술 선도하는 한·아세안 등 16개국 장애청소년들이 함께 하는 축제의 장,https://www.boannews.com/media/view.asp?idx=134050&page=4&kind=2
국토부, ‘제130차 OGC 국제공간정보표준화 총회’ 개최,https://www.boannews.com/media/view.asp?idx=134051&page=5&kind=2
기업 협업으로 글로벌 6G·저궤도 위성 주도권 확보,https://www.boannews.com/media/view.asp?idx=134052&page=5&kind=3
SKT, ‘AI 인프라 슈퍼 하이웨이’ 구축한다,https://www.boannews.com/media/view.asp?idx=134053&page=5&kind=3
현대건설, 기입주 단지에도 첨단 AI 라이프 선보여,https://www.boannews.com/media/view.asp?idx=134054&page=5&kind=3
중소기업 10곳 중 9곳은 AI 활용 안해... 업종별 우수 사례, 활용 방법 알려야,https://www.boannews.com/media/view.asp?idx=134055&page=5&kind=2
[bnTV] 실적 시즌과 美 대선 변수? 보안주는 상승세,https://www.boannews.com/media/view.asp?idx=134057&page=5&kind=3
[개인정보 보호법 해석 사례-①보호법 정의] 어디까지 개인정보인가?,https://www.boannews.com/media/view.asp?idx=133900&page=5&kind=2
[오늘의 보안 영어] in the throes of,https://www.boannews.com/media/view.asp?idx=134066&page=5&kind=1
인텔브로커, MIT테크놀로지리뷰의 구독자 30만 명 개인정보 유출,https://www.boannews.com/media/view.asp?idx=134065&page=5&kind=1
미국 사법부, 피싱 공격한 나이지리아인에게 26년형 구형,https://www.boannews.com/media/view.asp?idx=134064&page=5&kind=1
인기 높은 오픈소스 인공지능 앱에서 여섯 가지 취약점 발견돼,https://www.boannews.com/media/view.asp?idx=134063&page=5&kind=1
악명 높은 해커 인텔브로커, 노키아 침해했다 주장하며 데이터 공개,https://www.boannews.com/media/view.asp?idx=134062&page=5&kind=1
KISIA, FISCON 2024 부대행사로 정보보호 제품 전시회 개최,https://www.boannews.com/media/view.asp?idx=134059&page=5&kind=3
조달청, 역대 최대 규모 공공조달 수출상담회 개최,https://www.boannews.com/media/view.asp?idx=134061&page=5&kind=2
샌즈랩, AI 기반 차세대 NDR 솔루션 ‘MNX’로 공공시장 본격 공략,https://www.boannews.com/media/view.asp?idx=134058&page=5&kind=3
아이씨티케이-쿠도커뮤니케이션, 총판 계약 체결,https://www.boannews.com/media/view.asp?idx=134056&page=5&kind=3
[기획특집] 국내 보안시장의 해외 영상보안 기업 진출 현황과 선호도 결과,https://www.boannews.com/media/view.asp?idx=133854&page=5&kind=3
[한국정보공학기술사 보안을 論하다-7] 데이터 거래와 보안,https://www.boannews.com/media/view.asp?idx=134043&page=5&kind=6
남아공 드론 산업 현황과 한국 기업의 진출 가능성 진단,https://www.boannews.com/media/view.asp?idx=133957&page=5&kind=4
[카드뉴스] 안전한 접근을 위한 필수 장치, ‘다중인증(MFA)’이란?,https://www.boannews.com/media/view.asp?idx=134041&page=5&kind=5
