Title,Link
개인정보위, 동등성 인정 평가를 위한 국외이전 전문위원회 개최,https://www.boannews.com/media/view.asp?idx=134463&page=2&kind=2
[이슈칼럼] 진화하는 자동차, 그리고 사이버보안의 ‘미래’,https://www.boannews.com/media/view.asp?idx=134439&page=2&kind=5
위드앤아이티, ‘2024 큐샌 파트너스데이’ 성료,https://www.boannews.com/media/view.asp?idx=134462&page=2&kind=3
LG유플러스, ‘듀얼넘버 온앤오프’로 개인정보 보호 및 보이스피싱 예방한다,https://www.boannews.com/media/view.asp?idx=134459&page=2&kind=3
이글루코퍼레이션, 아스트론시큐리티와 전략적 지분 투자 협약 체결,https://www.boannews.com/media/view.asp?idx=134460&page=2&kind=3
넷앤드, 인도네시아 대학생 기업 특강 성료... 글로벌 정보보안 인재 양성 지원,https://www.boannews.com/media/view.asp?idx=134461&page=3&kind=3
[긴급] 레디스 DB 시스템에서 원격 코드 실행 취약점 발견... 소규모 기업 주의,https://www.boannews.com/media/view.asp?idx=134444&page=3&kind=1
K-조달에 반한 UAE 아부다비 정부역량강화부, 공공조달 정책 발전 논의,https://www.boannews.com/media/view.asp?idx=134445&page=3&kind=2
유니온커뮤니티, ‘제4회 스마트금융 대상’ 금융보안원장상 수상,https://www.boannews.com/media/view.asp?idx=134446&page=3&kind=3
과기정통부, 제1회 자율주행 인공지능 챌린지 시상식 개최,https://www.boannews.com/media/view.asp?idx=134443&page=3&kind=2
경찰청, 딥페이크 등 디지털 성범죄 대응 위한 ‘글로벌 정책 대화’ 개최,https://www.boannews.com/media/view.asp?idx=134442&page=3&kind=2
제140차 CISO포럼, 보안사고 이후 거버넌스 변화 및 부서별 보안교육 노하우 공유,https://www.boannews.com/media/view.asp?idx=134431&page=3&kind=3
쿼드마이너, 구 버전 개발 테스트용 소스코드 유출...  “기존 고객 및 현재 버전에 영향 없어”,https://www.boannews.com/media/view.asp?idx=134386&page=3&kind=1
경찰청, 19개 국가·국제기구 참여 ‘제2회 사기방지 국제 콘퍼런스’ 개최,https://www.boannews.com/media/view.asp?idx=134441&page=3&kind=2
[단독] 랜섬웨어 조직 RA그룹, SK가스의 직원 개인정보 및 부서별 데이터 등 700GB 탈취 주장,https://www.boannews.com/media/view.asp?idx=134391&page=3&kind=1
이스트시큐리티, 캐릭터 IP 신규사업 ‘이스트로바’ 본격 시동,https://www.boannews.com/media/view.asp?idx=134440&page=3&kind=1
아카마이, 클라우드 관여 없이 바로 실행 가능한 애플리케이션 플랫폼 출시,https://www.boannews.com/media/view.asp?idx=134438&page=3&kind=3
씨큐비스타 “중소기업, 전체 사이버 공격의 83% 차지... 보안 위험 수위 한계 넘어”,https://www.boannews.com/media/view.asp?idx=134437&page=3&kind=3
지란지교에스앤씨, 시스템 취약점 자동 점검 솔루션 VADA v4.0 메이저 업그레이드,https://www.boannews.com/media/view.asp?idx=134430&page=3&kind=3
S2W, ‘시큐리티 가드레일’ 적용한 기업용 생성형 AI 플랫폼 제공,https://www.boannews.com/media/view.asp?idx=134429&page=3&kind=3
KISA, ‘그놈 목소리’를 학습한 AI로 보이스피싱 예방!,https://www.boannews.com/media/view.asp?idx=134428&page=3&kind=2
[한국의 사이버 안보전략 토론문-4] 언론이 바라본 한국 사이버안보 현황과 과제,https://www.boannews.com/media/view.asp?idx=134403&page=3&kind=6
[오늘의 보안 영어] against the backdrop,https://www.boannews.com/media/view.asp?idx=134436&page=3&kind=1
페이스북의 멀버타이징 캠페인, 비트워든 최신판 위장해 사람들 속여,https://www.boannews.com/media/view.asp?idx=134435&page=3&kind=1
새로운 로더 멀웨어 배블로더, 강력한 탐지 회피 기능 자랑하며 등장,https://www.boannews.com/media/view.asp?idx=134434&page=3&kind=1
중국의 브레이즌뱀부, 딥데이터 해킹 도구 통해 VPN 크리덴셜 훔쳐,https://www.boannews.com/media/view.asp?idx=134433&page=4&kind=1
VM웨어, 브이센터서버에서 발견된 초고위험도 취약점 패치해,https://www.boannews.com/media/view.asp?idx=134432&page=4&kind=1
Synology, 철저한 랜섬웨어 사례 분석으로 밝혀낸 5가지 행동 패턴 발표,https://www.boannews.com/media/view.asp?idx=134427&page=4&kind=3
국표원, 반도체 분야 3대 국제표준화기구 공동포럼 개최,https://www.boannews.com/media/view.asp?idx=134426&page=4&kind=2
국가유산 기술 분야 최초 ‘2025 CES 혁신상’ 탄생,https://www.boannews.com/media/view.asp?idx=134425&page=4&kind=2
