Title,Link
과기정통부, 우수 정보보호 기술·제품 공모…이달말까지 접수,https://www.boannews.com/media/view.asp?idx=136724&page=2&kind=2
[배종찬의 보안 빅데이터] 의료 공백보다 천 배 더 무서운 ‘의료 해킹’,https://www.boannews.com/media/view.asp?idx=136723&page=2&kind=1
여심일 다후아 지사장, “한국 진출 10년, 안전•:스마트 사회 꿈꿔”,https://www.boannews.com/media/view.asp?idx=136718&page=2&kind=3
2025년 4월 물리·정보보안 기업 어떤 인재 찾고 있나?,https://www.boannews.com/media/view.asp?idx=136721&page=3&kind=3
KT텔레캅, 전기차 충전소 보안 솔루션 ‘EV-Safer’ 선봬,https://www.boannews.com/media/view.asp?idx=136722&page=3&kind=1
안랩, 올해 첫 AV-TEST서 만점 획득,https://www.boannews.com/media/view.asp?idx=136720&page=3&kind=3
창성에이스산업, 산불 화재 감지 카메라 시스템,https://www.boannews.com/media/view.asp?idx=136719&page=3&kind=3
카스퍼스키, 구글 크롬서 ‘제로데이’ 취약점 발견,https://www.boannews.com/media/view.asp?idx=136717&page=3&kind=1
‘악어’ 조심하세요...안드로이드 금융앱 겨냥 新트로이목마,https://www.boannews.com/media/view.asp?idx=136716&page=3&kind=1
시큐아이, 파트너스 데이 개최...올해 사업 방향성 공유,https://www.boannews.com/media/view.asp?idx=136714&page=3&kind=3
[특별 기고] 예측불허 AI, 강력 데이터 거버넌스로 주도권 잡아라,https://www.boannews.com/media/view.asp?idx=136715&page=3&kind=1
국민 10명 중 7명, “AI가 개인정보 침해”...개인정보위 조사 결과,https://www.boannews.com/media/view.asp?idx=136710&page=3&kind=2
래안텍, 씨게이트와 최고의 스토리지 솔루션으로 고객 요구에 완벽 대응,https://www.boannews.com/media/view.asp?idx=136700&page=3&kind=3
알에프코리아, 듀얼 열화상 산불 자동감지 시스템,https://www.boannews.com/media/view.asp?idx=136709&page=3&kind=3
제6차 개인정보보호 전문강사포럼 개최,https://www.boannews.com/media/view.asp?idx=136711&page=3&kind=3
[한국정보공학기술사 보안을 論하다-12] 스타트업도 보안 전략이 필요하다,https://www.boannews.com/media/view.asp?idx=136713&page=3&kind=3
인스피언, SAP 클라우드 전환 공식 파트너 선정,https://www.boannews.com/media/view.asp?idx=136712&page=3&kind=3
알리바바, 멀티모달 AI ‘Qwen2.5-Omni-7B’ 공개,https://www.boannews.com/media/view.asp?idx=136708&page=3&kind=3
플리어, 잔불 감지까지 지원하는 ‘Scout Pro’ 열화상 모노큘러 출시,https://www.boannews.com/media/view.asp?idx=136705&page=3&kind=3
이스트소프트-퓨리오사에이아이, AI 반도체 분야 ‘맞손’,https://www.boannews.com/media/view.asp?idx=136704&page=3&kind=3
KISA, “계정 탈취형 스미싱 급증”.. 2차 피해 주의 당부,https://www.boannews.com/media/view.asp?idx=136702&page=3&kind=2
라온시큐어, 아이앤텍과 협력해 대학생 신원인증 비즈니스 확대,https://www.boannews.com/media/view.asp?idx=136703&page=3&kind=3
제이커넥트, 선천면역형 보안 솔루션 ‘파라솔’ 출시,https://www.boannews.com/media/view.asp?idx=136701&page=3&kind=3
안랩블록체인컴퍼니, 블록체인 지갑 클립 인수,https://www.boannews.com/media/view.asp?idx=136706&page=4&kind=3
명지대학원 보안·안보학, 창립 10주년 기념행사 개최,https://www.boannews.com/media/view.asp?idx=136699&page=4&kind=3
개인정보위, 개인정보 작성지침 개정본 발간..해외사업자 의견 수렴,https://www.boannews.com/media/view.asp?idx=136698&page=4&kind=2
‘ai.kr’ 등 3단계 국가도메인 일반등록 2주 만에 6000건 넘겨,https://www.boannews.com/media/view.asp?idx=136697&page=4&kind=2
오라클, 해킹 당해...의료 서비스 해킹, 환자 정보 유출,https://www.boannews.com/media/view.asp?idx=136696&page=4&kind=1
지자체 CCTV 원본 영상으로 AI 관제 모델 학습 가능해져...쿠도, 부천시와 첫 실증 나서,https://www.boannews.com/media/view.asp?idx=136694&page=4&kind=2
개인정보위, "개인정보 처리 현황 파악 등에 시민단체와 협력",https://www.boannews.com/media/view.asp?idx=136695&page=4&kind=2
대통령실, 국가 AI 안보 협의회 출범,https://www.boannews.com/media/view.asp?idx=136693&page=4&kind=3
태양광 발전 시스템, 곳곳에 취약점...전력망 공격 가능성 우려,https://www.boannews.com/media/view.asp?idx=136692&page=4&kind=1
AI에 ‘나쁜 짓’ 시킬 수 있다...에임인텔리전스, AI 에이전트 보안 취약점 실증,https://www.boannews.com/media/view.asp?idx=136690&page=4&kind=3
임무 마친 인공위성, 우주 사이버 보안 연구에 재활용,https://www.boannews.com/media/view.asp?idx=136689&page=4&kind=2
코헤시티-레드햇 협력, 가상화 환경에 데이터 보안 강화,https://www.boannews.com/media/view.asp?idx=136688&page=4&kind=3
안랩, 디지털 에듀케이터 양성 프로그램 ‘안랩샘’ 20기 개강,https://www.boannews.com/media/view.asp?idx=136687&page=4&kind=2
[배종찬의 보안 빅데이터] 비트코인 최대 적은 관세 아닌 북한의 ‘라자루스’,https://www.boannews.com/media/view.asp?idx=136685&page=4&kind=1
티피링크, 차세대 리더 도약 위한 신제품 라인업으로 주목,https://www.boannews.com/media/view.asp?idx=136682&page=4&kind=3
[인사] 펌킨네트웍스,https://www.boannews.com/media/view.asp?idx=136683&page=4&kind=3
개인정보위, 손해배상 책임제도 정비..보험료↓·보장범위↑,https://www.boannews.com/media/view.asp?idx=136681&page=4&kind=2
조달청, 공공서비스 업그레이드 할 26개 혁신제품 지정,https://www.boannews.com/media/view.asp?idx=136679&page=4&kind=2
금보원, 2025년 수탁자 공동점검 진행..제3자 리스크 관리,https://www.boannews.com/media/view.asp?idx=136680&page=4&kind=2
스팀 계정 훔치는 가짜 브라우저 창...게이머 피해 주의!,https://www.boannews.com/media/view.asp?idx=136674&page=4&kind=1
과기정통부-반도체 3사, ‘모아팹’을 띄워라!,https://www.boannews.com/media/view.asp?idx=136678&page=5&kind=1
세연테크, 보급형 열화상 뷸렛 IP 카메라 출시,https://www.boannews.com/media/view.asp?idx=136677&page=5&kind=3
AI 스마트시티 세미나, 신기술 기반의 미래도시 생태계 전략 논의..박민규 의원실 등,https://www.boannews.com/media/view.asp?idx=136675&page=5&kind=2
[사람과 보안] 숨기면서도 드러내야만 하는 보안의 패러독스,https://www.boannews.com/media/view.asp?idx=136676&page=5&kind=1
소프트캠프, ‘AI 보안’으로 협력사와 동반성장,https://www.boannews.com/media/view.asp?idx=136670&page=5&kind=1
우리카드, 가맹점주 ‘개인정보’로 장사...과징금 134억 부과,https://www.boannews.com/media/view.asp?idx=136669&page=5&kind=1
NIPA 새 원장, 박윤규 전 과기정통부 제2차관,https://www.boannews.com/media/view.asp?idx=136668&page=5&kind=1
