Title,Link
아마노, 후원금 1억 쾌척..롤러스포츠 및 스케이트보드 발전 위해,https://www.boannews.com/media/view.asp?idx=136752&page=2&kind=3
다후아, 테크데이 통해 최신 제품 및 기술 공유,https://www.boannews.com/media/view.asp?idx=136751&page=2&kind=3
[단독] 韓 AI 스타트업, 딥페이크 음란물에 무방비 노출,https://www.boannews.com/media/view.asp?idx=136750&page=2&kind=1
[제품리뷰] 격오지·임시 환경에도 안정적 전력 공급 등 가능...VIGI 태양광 발전 솔루션,https://www.boannews.com/media/view.asp?idx=136748&page=2&kind=3
성현시스템, 모바일 근태 SMART WORK 솔루션 출시..리더기 필요 없어,https://www.boannews.com/media/view.asp?idx=136747&page=3&kind=3
슈프리마, 美 ISC West 참가...AI 등 통합보안 솔루션 선뵈,https://www.boannews.com/media/view.asp?idx=136749&page=3&kind=1
[카드뉴스] 보안 담당자, "이런 말, 제일 듣기 싫어"...BEST 5,https://www.boannews.com/media/view.asp?idx=136746&page=3&kind=1
[신간] THINK CHANGE: AI 시대 정보 보호,https://www.boannews.com/media/view.asp?idx=136745&page=3&kind=3
MS 협업 툴 ‘팀즈’, 대화 조심...‘비싱’ 공격에 악용,https://www.boannews.com/media/view.asp?idx=136744&page=3&kind=1
안내·순찰도 AI 로봇..도구공간, 혁신바우처 제공기업 선정,https://www.boannews.com/media/view.asp?idx=136743&page=3&kind=1
항공보안학회, 한국경비협회와 업무협약 체결,https://www.boannews.com/media/view.asp?idx=136742&page=3&kind=3
지란지교소프트, 나모OCR 기능 출시..문서편집 효율 UP!,https://www.boannews.com/media/view.asp?idx=136741&page=3&kind=3
[유경동의 IP전략] 항저우 육룡, 유니트리,https://www.boannews.com/media/view.asp?idx=136736&page=3&kind=1
北해커 위협, 전세계 확산...구글의 경고,https://www.boannews.com/media/view.asp?idx=136735&page=3&kind=1
LG유플러스-서울청 공조, 보이스피싱 방지,https://www.boannews.com/media/view.asp?idx=136739&page=3&kind=2
AI 데이터 인프라 솔루션 美 공개...파수, AI+IM글로벌 서밋 참가,https://www.boannews.com/media/view.asp?idx=136737&page=3&kind=3
벨로크, 산불 피해 울주군청에 1000만원 기부,https://www.boannews.com/media/view.asp?idx=136740&page=3&kind=3
[특징주] 하락장 속 보안株 폭등세.. 아이씨티케이·소프트캠프·파수 등 급등,https://www.boannews.com/media/view.asp?idx=136738&page=3&kind=3
[bnTV] AI 꺾이고, 車관세 리스크 터지고...투심 ‘추락’,https://www.boannews.com/media/view.asp?idx=136734&page=3&kind=3
송진호 홍석 대표, “첨단 R&D로 강소 향토기업 만들터”,https://www.boannews.com/media/view.asp?idx=136684&page=3&kind=3
공공기관도 아마존 클라우드 서비스 쓸 수 있다,https://www.boannews.com/media/view.asp?idx=136733&page=3&kind=2
아카라라이프-에스필코리아, 스마트 IoT 조명 활성화 위해 협력,https://www.boannews.com/media/view.asp?idx=136732&page=3&kind=3
S2W, 산업용 생성형 AI 도입 전략 웨비나 개최,https://www.boannews.com/media/view.asp?idx=136731&page=3&kind=3
립부 탄 인텔 CEO, “1.8나노 공정 테이프아웃 임박...엔지니어링 중심 회사로 돌아갈 것”,https://www.boannews.com/media/view.asp?idx=136730&page=3&kind=3
보안 담당자 64% AI ‘정확성’ 최우선으로 꼽아..엠클라우독 AI 실태 조사,https://www.boannews.com/media/view.asp?idx=136729&page=4&kind=3
삼성전자, 털렸다...獨 고객DB 대량 유출,https://www.boannews.com/media/view.asp?idx=136726&page=4&kind=1
인텔리빅스, AI 영상관제로 안산 시민 안전 지킨다,https://www.boannews.com/media/view.asp?idx=136728&page=4&kind=1
조달청, 우수조달물품제도 개선 통해 기업하기 좋은 환경 조성,https://www.boannews.com/media/view.asp?idx=136727&page=4&kind=2
KISIA, 보안 SW 개발자 육성 프로그램 ‘S-개발자’ 3기 발대식 진행,https://www.boannews.com/media/view.asp?idx=136725&page=4&kind=2
과기정통부, 우수 정보보호 기술·제품 공모…이달말까지 접수,https://www.boannews.com/media/view.asp?idx=136724&page=4&kind=2
[배종찬의 보안 빅데이터] 의료 공백보다 천 배 더 무서운 ‘의료 해킹’,https://www.boannews.com/media/view.asp?idx=136723&page=4&kind=1
여심일 다후아 지사장, “한국 진출 10년, 안전•:스마트 사회 꿈꿔”,https://www.boannews.com/media/view.asp?idx=136718&page=4&kind=3
2025년 4월 물리·정보보안 기업 어떤 인재 찾고 있나?,https://www.boannews.com/media/view.asp?idx=136721&page=4&kind=3
KT텔레캅, 전기차 충전소 보안 솔루션 ‘EV-Safer’ 선봬,https://www.boannews.com/media/view.asp?idx=136722&page=4&kind=1
안랩, 올해 첫 AV-TEST서 만점 획득,https://www.boannews.com/media/view.asp?idx=136720&page=4&kind=3
창성에이스산업, 산불 화재 감지 카메라 시스템,https://www.boannews.com/media/view.asp?idx=136719&page=4&kind=3
카스퍼스키, 구글 크롬서 ‘제로데이’ 취약점 발견,https://www.boannews.com/media/view.asp?idx=136717&page=4&kind=1
‘악어’ 조심하세요...안드로이드 금융앱 겨냥 新트로이목마,https://www.boannews.com/media/view.asp?idx=136716&page=4&kind=1
시큐아이, 파트너스 데이 개최...올해 사업 방향성 공유,https://www.boannews.com/media/view.asp?idx=136714&page=4&kind=3
[특별 기고] 예측불허 AI, 강력 데이터 거버넌스로 주도권 잡아라,https://www.boannews.com/media/view.asp?idx=136715&page=4&kind=1
국민 10명 중 7명, “AI가 개인정보 침해”...개인정보위 조사 결과,https://www.boannews.com/media/view.asp?idx=136710&page=4&kind=2
래안텍, 씨게이트와 최고의 스토리지 솔루션으로 고객 요구에 완벽 대응,https://www.boannews.com/media/view.asp?idx=136700&page=4&kind=3
알에프코리아, 듀얼 열화상 산불 자동감지 시스템,https://www.boannews.com/media/view.asp?idx=136709&page=4&kind=3
제6차 개인정보보호 전문강사포럼 개최,https://www.boannews.com/media/view.asp?idx=136711&page=4&kind=3
[한국정보공학기술사 보안을 論하다-12] 스타트업도 보안 전략이 필요하다,https://www.boannews.com/media/view.asp?idx=136713&page=5&kind=3
인스피언, SAP 클라우드 전환 공식 파트너 선정,https://www.boannews.com/media/view.asp?idx=136712&page=5&kind=3
알리바바, 멀티모달 AI ‘Qwen2.5-Omni-7B’ 공개,https://www.boannews.com/media/view.asp?idx=136708&page=5&kind=3
플리어, 잔불 감지까지 지원하는 ‘Scout Pro’ 열화상 모노큘러 출시,https://www.boannews.com/media/view.asp?idx=136705&page=5&kind=3
이스트소프트-퓨리오사에이아이, AI 반도체 분야 ‘맞손’,https://www.boannews.com/media/view.asp?idx=136704&page=5&kind=3
KISA, “계정 탈취형 스미싱 급증”.. 2차 피해 주의 당부,https://www.boannews.com/media/view.asp?idx=136702&page=5&kind=2
라온시큐어, 아이앤텍과 협력해 대학생 신원인증 비즈니스 확대,https://www.boannews.com/media/view.asp?idx=136703&page=5&kind=3
제이커넥트, 선천면역형 보안 솔루션 ‘파라솔’ 출시,https://www.boannews.com/media/view.asp?idx=136701&page=5&kind=3
안랩블록체인컴퍼니, 블록체인 지갑 클립 인수,https://www.boannews.com/media/view.asp?idx=136706&page=5&kind=3
명지대학원 보안·안보학, 창립 10주년 기념행사 개최,https://www.boannews.com/media/view.asp?idx=136699&page=5&kind=3
개인정보위, 개인정보 작성지침 개정본 발간..해외사업자 의견 수렴,https://www.boannews.com/media/view.asp?idx=136698&page=5&kind=2
‘ai.kr’ 등 3단계 국가도메인 일반등록 2주 만에 6000건 넘겨,https://www.boannews.com/media/view.asp?idx=136697&page=5&kind=2
오라클, 해킹 당해...의료 서비스 해킹, 환자 정보 유출,https://www.boannews.com/media/view.asp?idx=136696&page=5&kind=1
지자체 CCTV 원본 영상으로 AI 관제 모델 학습 가능해져...쿠도, 부천시와 첫 실증 나서,https://www.boannews.com/media/view.asp?idx=136694&page=5&kind=2
개인정보위, "개인정보 처리 현황 파악 등에 시민단체와 협력",https://www.boannews.com/media/view.asp?idx=136695&page=5&kind=2
대통령실, 국가 AI 안보 협의회 출범,https://www.boannews.com/media/view.asp?idx=136693&page=5&kind=3
태양광 발전 시스템, 곳곳에 취약점...전력망 공격 가능성 우려,https://www.boannews.com/media/view.asp?idx=136692&page=5&kind=1
AI에 ‘나쁜 짓’ 시킬 수 있다...에임인텔리전스, AI 에이전트 보안 취약점 실증,https://www.boannews.com/media/view.asp?idx=136690&page=5&kind=3
임무 마친 인공위성, 우주 사이버 보안 연구에 재활용,https://www.boannews.com/media/view.asp?idx=136689&page=5&kind=2
코헤시티-레드햇 협력, 가상화 환경에 데이터 보안 강화,https://www.boannews.com/media/view.asp?idx=136688&page=5&kind=3
