Title,Link
[테크칼럼] AI 시대의 보안 패러다임, MLSecOps가 필요한 이유,https://www.boannews.com/media/view.asp?idx=137040&page=1&kind=5
과기정통부 장관, “(SKT) 신고 지연은 합당한 처벌 받을 것”,https://www.boannews.com/media/view.asp?idx=137037&page=1&kind=1
SKT 유심 교체 하루 만에 28만명,https://www.boannews.com/media/view.asp?idx=137036&page=1&kind=3
열화상 솔루션 한눈에..MDS테크 ‘FLIR 보안 세미나’ 개최,https://www.boannews.com/media/view.asp?idx=136987&page=1&kind=3
SKT 집단 행동 효과 있을까?...솜방망이 배상이 문제 키워,https://www.boannews.com/media/view.asp?idx=137033&page=1&kind=1
[RSAC 2025] 세계 최대 정보보안 전시·콘퍼런스 개막...보안 커뮤니티 단결 강조,https://www.boannews.com/media/view.asp?idx=137030&page=1&kind=1
[배종찬의 보안 빅데이터] 인공지능(AI)의 일상화와 ‘中 딥시크’ 충격파,https://www.boannews.com/media/view.asp?idx=137032&page=1&kind=3
‘축사로’가 끝 아니었다...농진청 회원정보  47만 건 이상 유출 확인,https://www.boannews.com/media/view.asp?idx=137028&page=1&kind=1
SKT 해킹에 쓰인 ‘BPF도어’ 악성코드는 무엇?,https://www.boannews.com/media/view.asp?idx=137027&page=1&kind=1
[국회 과방위 성명] SKT 해킹 사태, 국민 불안 방치 말고 실질적 피해 대책 즉각 시행하라! [전문],https://www.boannews.com/media/view.asp?idx=137026&page=1&kind=1
한국암호포럼 주관, ‘2025년 국가암호공모전’ 개최,https://www.boannews.com/media/view.asp?idx=137034&page=1&kind=3
한드림넷, 재팬IT위크서 일본用 보안스위치 선봬,https://www.boannews.com/media/view.asp?idx=137039&page=1&kind=3
SKT, ISMS 인증받아도 해킹..실효성 강화 시급,https://www.boannews.com/media/view.asp?idx=137038&page=1&kind=1
이스라엘 클라우드-AI 보안 기업 센트라, 5000만달러 투자 유치,https://www.boannews.com/media/view.asp?idx=137009&page=1&kind=3
KB국민은행-오리엔텀, 양자 컴퓨팅으로 금융 혁신한다,https://www.boannews.com/media/view.asp?idx=137029&page=1&kind=3
밤에도 선명하게...다화테크놀로지, 위즈컬러 신제품 라인업 공개,https://www.boannews.com/media/view.asp?idx=137024&page=1&kind=3
펜타시큐리티, 지능형 WAAP ‘와플’ 20주년 맞아,https://www.boannews.com/media/view.asp?idx=137001&page=1&kind=3
기원테크, 이메일 운영 보안 ‘표준화 항목’ 승인,https://www.boannews.com/media/view.asp?idx=137018&page=1&kind=3
유심보호서비스, 예상 대기 시간 125시간?...단말기에서도 유심 비밀번호 설정 가능,https://www.boannews.com/media/view.asp?idx=137023&page=1&kind=1
정부와 정치권, 해킹 대책 미흡한 SKT 질타,https://www.boannews.com/media/view.asp?idx=137025&page=1&kind=1
KISA, SK텔레콤 유심 해킹 ‘신고 시간’ 혼선 해명,https://www.boannews.com/media/view.asp?idx=137019&page=1&kind=1
유심 교체 vs 유심 보호...유심보호서비스만으로 안심해도 될까?,https://www.boannews.com/media/view.asp?idx=137022&page=1&kind=1
SKT 유심 정보 유출로 본 최악의 시나리오 ‘심스와핑’,https://www.boannews.com/media/view.asp?idx=137021&page=1&kind=1
