Title,Link
국정원, ‘사이버 파트너스’와 민·관 협업..원팀 강조,https://www.boannews.com/media/view.asp?idx=136289&page=3&kind=2
개인정보 털린 ‘비즈니스온·엔에이치엔위투’..과징금 부과,https://www.boannews.com/media/view.asp?idx=136293&page=3&kind=1
GS리테일, 홈쇼핑만 158만건 개인정보 유출,https://www.boannews.com/media/view.asp?idx=136291&page=3&kind=1
인텔리빅스-건양대, 국방 기술·인재 협력 맞손,https://www.boannews.com/media/view.asp?idx=136292&page=3&kind=1
조달청, 인공지능소프트웨어 등 신(新)물품분류 신설,https://www.boannews.com/media/view.asp?idx=136288&page=3&kind=2
조달청, ‘원스톱 지원 스케일업 서비스’ 참여 기업 모집,https://www.boannews.com/media/view.asp?idx=136287&page=3&kind=2
과기정통부, ‘S/W 보안취약점 신고포상제’ 운영,https://www.boannews.com/media/view.asp?idx=136286&page=3&kind=2
지니언스, 중기 보안용 ‘지니안 MDR’ 서비스 선 뵈,https://www.boannews.com/media/view.asp?idx=136285&page=3&kind=3
정보공학기술사회, “AI기본법 정책자문 강화할 터”,https://www.boannews.com/media/view.asp?idx=136284&page=3&kind=2
[월드시큐 황.당.사] 마이터, LLM 리스크 평가 프레임워크 발표 外,https://www.boannews.com/media/view.asp?idx=136283&page=3&kind=1
도난 정보 1.5TB 추가한 HIBP..무료 확인 가능,https://www.boannews.com/media/view.asp?idx=136282&page=3&kind=1
정부, 양자암호 전환 추진..에너지·의료·행정 시범전환,https://www.boannews.com/media/view.asp?idx=136290&page=3&kind=2
EU, 北 해커 수장 리창호 제재,https://www.boannews.com/media/view.asp?idx=136281&page=3&kind=1
한 물 간 록빗, FBI 신임 국장 직접 협박,https://www.boannews.com/media/view.asp?idx=136280&page=3&kind=1
티피링크, 부산 Live 세미나 통해 지역 파트너와 협력 강화,https://www.boannews.com/media/view.asp?idx=136279&page=3&kind=3
영상기반 기술기업 세오, 조달청장 우수제품 표창 수상,https://www.boannews.com/media/view.asp?idx=136278&page=3&kind=2
KISIA, ‘시큐리티 아카데미’ 5기 교육,https://www.boannews.com/media/view.asp?idx=136277&page=3&kind=2
제조업, 랜섬웨어 감염 ‘속출’..주의!,https://www.boannews.com/media/view.asp?idx=136275&page=3&kind=1
[부고] 김요셉 티웨이항공 CISO 부친상,https://www.boannews.com/media/view.asp?idx=136276&page=3&kind=1
멜론 티켓 사칭 피싱 주의!,https://www.boannews.com/media/view.asp?idx=136268&page=3&kind=1
넷앤드, ‘AWS 파트너 소프트웨어 패스’ 획득.. 클라우드 협력 강화,https://www.boannews.com/media/view.asp?idx=136269&page=4&kind=3
[카드뉴스] 中 해커, 美 정부 공격!!,https://www.boannews.com/media/view.asp?idx=136272&page=4&kind=1
스냅태그, 디지털 교재 ‘쏠북’에 워터마크 적용,https://www.boannews.com/media/view.asp?idx=136274&page=4&kind=3
과기정통부, ‘데이터 품질인증 가이드라인’ 발간,https://www.boannews.com/media/view.asp?idx=136273&page=4&kind=1
[오늘의 보안 영어] above the fray,https://www.boannews.com/media/view.asp?idx=136271&page=4&kind=1
[월드시큐 황.당.사] 北 정찰총국장 리창호, EU 제재 外,https://www.boannews.com/media/view.asp?idx=136270&page=4&kind=1
과기정통부-디플정위 ‘AI 기반’ 성범죄 대응 등 추진,https://www.boannews.com/media/view.asp?idx=136267&page=4&kind=2
안랩, ‘지능형 로봇’ 사이버 위협 예방,https://www.boannews.com/media/view.asp?idx=136266&page=4&kind=3
리얼시큐, ‘사칭메일차단시스템’ 우수조달물품 선정,https://www.boannews.com/media/view.asp?idx=136265&page=4&kind=3
[bnTV] 시장은 ‘회복세’... 코스피  ‘방긋’ 5개월 만에 최고치,https://www.boannews.com/media/view.asp?idx=136263&page=4&kind=3
[유경동의 IP전략] 특허로 본 CES 2025,https://www.boannews.com/media/view.asp?idx=136257&page=4&kind=6
세종대&산·학·연 조찬 포럼, ‘사이버보안 고도화 전략’ 주제로 개최,https://www.boannews.com/media/view.asp?idx=136264&page=4&kind=3
[기자수첩] 이토록 귀찮은 보안,https://www.boannews.com/media/view.asp?idx=136258&page=4&kind=6
사회공헌재단 ‘새활용컴퓨터’로 개도국 지원,https://www.boannews.com/media/view.asp?idx=136262&page=4&kind=1
KISIA,  ‘자율보안 체계 확립’ 나서,https://www.boannews.com/media/view.asp?idx=136261&page=4&kind=2
