Title,Link
[사람과 보안] AI 에이전트가 지켜주는 보안의 미래는?,https://www.boannews.com/media/view.asp?idx=136485&page=1&kind=1
[카드뉴스] 방위산업 경쟁력, 보안 없이는 불가능하다?,https://www.boannews.com/media/view.asp?idx=136480&page=1&kind=1
과기정통부, "제로트러스트 도입, AI보안 제품 개발에 100억원 투입",https://www.boannews.com/media/view.asp?idx=136475&page=1&kind=2
[기고] 소형모듈원전(SMR) 사이버보안, 이것만은 꼭!,https://www.boannews.com/media/view.asp?idx=136469&page=1&kind=1
E1, 국정원 사이버안보 전격 참여...에너지 안보 기여,https://www.boannews.com/media/view.asp?idx=136468&page=1&kind=3
머스크 DOGE, 美 사이버안보기관 인력 잇단 해고,https://www.boannews.com/media/view.asp?idx=136467&page=1&kind=2
첨단안전산업협, 10주년 총회·세미나..신임 부회장 정태웅 에스카 대표 선임,https://www.boannews.com/media/view.asp?idx=136461&page=1&kind=3
[SECON & eGISEC 2025] ⑪2025 대테러콘퍼런스,https://www.boannews.com/media/view.asp?idx=136382&page=1&kind=1
[SECON & eGISEC 2025] ⑩한국항공보안학회 2025년 춘계학술대회,https://www.boannews.com/media/view.asp?idx=136380&page=1&kind=1
[배종찬의 보안 빅데이터] 핵미사일보다 더 무서운 북한의 ‘가상화폐 해킹’,https://www.boannews.com/media/view.asp?idx=136459&page=1&kind=1
300만 건 이상 개인정보 유출한 모두투어, 과징금 7억4000만원 부과,https://www.boannews.com/media/view.asp?idx=136479&page=1&kind=1
하이크비전, 네트워크 보안 국제표준 인증 획득,https://www.boannews.com/media/view.asp?idx=136478&page=1&kind=3
유상임 과기정통부 장관, 한국 과학기술미디어센터 설립 공청회 참석,https://www.boannews.com/media/view.asp?idx=136477&page=1&kind=2
통신, 의료 분야 마이데이터 시행...전 분야로 단계적 확대,https://www.boannews.com/media/view.asp?idx=136476&page=1&kind=2
금보원, 공문 위장 ‘북한發 악성코드’ 주의보,https://www.boannews.com/media/view.asp?idx=136474&page=1&kind=1
포티넷, OT 보안 플랫폼 업데이트..AI·가시성 강화,https://www.boannews.com/media/view.asp?idx=136472&page=1&kind=3
m주민증 전국 확대, 라온시큐어 최대 수혜,https://www.boannews.com/media/view.asp?idx=136473&page=1&kind=3
한국화웨이, 파트너 상생협력 ‘Huawei IP Club’ 개최,https://www.boannews.com/media/view.asp?idx=136471&page=1&kind=3
[부고] 김대중 포커스에이치엔에스 대표 부친상,https://www.boannews.com/media/view.asp?idx=136470&page=1&kind=1
[미리보는 SECON 2025] 동운아나텍,https://www.boannews.com/media/view.asp?idx=136466&page=1&kind=3
[미리보는 SECON 2025] 에이비씨오토매틱,https://www.boannews.com/media/view.asp?idx=136465&page=1&kind=3
[미리보는 SECON 2025] 아이비에스코리아,https://www.boannews.com/media/view.asp?idx=136464&page=1&kind=3
[미리보는 SECON 2025] 이레에스엔씨,https://www.boannews.com/media/view.asp?idx=136463&page=1&kind=3
[미리보는 SECON 2025] 선진인포텍,https://www.boannews.com/media/view.asp?idx=136462&page=1&kind=3
정부, 양자전략위 출범..양자보안 등 탄력,https://www.boannews.com/media/view.asp?idx=136460&page=1&kind=2
[SECON & eGISEC 2025] ⑨개방형 영상보안플랫폼 기술 콘퍼런스,https://www.boannews.com/media/view.asp?idx=136378&page=1&kind=1
자이젤코리아 XGS2220 스위치 시리즈, 국정원 보안기능확인서 획득,https://www.boannews.com/media/view.asp?idx=136458&page=1&kind=3
카스퍼스키, 다크웹서 230만개 은행카드 유출 확인,https://www.boannews.com/media/view.asp?idx=136456&page=1&kind=3
美 NIST, PQC 新표준 선정,https://www.boannews.com/media/view.asp?idx=136455&page=1&kind=2
파이오링크 올해 사업전략 ‘String #n Together’ 제시,https://www.boannews.com/media/view.asp?idx=136454&page=1&kind=3
티피링크, 내주 SECON서 차세대 통합 보안감시 솔루션 선뵈,https://www.boannews.com/media/view.asp?idx=136453&page=2&kind=3
[bnTV] 불붙은 무역 갈등 속 빅테크 ‘급락’.. 관세 우회 업종은?,https://www.boannews.com/media/view.asp?idx=136452&page=2&kind=3
ADT캡스, 지능형 CCTV 성능 시험 인증..AI 보안 서비스 강화,https://www.boannews.com/media/view.asp?idx=136451&page=2&kind=3
트럼프, 美 사이버방어 책임자에 ‘션 플랭키’ 지명..트럼프 1기 사이버정책국장 역임,https://www.boannews.com/media/view.asp?idx=136450&page=2&kind=2
[부고] 이원재 코리아메디케어 부사장 모친상,https://www.boannews.com/media/view.asp?idx=136444&page=2&kind=1
유상임 과기정통부 장관 "AI 인프라 확보 늦어지면 안 돼",https://www.boannews.com/media/view.asp?idx=136441&page=2&kind=2
쿠도, AI 기반 지자체 CCTV  관제지원 시스템 구축,https://www.boannews.com/media/view.asp?idx=136442&page=2&kind=3
글로벌TSCM, 통신보안 전문강좌 개설,https://www.boannews.com/media/view.asp?idx=136443&page=2&kind=1
삼성SDS-KAIST 개발 PQC, 국내 표준 알고리즘 선정,https://www.boannews.com/media/view.asp?idx=136440&page=2&kind=2
사이테크놀로지스, 차세대 LCD 기술 국제 학술지 게재,https://www.boannews.com/media/view.asp?idx=136439&page=2&kind=3
인텔리빅스-제네텍, 글로벌 AI 보안 협력,https://www.boannews.com/media/view.asp?idx=136438&page=2&kind=3
KISIA 컨소, SBOM 자동화 도구 개발..실증도 성공적,https://www.boannews.com/media/view.asp?idx=136436&page=2&kind=2
지란지교에스앤씨, 스카이박스 고객 마이그레이션 지원,https://www.boannews.com/media/view.asp?idx=136437&page=2&kind=3
[SECON & eGISEC 2025] ⑧전국 정보보호정책협의회 제2회 정기총회,https://www.boannews.com/media/view.asp?idx=136377&page=2&kind=1
[여기는 킨텍스] 공공 정보시스템을 위한 장애진단·모니터링·복구 활성화, SECON & eGISEC에서 꽃 피운다,https://www.boannews.com/media/view.asp?idx=136376&page=2&kind=1
엠클라우독 AI 솔루션 ‘아이채터’ eGISEC서 최초 공개,https://www.boannews.com/media/view.asp?idx=136435&page=2&kind=3
[SECON & eGISEC 2025] ⑦제10회 항공보안심포지엄,https://www.boannews.com/media/view.asp?idx=136375&page=2&kind=1
StealthMole, 제19회 OSINT 전문가 교육 3월 개최,https://www.boannews.com/media/view.asp?idx=136434&page=2&kind=3
