Title,Link
지니언스, 印 시장 진출 본격화..벵갈루루에 기술지원센터 구축,https://www.boannews.com/media/view.asp?idx=136636&page=2&kind=3
금보원, 2025년도 금융보안 교육 확대 개편,https://www.boannews.com/media/view.asp?idx=136635&page=2&kind=2
포티넷, 내달 ‘OT 시큐리티 서밋 코리아’ 개최,https://www.boannews.com/media/view.asp?idx=136634&page=2&kind=3
아스트론시큐리티-삼쩜삼, 손잡고 ‘클라우드 보안’ 강화,https://www.boannews.com/media/view.asp?idx=136633&page=3&kind=3
유니온커뮤니티, SECON 2025에서 생체인식 통합서버 솔루션으로 주목,https://www.boannews.com/media/view.asp?idx=136632&page=3&kind=3
싸이터, 한-일 양국 선급으로부터 선박 사이버보안 기술인증 획득,https://www.boannews.com/media/view.asp?idx=136631&page=3&kind=3
개인정보위, “오픈소스 AI 스타트업 데이터 활용 불안 덜겠다”..中 딥시크 등과 소통·협력,https://www.boannews.com/media/view.asp?idx=136630&page=3&kind=2
과기정통부, 사이버보안 펀드 운용사 공모..200억원 규모 추가 조성,https://www.boannews.com/media/view.asp?idx=136626&page=3&kind=2
씨프로, 첨단 딥 러닝 기술 활용한 AI 코너 돔 IP 카메라,https://www.boannews.com/media/view.asp?idx=136629&page=3&kind=3
노르마-경상국립대, 항공우주 양자기술 공동연구,https://www.boannews.com/media/view.asp?idx=136628&page=3&kind=3
위조 신분증으로 대포폰 못 만들게..과기정통부, 사진까지 진위 확인,https://www.boannews.com/media/view.asp?idx=136627&page=3&kind=2
엔피코어, ‘SECON & eGISEC 2025’ 콘퍼런스 참가..자사 솔루션 소개,https://www.boannews.com/media/view.asp?idx=136625&page=3&kind=3
한드림넷, SECON 2025서 보안스위치-XDR 솔루션 등 네트워크 솔루션 선봬,https://www.boannews.com/media/view.asp?idx=136623&page=3&kind=3
“텔레그램 보안 취약점 400만달러에 사요”...러 기업, 공개 구매 나서,https://www.boannews.com/media/view.asp?idx=136622&page=3&kind=3
[인터뷰] 이명 넷앤드 상무 “클라우드 기반 보안 솔루션 강화할 것”,https://www.boannews.com/media/view.asp?idx=136621&page=3&kind=3
정보보호정책협의회-과기정통부, 공공부문 정보보호 협력체계 본격 가동,https://www.boannews.com/media/view.asp?idx=136619&page=3&kind=2
클라우드플레어, “AI 보안 위협 한번에 잡는다”,https://www.boannews.com/media/view.asp?idx=136617&page=3&kind=3
금융보안포럼, 15주년 총회 개최..AI 시대 금융보안 미래 논의,https://www.boannews.com/media/view.asp?idx=136620&page=3&kind=2
파수, 필리핀 ‘엑시토 서밋’서 차세대 데이터보안 플랫폼 소개,https://www.boannews.com/media/view.asp?idx=136618&page=3&kind=3
라온시큐어, 건국대에 블록체인 기반 ‘디지털 배지’ 시스템 구현,https://www.boannews.com/media/view.asp?idx=136616&page=3&kind=3
티오리, 해커 위한 ‘닷핵 컨퍼런스 2025’..내달 서울 코엑스서 개최,https://www.boannews.com/media/view.asp?idx=136615&page=3&kind=3
선 넘는 트럼프...‘사이버보안’ 등 국가안보에 경제·효율만 강조,https://www.boannews.com/media/view.asp?idx=136614&page=3&kind=1
[배종찬의 보안 빅데이터] 북한 해킹 그룹이 노리는 K-방산·K-반도체,https://www.boannews.com/media/view.asp?idx=136613&page=3&kind=1
동남아 온라인 로맨스 사기단 2명 징역형,https://www.boannews.com/media/view.asp?idx=136612&page=4&kind=1
[여기는 킨텍스] 원우이엔지, 신규 AF 줌 모듈 첫선,https://www.boannews.com/media/view.asp?idx=136611&page=4&kind=3
[여기는 킨텍스] 버카다, 물리-사이버 경계 없는 보안 시스템 제시,https://www.boannews.com/media/view.asp?idx=136610&page=4&kind=3
[bnTV] 여기는 킨텍스, eGISEC 2025 참가 보안상장기업 주가는?,https://www.boannews.com/media/view.asp?idx=136609&page=4&kind=1
[여기는 킨텍스] “뭐하는 부스에요?”...IP코드, 특허 상담 눈길,https://www.boannews.com/media/view.asp?idx=136608&page=4&kind=1
[여기는 킨텍스] 이노뎁, 대규모 업데이트 안내 위한 ‘소통형’ 부스 꾸려,https://www.boannews.com/media/view.asp?idx=136607&page=4&kind=3
[여기는 킨텍스] 엠아이케이스캔, 국산 보안검색장비의 기술력 선봬,https://www.boannews.com/media/view.asp?idx=136606&page=4&kind=1
[bnTV] 여기는 킨텍스, SECON 2025 참가 보안상장기업 주가는?,https://www.boannews.com/media/view.asp?idx=136597&page=4&kind=1
[사람과 보안] AI가 보안이고, 보안이 AI인 세상,https://www.boannews.com/media/view.asp?idx=136593&page=4&kind=1
[여기는 킨텍스] 유니온커뮤니티, 보안을 넘어 다양한 산업에 스며든 생체인식 기술,https://www.boannews.com/media/view.asp?idx=136605&page=4&kind=3
[여기는 킨텍스] 솔텍인포넷, 산업 현장 위한 고신뢰  이더넷 스위치 선보여,https://www.boannews.com/media/view.asp?idx=136604&page=4&kind=3
[여기는 킨텍스] 렉스젠, AI 기반 지능형 교통 관제 시스템 눈길,https://www.boannews.com/media/view.asp?idx=136603&page=4&kind=3
[여기는 킨텍스] 한국항공보안학회, 2025년 춘계학술대회 성료,https://www.boannews.com/media/view.asp?idx=136602&page=4&kind=3
[여기는 킨텍스] 엠스톤, 전시장 중앙을 수놓은 100장의 IP Wall,https://www.boannews.com/media/view.asp?idx=136601&page=4&kind=3
[여기는 킨텍스] 홍석, 생활방범과 차량 인식 하나로 통합한 듀얼 카메라 눈길,https://www.boannews.com/media/view.asp?idx=136600&page=4&kind=3
[여기는 킨텍스] 유니버스에이아이, AI 얼굴인식 기술 활용한 솔루션 제시,https://www.boannews.com/media/view.asp?idx=136599&page=4&kind=3
[여기는 킨텍스] 세오, AI 기반 실시간 보안 영상 분석 시스템 선보여,https://www.boannews.com/media/view.asp?idx=136598&page=4&kind=3
[여기는 킨텍스] 에스카, 복합필터 활용한 저시정 영상개선 CCTV 공개,https://www.boannews.com/media/view.asp?idx=136596&page=4&kind=3
[여기는 킨텍스] 씨게이트, 영상감시를 위한 최적의 스토리지 솔루션 제시,https://www.boannews.com/media/view.asp?idx=136595&page=4&kind=3
[여기는 킨텍스] 태정이엔지, 스마트시티 필수 인프라 ‘스마트폴’ 소개,https://www.boannews.com/media/view.asp?idx=136594&page=4&kind=3
[여기는 킨텍스] 엔피코어, AI기반 랜섬웨어·악성코드 탐지-대응 솔루션 전시,https://www.boannews.com/media/view.asp?idx=136592&page=5&kind=3
