Title,Link
휴네시온, 원격 유지보수 솔루션 ‘i-oneJTac’으로 SW 공급망 보안 위협 대응,https://www.boannews.com/media/view.asp?idx=136537&page=1&kind=3
“공급망 보안, 회복력부터 갖춰라”..KISA, CISO 포럼서 강조,https://www.boannews.com/media/view.asp?idx=136534&page=1&kind=1
[카드뉴스] 제조업, 랜섬웨어 감염 ‘속출’ 주의!,https://www.boannews.com/media/view.asp?idx=136531&page=1&kind=1
게임, 양자를 만나다..노르마-네오위즈 맞손,https://www.boannews.com/media/view.asp?idx=136524&page=1&kind=1
[한국정보공학기술사 보안을 論하다-11] 인공지능 시대, 보안담당자의 역할,https://www.boannews.com/media/view.asp?idx=136523&page=1&kind=3
미 연방 CIO, “사이버 보안 인력은 국가 안보 핵심...구조조정 우선 대상 아냐”,https://www.boannews.com/media/view.asp?idx=136521&page=1&kind=2
깃허브 겨냥한 가짜 보안 알림 피싱 공격 주의보,https://www.boannews.com/media/view.asp?idx=136516&page=1&kind=1
[SECON & eGISEC 2025] ⑬2025년 제1차 CPO 워크숍,https://www.boannews.com/media/view.asp?idx=136384&page=1&kind=1
산업기술보호협, 국가핵심기술 보호 위한 대응전략 공유,https://www.boannews.com/media/view.asp?idx=136401&page=1&kind=3
[지식재산 팩트체크] 초격차 기술은 없다,https://www.boannews.com/media/view.asp?idx=136510&page=1&kind=6
오투원즈, OT망 원격접속 통제솔루션 ‘OtoRAS’ CC인증 획득,https://www.boannews.com/media/view.asp?idx=136535&page=1&kind=3
지란지교시큐, 대교 EMM 태블릿 관리 시스템 구축사업 수주,https://www.boannews.com/media/view.asp?idx=136533&page=1&kind=3
[여기는 킨텍스] 슈프리마, SECON서 바이오스타X 첫선..통합 보안 新기준 제시,https://www.boannews.com/media/view.asp?idx=136532&page=1&kind=3
S2W, 日에 CTI 플랫폼 공급..하반기 IPO 박차,https://www.boannews.com/media/view.asp?idx=136530&page=1&kind=3
에브리존 안티랜섬웨어 ‘화이트디펜더’, 국정원 보안기능확인서 인증 획득,https://www.boannews.com/media/view.asp?idx=136526&page=1&kind=3
[인사] 과학기술정보통신부,https://www.boannews.com/media/view.asp?idx=136525&page=1&kind=1
한드림넷, 네트워크 스위치 제조공장 신축,https://www.boannews.com/media/view.asp?idx=136522&page=1&kind=3
원우이엔지 중국지사, 선전 사이언스파크로 이전 기념식 개최,https://www.boannews.com/media/view.asp?idx=136519&page=1&kind=3
SGA솔루션즈, eGISEC 2025서 ‘오버레이 전략’ 제시...국가망 보안체계와 제로트러스트 연계,https://www.boannews.com/media/view.asp?idx=136517&page=1&kind=3
쿠도, SECON 2025서 ‘차세대 보안 카메라’ 첫선,https://www.boannews.com/media/view.asp?idx=136520&page=1&kind=3
[신간] AI 기업 CEO가 파헤친 ‘AI 비즈니스 승리의 길’,https://www.boannews.com/media/view.asp?idx=136515&page=1&kind=3
국정원, 드론 업계 ‘사이버보안체계’ 구축 지원,https://www.boannews.com/media/view.asp?idx=136514&page=1&kind=2
아도스, SECON 2025서 차세대 보안 기술 공개,https://www.boannews.com/media/view.asp?idx=136513&page=1&kind=3
금보원, 2025년도 금융권 침해사고 대응훈련 실시,https://www.boannews.com/media/view.asp?idx=136512&page=1&kind=2
[배종찬의 보안 빅데이터] 13월의 보너스 ‘연말정산’ 노리는 잔인한 피싱,https://www.boannews.com/media/view.asp?idx=136511&page=1&kind=1
국토부, 2025년 스마트도시 조성·확산 위한 4가지 사업 참가 공모 실시,https://www.boannews.com/media/view.asp?idx=136509&page=1&kind=2
[특별기고] 최악을 가정하라!...깃허브, 민감 데이터 유출 대처법,https://www.boannews.com/media/view.asp?idx=136496&page=1&kind=6
송승현 한국요꼬가와 본부장, “똑부러진 ‘OT보안’이란 이런 것!”,https://www.boannews.com/media/view.asp?idx=136482&page=1&kind=3
[부고] 이정석 데일리팜·메디칼타임즈 대표 빙부상,https://www.boannews.com/media/view.asp?idx=136508&page=1&kind=1
[미리보는 eGISEC 2025] 케이스마텍,https://www.boannews.com/media/view.asp?idx=136506&page=1&kind=3
[미리보는 eGISEC 2025] 와이에이치,https://www.boannews.com/media/view.asp?idx=136507&page=2&kind=3
[미리보는 eGISEC 2025] 코닉글로리,https://www.boannews.com/media/view.asp?idx=136505&page=2&kind=3
[미리보는 eGISEC 2025] 한국정보인증,https://www.boannews.com/media/view.asp?idx=136504&page=2&kind=3
[미리보는 eGISEC 2025] 파일링클라우드,https://www.boannews.com/media/view.asp?idx=136503&page=2&kind=3
[미리보는 eGISEC 2025] 위드네트웍스,https://www.boannews.com/media/view.asp?idx=136502&page=2&kind=3
[미리보는 eGISEC 2025] 에스투더블유,https://www.boannews.com/media/view.asp?idx=136501&page=2&kind=3
[미리보는 SECON 2025] 브이에스아이,https://www.boannews.com/media/view.asp?idx=136500&page=2&kind=3
[미리보는 SECON 2025] 애니셀,https://www.boannews.com/media/view.asp?idx=136499&page=2&kind=3
기업 10곳中 7곳, 개인정보처리방침과 실제 운영 달라..외국계는 절반 아예 ‘미운영’,https://www.boannews.com/media/view.asp?idx=136498&page=2&kind=2
정부, 지방과학기술진흥에 6.6조 투입..시행계획 확정,https://www.boannews.com/media/view.asp?idx=136497&page=2&kind=2
대한민국 보안 역사, ‘안랩’ 30주년..."글로벌 1조 기업 도약" 다짐,https://www.boannews.com/media/view.asp?idx=136494&page=2&kind=3
[기획] 서른 안랩, 결정적 순간 No.5,https://www.boannews.com/media/view.asp?idx=136495&page=2&kind=3
[SECON & eGISEC 2025] ⑫2025 물리보안 인증 및 연동 기술 콘퍼런스,https://www.boannews.com/media/view.asp?idx=136383&page=2&kind=1
[인사] 과학기술정보통신부,https://www.boannews.com/media/view.asp?idx=136493&page=2&kind=2
오픈AI, "딥시크 등 中 AI 모델 사용 금지해야",https://www.boannews.com/media/view.asp?idx=136492&page=2&kind=2
센스톤, EU 사이버보안 대표단에 OT 보안 기술 선봬,https://www.boannews.com/media/view.asp?idx=136491&page=2&kind=1
