Title,Link
[김정덕의 보안 다반사-3] 트럼프발 ‘각자도생’ 시대, 한국의 디지털 안보 전략은?,https://www.boannews.com/media/view.asp?idx=139460&page=1&kind=2
[유경동의 IP전략] 대통령의 펜,https://www.boannews.com/media/view.asp?idx=139455&page=1&kind=1
“민간 기업 해킹에도 국정원 역량 활용해라”...과방위 의원들 지적,https://www.boannews.com/media/view.asp?idx=139448&page=1&kind=1
[카드뉴스] 미국 세인트폴, 랜섬웨어 공격에 국가 비상사태 선포…도시 전산망 마비 충격,https://www.boannews.com/media/view.asp?idx=139447&page=1&kind=1
김영섭 KT 대표 “정보유출 2만명 위약금 면제 적극 검토”,https://www.boannews.com/media/view.asp?idx=139445&page=1&kind=1
김영섭 KT 대표 “서버 폐기 반성”...과기정통부, 소액결제와 서버 해킹 관련성 조사,https://www.boannews.com/media/view.asp?idx=139442&page=1&kind=1
[IP 포토] “퀀텀 IP 경쟁력 확보하라”,https://www.boannews.com/media/view.asp?idx=139441&page=1&kind=1
류제명 차관 “소액결제 2차인증 방안 강구할 것”...비인가 펨토셀 차단 강조,https://www.boannews.com/media/view.asp?idx=139439&page=1&kind=1
기업 해킹 ‘정부 조사권 강화’ 본격화...“질타 아닌 ‘지원’ 초점둬야” 목소리↑,https://www.boannews.com/media/view.asp?idx=139430&page=1&kind=1
[IP人] 김완기 특허청장, 광주 中企와 IP기반 성장 방안 모색,https://www.boannews.com/media/view.asp?idx=139425&page=1&kind=1
“구글·메타·오픈AI, 6개월 내 국내 법인으로 국내 대리인 변경해야”,https://www.boannews.com/media/view.asp?idx=139462&page=1&kind=2
카카오 AI비서·토스 안면결제도 사전적정성 검토 거쳐...제도 2년 성과 발표,https://www.boannews.com/media/view.asp?idx=139461&page=1&kind=2
[부고] 강승룡 네티마시스템 대표이사 빙모상,https://www.boannews.com/media/view.asp?idx=139459&page=1&kind=1
엑시스 코리아, AI 보안 ‘엑시스 솔루션 컨퍼런스 2025’ 개최,https://www.boannews.com/media/view.asp?idx=139458&page=1&kind=3
GASA “韓 사기범죄 팬데믹 직면, AI 기반 대응과 통합 거버넌스 시급”,https://www.boannews.com/media/view.asp?idx=139456&page=1&kind=2
SK쉴더스, AI 기반 MXDR 도입해 관제 플랫폼 ‘시큐디움’ 고도화,https://www.boannews.com/media/view.asp?idx=139454&page=1&kind=3
소프트캠프, MS 팀즈 전용 보안 앱 ‘실드게이트 팀즈 앱’ 출시,https://www.boannews.com/media/view.asp?idx=139457&page=1&kind=3
샌즈랩, ‘직무발명보상 우수기업’ 인증 취득,https://www.boannews.com/media/view.asp?idx=139453&page=1&kind=3
한국공항보안, 국가재난안전교육원과 업무협약 체결,https://www.boannews.com/media/view.asp?idx=139452&page=1&kind=3
KITRI, 차세대 보안 인재 양성 프로그램...화이트햇 스쿨 3기 졸업식 진행,https://www.boannews.com/media/view.asp?idx=139450&page=1&kind=2
국방AI 응용을 위한 시스템엔지니어링 활용 전략 대토론회 성황리에 개최,https://www.boannews.com/media/view.asp?idx=139451&page=1&kind=3
스마트 치안 드론, AI 성능 높이기 맞손,https://www.boannews.com/media/view.asp?idx=139449&page=1&kind=2
쿠도커뮤니케이션, 세종시 도시통합정보센터에 영상정보디스플레이 구축,https://www.boannews.com/media/view.asp?idx=139431&page=1&kind=3
서울시 사이버보안관리관 신설...사이버보안 조례 29일 시행,https://www.boannews.com/media/view.asp?idx=139446&page=1&kind=2
DJI, 핸즈프리 웨어러블 Osmo Nano 카메라 출시,https://www.boannews.com/media/view.asp?idx=139432&page=1&kind=3
여권정보를 이용한 신분 확인, 이제는 스마트폰으로,https://www.boannews.com/media/view.asp?idx=139440&page=1&kind=2
인텔리빅스, ‘The NEXT AI’서 국산 NPU 기반 산불조기경보시스템 공개,https://www.boannews.com/media/view.asp?idx=139444&page=1&kind=3
홍천 주택 상습 침입, VIGI CCTV 경보와 영상으로 끝내 막았다,https://www.boannews.com/media/view.asp?idx=139443&page=1&kind=3
네이버 카페 중고거래 안전하게...거래 수수료도 카페와 나눠,https://www.boannews.com/media/view.asp?idx=139438&page=1&kind=3
한미 양자 기술 협력 확대...배경훈 장관, IBM 왓슨 연구소 등 방문,https://www.boannews.com/media/view.asp?idx=139434&page=1&kind=2
펜타시큐리티, AI 자동 비식별화 SaaS ‘클라우드브릭 마스크’ 출시,https://www.boannews.com/media/view.asp?idx=139436&page=2&kind=3
SGA솔루션즈, ‘국가·공공기관 대상 N²SF 실증사업’ 주관사 선정,https://www.boannews.com/media/view.asp?idx=139433&page=2&kind=2
양자 보안 기술 기업 BTQ테크놀로지 美 나스닥 상장,https://www.boannews.com/media/view.asp?idx=139435&page=2&kind=1
육군본부와 세종대학교, 사이버발전 세미나 성료,https://www.boannews.com/media/view.asp?idx=139437&page=2&kind=3
넷앤드·LG CNS, 베트남서 공동 보안 세미나 성료...현지 시장 확대 본격화,https://www.boannews.com/media/view.asp?idx=139424&page=2&kind=3
어린이 안전 지키는 어르신 ‘아동안전지킴이’, 통학로 안전활동 강화,https://www.boannews.com/media/view.asp?idx=139428&page=2&kind=2
AI전략위, 보안 TF 신설 “AI 악용 막는다”...리더는 이원태 前 KISA 원장,https://www.boannews.com/media/view.asp?idx=139429&page=2&kind=2
한미 양자 기업, 퀀텀 월드 컨퍼런스에서 기술 교류 맞손,https://www.boannews.com/media/view.asp?idx=139423&page=2&kind=3
[한국융합보안학회 칼럼] 반복되는 해킹 사태, 보안은 비용이 아닌 생존 전략,https://www.boannews.com/media/view.asp?idx=139422&page=2&kind=6
금융위 부위원장, “보안을 부차적 업무로 여기지 않았는지 반성해야”,https://www.boannews.com/media/view.asp?idx=139421&page=2&kind=1
라온시큐어, 웹3·AI 기반 초연결 플랫폼 제시한 ‘2025 시큐업&해커톤’,https://www.boannews.com/media/view.asp?idx=139416&page=2&kind=3
“지식재산처, ‘특허 가치 제고’ 힘써줘야”...현역 변리사 설문조사 결과,https://www.boannews.com/media/view.asp?idx=139417&page=2&kind=1
지프, 마세라티 제조사 스텔란티스, 사이버 침해 공격으로 정보 유출,https://www.boannews.com/media/view.asp?idx=139415&page=2&kind=1
파수, 2025 글로벌 AI 어워드 ‘최고 AI 융합’ 부문 최종 후보 선정,https://www.boannews.com/media/view.asp?idx=139413&page=2&kind=3
시놀로지, 창립 25주년 맞아 한국 엔터프라이즈 성장세 및 사이버 회복탄력성 현황 발표,https://www.boannews.com/media/view.asp?idx=139414&page=2&kind=3
파이오링크, 클라우드 네이티브 인프라·보안 전략 제시…‘클라우드 빅테크 2025’ 참가,https://www.boannews.com/media/view.asp?idx=139412&page=2&kind=3
[日 PIFC 2025 참관기] “AI, IP를 뒤흔들다”...지식재산의 大전환 예고,https://www.boannews.com/media/view.asp?idx=139411&page=2&kind=1
옥타코, Passwordless PC 로그인 솔루션 출시...Windows와 Mac OS 모두 지원,https://www.boannews.com/media/view.asp?idx=139406&page=2&kind=3
2025년 제5차 첨단미래포럼·연구회 개최, 산업재해 근절 전략 논의,https://www.boannews.com/media/view.asp?idx=139407&page=2&kind=2
서울시, 지능형 CCTV 오탐 해결로 정보통신 우수사례 대통령상 수상,https://www.boannews.com/media/view.asp?idx=139409&page=2&kind=2
관세청, AI 관세행정 본격 가동하며 정보화 조직 정비 완료,https://www.boannews.com/media/view.asp?idx=139410&page=3&kind=2
류제명 차관, CISO들에게 “엄중한 사이버 위기, 정보보안 강화 총력” 당부,https://www.boannews.com/media/view.asp?idx=139408&page=3&kind=1
[양자보안 칼럼] 양자 컴퓨팅 시대, 사이버 보안 준비는 필수,https://www.boannews.com/media/view.asp?idx=139403&page=3&kind=6
F5, 2500억원에 칼립소AI 인수...대기업 대상 AI 가드레일 보안 강화,https://www.boannews.com/media/view.asp?idx=139405&page=3&kind=3
엘림광통신, 안정성과 내구성 두 마리 토끼 잡는 산업용 PoE 스위치 신제품 출시,https://www.boannews.com/media/view.asp?idx=139404&page=3&kind=3
베트남에 소방관 직무파견...한국 소방의 해외 첫 파견,https://www.boannews.com/media/view.asp?idx=139398&page=3&kind=2
경기도, 아동범죄 안전망 구축 위해 민·관·경 협력 강화,https://www.boannews.com/media/view.asp?idx=139400&page=3&kind=2
부산시, 가상세계서 안전 서비스 체험하는 ‘1365 트윈 부산’ 오픈,https://www.boannews.com/media/view.asp?idx=139402&page=3&kind=1
해양수산부, 챌린지로 ‘구명조끼 착용 의무화’ 정착시킨다,https://www.boannews.com/media/view.asp?idx=139397&page=3&kind=2
차세대 보안리더 양성 프로그램 ‘화이트햇 스쿨 3기’ 졸업식 개최,https://www.boannews.com/media/view.asp?idx=139401&page=3&kind=2
카스퍼스키 “스마트 SOC, 아태지역 IT·OT 보안 핵심 역할”,https://www.boannews.com/media/view.asp?idx=139399&page=3&kind=3
