Title,Link
세계 최초로 한국에서 열리는 ‘AI 해킹 방어대회’,https://www.boannews.com/media/view.asp?idx=139504&page=2&kind=2
연이은 상품권 관련 해킹...비플페이, 선불 충전 상품권 PIN 유출,https://www.boannews.com/media/view.asp?idx=139503&page=2&kind=1
국정자원 화재, 피해 없는 시스템 551개 순차 가동...민원24 대체 방법은?,https://www.boannews.com/media/view.asp?idx=139502&page=2&kind=1
정부, “교통 범칙금, 명절 선물 구매 등 ‘문자사기’ 주의”,https://www.boannews.com/media/view.asp?idx=139491&page=2&kind=2
제14회 레몬세미나 개최, 차세대 정보보호 인재 모여 ‘암호 기술과 미래 보안’ 논의,https://www.boannews.com/media/view.asp?idx=139501&page=2&kind=5
대전 국가정보자원관리원 화재 10시간 만에 일단 잡았다,https://www.boannews.com/media/view.asp?idx=139500&page=2&kind=1
국정자원 화재로 70개 정부 온라인 서비스 장애, 위기경보 ‘경계’ 발령,https://www.boannews.com/media/view.asp?idx=139499&page=2&kind=1
‘IP중개사’ 나온다...오는 11월 첫 검정,https://www.boannews.com/media/view.asp?idx=139498&page=3&kind=2
정부, 3만개 기업 긴급 보안 점검 요청...IT 자산 등 4가지 점검 후 ‘CEO 서명’,https://www.boannews.com/media/view.asp?idx=139496&page=3&kind=1
올해의 최고 IP스타트업, ‘시리에너지’,https://www.boannews.com/media/view.asp?idx=139497&page=3&kind=2
복잡한 개인정보 안내 더 직관적으로...네이버, 프라이버시 센터개편,https://www.boannews.com/media/view.asp?idx=139495&page=3&kind=3
NIA-지자체, 지역 양자산업 생태계 구축 협력,https://www.boannews.com/media/view.asp?idx=139494&page=3&kind=2
파인더갭, 대학생 대상 화이트해커 공모전 ‘UNICON’ 개최,https://www.boannews.com/media/view.asp?idx=139489&page=3&kind=2
볼보 북미법인, 협력사 랜섬웨어 피해 여파로 직원 개인정보 유출,https://www.boannews.com/media/view.asp?idx=139493&page=3&kind=1
합동상호운용성기술센터, 서울과학기술대학교-국방인공지능융합연구소와 MOU 체결,https://www.boannews.com/media/view.asp?idx=139490&page=3&kind=3
[배종찬의 보안 빅데이터] 구멍난 해킹 사각지대, 수습보다는 예방이다,https://www.boannews.com/media/view.asp?idx=139488&page=3&kind=1
외국인노동자, 온라인 또는 스마트폰으로 안전보건교육을 받는다,https://www.boannews.com/media/view.asp?idx=139486&page=3&kind=2
정부, 2025년 하반기 기획형 규제샌드박스 과제 선정...스마트기술 주목,https://www.boannews.com/media/view.asp?idx=139484&page=3&kind=2
서울시, ‘자율차 보안검증 제도’ 마련으로 자율주행시대 선도,https://www.boannews.com/media/view.asp?idx=139483&page=3&kind=2
델 테크놀로지스, 스토리지 제품군 대대적 업데이트...클라우드 인프라 빠르고 스마트해졌다,https://www.boannews.com/media/view.asp?idx=139481&page=3&kind=3
구글 맨디언트, “‘브릭스톰’ 백도어 공격 주의”,https://www.boannews.com/media/view.asp?idx=139485&page=3&kind=1
안랩, 임직원 R&D 역량 강화 위한 ‘안랩 개발자 컨퍼런스 2025’ 성료,https://www.boannews.com/media/view.asp?idx=139482&page=3&kind=3
