Title,Link
유준상 KITRI 원장, 한·일간 사이버보안 협력 방안 논의,https://www.boannews.com/media/view.asp?idx=139362&page=2&kind=2
아이폰-갤럭시 사용자, 100명까지 그룹 채팅..통신3사, 아이폰 RCS 메시지 지원,https://www.boannews.com/media/view.asp?idx=139360&page=2&kind=3
국회, KT-롯데카드 해킹 들여다본다...24일 청문회 개최,https://www.boannews.com/media/view.asp?idx=139361&page=2&kind=2
안랩, 임직원 대상 ‘공정거래 리스크 관리’ 특강 진행,https://www.boannews.com/media/view.asp?idx=139356&page=2&kind=3
이스트시큐리티 보안 솔루션, 디딤365 클라우드에 적용,https://www.boannews.com/media/view.asp?idx=139359&page=2&kind=3
[배종찬의 보안 빅데이터] 롯데카드 해킹, 내 카드는 안전한가,https://www.boannews.com/media/view.asp?idx=139358&page=2&kind=1
에스투더블유, 코스닥 신규 상장…“공모금 해외 법인 신설 등에 투자”,https://www.boannews.com/media/view.asp?idx=139355&page=3&kind=3
아이티언, ‘AI·클라우드 보안 환경 변화’ 공유한 2025 파트너스 데이 성료,https://www.boannews.com/media/view.asp?idx=139354&page=3&kind=3
[카드뉴스] 크리덴셜 스터핑 공격, 재사용된 비밀번호로 글로벌 서비스 계정 무더기 털렸다,https://www.boannews.com/media/view.asp?idx=139335&page=3&kind=1
프라이빗테크놀로지, DPG 플랫폼 N²SF 실증 주관기업 선정,https://www.boannews.com/media/view.asp?idx=139352&page=3&kind=2
지케이테코, 멀티 생체 인식 출입통제 단말기 등 신제품 론칭 컨퍼런스 개최,https://www.boannews.com/media/view.asp?idx=139353&page=3&kind=3
정부, 신고 없어도 기업 해킹 사고 직접 조사한다...금융사 해킹엔 징벌적 과징금,https://www.boannews.com/media/view.asp?idx=139351&page=3&kind=1
조달청, 공공조달시장 목록정보 등록 더 빠르고 편리하게 개편,https://www.boannews.com/media/view.asp?idx=139348&page=3&kind=2
KT, “서버 침해 흔적 있다”...KISA 신고,https://www.boannews.com/media/view.asp?idx=139347&page=3&kind=1
[김정덕의 보안 다반사-2] 케데헌 현상에서 배우는 사이버 보안문화,https://www.boannews.com/media/view.asp?idx=139349&page=3&kind=3
‘K-콘텐츠’, IP 해외진출 접점...콘진원 ‘시리즈 온 보드’ 개막,https://www.boannews.com/media/view.asp?idx=139350&page=3&kind=1
“AI·로봇 등 신산업 특허, 심사기간 단축해줘야”...대한상의·특허청, IP정책간담회 열어,https://www.boannews.com/media/view.asp?idx=139346&page=3&kind=1
AI혁명, IP로 가능성 타진...PATINEX 2025 개막,https://www.boannews.com/media/view.asp?idx=139345&page=3&kind=1
국가 배후 APT의 AI 무기화, 카스퍼스키 ‘다크 AI’ 경고,https://www.boannews.com/media/view.asp?idx=139344&page=3&kind=3
[KT 무단 소액결제] IMEI도 유출 정황...“복제폰 가능성 없다”,https://www.boannews.com/media/view.asp?idx=139343&page=3&kind=1
인텔리빅스, ‘2025 대한민국 안전산업박람회’서 안전 AI 5종 공개,https://www.boannews.com/media/view.asp?idx=139337&page=3&kind=3
2030세대 대상 기관사칭형 보이스피싱 성행...‘셀프감금’ 형태로 진화,https://www.boannews.com/media/view.asp?idx=139339&page=3&kind=2
경찰청-우주항공청, 국가중요시설 대상 불법드론 대응 첨단기술 첫 공개,https://www.boannews.com/media/view.asp?idx=139340&page=3&kind=2
트렌드마이크로, AI 시대 보안 방향 제시...‘월드 투어 2025 서울’ 개최,https://www.boannews.com/media/view.asp?idx=139342&page=3&kind=3
2026년도 지역맞춤형 재난안전연구개발 과제에 120억원 지원,https://www.boannews.com/media/view.asp?idx=139341&page=3&kind=2
롯데카드, 5년간 1100억원 보안 투자 약속...조좌진 대표 일문일답 “사임 각오 쇄신 단행”,https://www.boannews.com/media/view.asp?idx=139336&page=3&kind=1
李 대통령, “보안 없이는 AI 강국도 사상누각”...해킹 사고 범정부 대책 마련 지시,https://www.boannews.com/media/view.asp?idx=139338&page=4&kind=2
제네텍, 조달청 디지털 서비스 몰에 공식 등록... 공공시장 진출 교두보 마련,https://www.boannews.com/media/view.asp?idx=139332&page=4&kind=3
롯데카드 회원 297만명 정보 유출...“피해액 전액 보상”,https://www.boannews.com/media/view.asp?idx=139331&page=4&kind=1
보안 전문가들이 꼽은 AI 도입 조건 ‘보안·폐쇄망’,https://www.boannews.com/media/view.asp?idx=139330&page=4&kind=3
오리엔텀, 美 ‘퀀텀 월드 콩그레스(QWC) 2025' 참가,https://www.boannews.com/media/view.asp?idx=139329&page=4&kind=3
엑시스, 한-독 IoT 보안분야 상호인정약정 통해 KISA CIC 인증 최초 획득,https://www.boannews.com/media/view.asp?idx=139328&page=4&kind=3
스테이블코인 결제 네트워크 QSSN, 디지털 자산 양자 보안 지킨다,https://www.boannews.com/media/view.asp?idx=139327&page=4&kind=3
안양시, 드론배송 서비스 컨트롤타워 ‘드론 통합상황실’ 개소,https://www.boannews.com/media/view.asp?idx=139325&page=4&kind=1
대전 중구, 방범용 CCTV 및 비상벨 특별점검 실시해 안전한 통학길 조성,https://www.boannews.com/media/view.asp?idx=139324&page=4&kind=2
소프트캠프, ‘국가 망 보안체계’ 시장 전략과 기회 모색 세미나 성료,https://www.boannews.com/media/view.asp?idx=139326&page=4&kind=2
금융지주회사 자회사 간 공동 대응으로 보이스피싱 예방,https://www.boannews.com/media/view.asp?idx=139323&page=4&kind=2
한국항공보안학회, 국제민간항공기구(ICAO) 부속서17 12차 개정판 한국어 번역서 출간,https://www.boannews.com/media/view.asp?idx=139322&page=4&kind=3
시스코, AI 에이전트로 옵저버빌리티 강화...‘스플렁크 옵저버빌리티’ 발표,https://www.boannews.com/media/view.asp?idx=139321&page=4&kind=3
KISA-샌즈랩, ‘2025 사이버보안 AI 데이터셋 실증 참여 설명회’ 개최,https://www.boannews.com/media/view.asp?idx=139320&page=4&kind=2
웨비즘, 중소기업 대상 ‘무료 웹 취약점 진단 캠페인’ 실시,https://www.boannews.com/media/view.asp?idx=139319&page=4&kind=1
[KT 무단 소액결제] 40대 중국 교포 용의자 체포...불법 기지국 장비 확보,https://www.boannews.com/media/view.asp?idx=139318&page=4&kind=1
세이지, 사우디 아람코와 손잡고 ‘세이지 세이프티’ 기술 검증 진행,https://www.boannews.com/media/view.asp?idx=139298&page=4&kind=3
언제 어디서든 더욱 안전하게, AI 기반 대국민 재난안전서비스 본격 추진,https://www.boannews.com/media/view.asp?idx=139315&page=4&kind=2
중앙부처에서 지자체까지 재난·안전 역량 강화에 나선다,https://www.boannews.com/media/view.asp?idx=139316&page=4&kind=2
