Title,Link
[이슈칼럼] APEC 정상회의 성공의 열쇠: 공항보안을 넘어 스마트 방역으로,https://www.boannews.com/media/view.asp?idx=139148&page=2&kind=4
클루커스, 구글 클라우드 ‘디지털서비스 이용지원 시스템’ 등록,https://www.boannews.com/media/view.asp?idx=139144&page=2&kind=3
클라우드플레어, 조원균 신임 한국 지사장 선임,https://www.boannews.com/media/view.asp?idx=139143&page=2&kind=3
엔키화이트햇, CSK 2025서 실전형 보안 교육 서비스 ‘CAMP’ 선봬,https://www.boannews.com/media/view.asp?idx=139129&page=2&kind=3
핀텔 ‘AI 산업안전 플랫폼’, 정책보다 앞선 기술로 산업안전 패러다임 전환,https://www.boannews.com/media/view.asp?idx=139141&page=2&kind=3
엠클라우독, ISEC 2025서 ‘아이채터’ 시연…”문서중앙화·AI 결합 보안 혁신”,https://www.boannews.com/media/view.asp?idx=139139&page=3&kind=3
복잡한 다공성 물질, 양자 컴퓨터로 레고처럼 쉽게 설계한다...KAIST, “에너지 소재, 촉매  혁신 기대”,https://www.boannews.com/media/view.asp?idx=139140&page=3&kind=5
“블록체인 산업-정책-기술 한자리”...두나무 D컨퍼런스 개막,https://www.boannews.com/media/view.asp?idx=139138&page=3&kind=3
지식재산연수원, ‘변리사 교육’ 참가자 모집...변호사 대상,https://www.boannews.com/media/view.asp?idx=139137&page=3&kind=1
체크포인트, 엔터프라이즈 브라우저 출시…모든 디바이스에 제로 트러스트 제공,https://www.boannews.com/media/view.asp?idx=139130&page=3&kind=3
[SGI서울보증 랜섬웨어] 해킹 그룹 ‘건라’ SGI 매물 거뒀다... 데이터 해독 성공? 재협상?,https://www.boannews.com/media/view.asp?idx=139121&page=3&kind=1
[한국정보공학기술사 보안을 論하다-23] 공공시스템의 주요 사이버 공격 보안 취약점과 대응 방안,https://www.boannews.com/media/view.asp?idx=139136&page=3&kind=1
제17회 사이버 영토 수호 마라톤 대회 성황리 개최,https://www.boannews.com/media/view.asp?idx=139135&page=3&kind=3
카이스트, 그래프·관계형 DB 완전통합 ‘키마이라’ 개발...기존 대비 최대 280배 빨라,https://www.boannews.com/media/view.asp?idx=139131&page=3&kind=3
MS, ‘에이전틱 AI’ 산업 현장 혁신 사례 공유한 ‘AX위크’ 개최,https://www.boannews.com/media/view.asp?idx=139132&page=3&kind=3
이지서티, 광동제약에 개인정보 접속기록 관리솔루션 공급...제약업계 보안 강화 선도,https://www.boannews.com/media/view.asp?idx=139134&page=3&kind=3
포티넷코리아, ‘SecOps Summit Korea 2025’ 웨비나 개최,https://www.boannews.com/media/view.asp?idx=139133&page=3&kind=3
한국데이터법정책학회 2대 회장에 손승우 율촌 고문,https://www.boannews.com/media/view.asp?idx=139128&page=3&kind=2
카스퍼스키 “러시아권 랜섬웨어 공격 그룹 ‘올드그렘린’ 활동 재개”,https://www.boannews.com/media/view.asp?idx=139126&page=3&kind=1
SKT, 日 일정 공유 앱 ‘타임트리’에 20억엔 투자...에이전틱 AI 생태계 확장,https://www.boannews.com/media/view.asp?idx=139127&page=3&kind=3
이노티움, 신한라이프 ‘외부반출 개인정보 통제 시스템’ 구축 수주,https://www.boannews.com/media/view.asp?idx=139125&page=3&kind=3
[IP칼럼] 특허와 표준,https://www.boannews.com/media/view.asp?idx=139124&page=3&kind=1
특허청 등 10개 부처, 공공기술 이전 사업화 로드쇼,https://www.boannews.com/media/view.asp?idx=139122&page=3&kind=1
토스, 글로벌 프라이버시 총회(GPA)에서 ‘페이스페이’ 보안 기술 선보여,https://www.boannews.com/media/view.asp?idx=139120&page=3&kind=3
내 얼굴이 멋대로 SNS에 쓰였다면 어떻게 대처?...개인정보위, 웹툰으로 쉽게 설명,https://www.boannews.com/media/view.asp?idx=139119&page=3&kind=2
센스톤, 한수원 OT 엔드포인트 식별·보안 사업자 선정,https://www.boannews.com/media/view.asp?idx=139118&page=4&kind=2
KISIA, “사이버보안 글로벌 진출 속도”...과기정통부-IITP 지원,https://www.boannews.com/media/view.asp?idx=139117&page=4&kind=2
체코, 주요 인프라에 중국산 기술 사용 금지 권고...사이버 위협 ‘높음’,https://www.boannews.com/media/view.asp?idx=139116&page=4&kind=1
S2W, ‘CSK 2025’ 참가…AI 기술 혁신으로 국제사회 안보 강화 기여,https://www.boannews.com/media/view.asp?idx=139115&page=4&kind=3
특허청, ‘지식재산처’ 승격...IP 정책 컨트롤타워 역할,https://www.boannews.com/media/view.asp?idx=139114&page=4&kind=1
[배종찬의 보안 빅데이터] 날벼락 맞을 수 있는 ‘시급한’ 양자 보안,https://www.boannews.com/media/view.asp?idx=139112&page=4&kind=5
당정, ‘과학기술부총리’ 신설…과학기술·AI 정책 총괄 강화,https://www.boannews.com/media/view.asp?idx=139111&page=4&kind=2
한국정보기술연구원 ‘제17회 사이버 영토 수호 마라톤 대회’…사이버 보안 의미 되새겨,https://www.boannews.com/media/view.asp?idx=139110&page=4&kind=2
KT, 소액결제 피해 확산에 상품권 결제 한도 일시 축소,https://www.boannews.com/media/view.asp?idx=139109&page=4&kind=1
최정문 다온H&S 대표, ‘2025 중소기업 기술혁신대전’ 장관표창 수상,https://www.boannews.com/media/view.asp?idx=139108&page=4&kind=3
개인정보위, ‘AI 시대 개인정보 이슈’ 글로벌 논의 주도…‘제47차 GPA 총회’ 서울 개최,https://www.boannews.com/media/view.asp?idx=139107&page=4&kind=2
2025 데이터안심구역 활용 공동 경진대회 개최...AI·데이터 활용 확대,https://www.boannews.com/media/view.asp?idx=139103&page=4&kind=2
SKT, 일본서 K-AI 생태계 확장 나서,https://www.boannews.com/media/view.asp?idx=139106&page=4&kind=3
광명·금천서 KT 이용자 무더기 소액결제 피해…경찰, 해킹 가능성 수사,https://www.boannews.com/media/view.asp?idx=139105&page=4&kind=1
[AI와 보안] 그록AI 악용 ‘그로킹’…X서 악성 링크 대규모 확산,https://www.boannews.com/media/view.asp?idx=139104&page=4&kind=1
정부, 금융·의료 등 특화 AI 모델 개발 프로젝트 공모,https://www.boannews.com/media/view.asp?idx=139102&page=4&kind=2
병사 군장 속 AI, 드론 공습 미리 알려준다…미 육군, AI 기술 스타트업과 계약,https://www.boannews.com/media/view.asp?idx=139101&page=4&kind=2
“MS 보안-AI 연결은 ‘무한루프’...한국 사업 성장 폭발적”,https://www.boannews.com/media/view.asp?idx=139100&page=4&kind=3
국산 AI반도체 탑재된 경찰 스마트 헬멧, 수배자 찾아낸다,https://www.boannews.com/media/view.asp?idx=139098&page=4&kind=2
SDT, 말레이시아 국책 연구소 최상위 자문위원 위촉…'양자 기술' 협력 교두보,https://www.boannews.com/media/view.asp?idx=139099&page=4&kind=3
모빌린트 ‘MLX-A1’, 연세대 도입으로 의료 AI 교육 본격화,https://www.boannews.com/media/view.asp?idx=139095&page=5&kind=3
한-미, 첨단 기술 지키는 연구안보 협력...안전한 공동연구 환경 구축,https://www.boannews.com/media/view.asp?idx=139097&page=5&kind=2
[카드뉴스] 제로 트러스트 보안 모델, 내부망도 믿지 않는다…,https://www.boannews.com/media/view.asp?idx=139096&page=5&kind=1
“지금도 한국 모든 곳 숨은 중국, 침묵의 해킹 계속할 것”...TeamT5 CEO 인터뷰,https://www.boannews.com/media/view.asp?idx=139094&page=5&kind=3
크랜베리, 글로벌 파트너와 함께하는 ‘CRANBERRY TECH SUMMIT 2025’ 개최,https://www.boannews.com/media/view.asp?idx=139090&page=5&kind=3
2025년 조달청 혁신제품 지정... 크랜베리, 포딕스시스템, 아이엔아이,https://www.boannews.com/media/view.asp?idx=139093&page=5&kind=2
중국 솔트 타이푼에 미국 국민 전체 정보 털렸을 수도,https://www.boannews.com/media/view.asp?idx=139091&page=5&kind=1
광명 한 동네 사는 26명, 스마트폰 소액결제 동시다발 피해....모두 같은 통신사 사용자,https://www.boannews.com/media/view.asp?idx=139089&page=5&kind=1
[IP포토] 수산식품 수출업체를 지켜라!...K-씨푸드 데몬 헌터스!!,https://www.boannews.com/media/view.asp?idx=139088&page=5&kind=1
亞太 지역 사이버 보안-책임 있는 AI 협력 방안은?...네덜란드 사이버 대사, 고려대 특강,https://www.boannews.com/media/view.asp?idx=139086&page=5&kind=1
‘진짜IP’로 AI 3강에...‘지식재산의 날’ 기념식 개최,https://www.boannews.com/media/view.asp?idx=139087&page=5&kind=1
과기정통부, 보이스피싱 근절 위해 구글 악성앱 방지 ‘EFP’ 도입,https://www.boannews.com/media/view.asp?idx=139073&page=5&kind=1
롯데카드 대표, “해킹 사고 사과...피해는 전액 보상할 것”,https://www.boannews.com/media/view.asp?idx=139085&page=5&kind=1
티앤디소프트 최성묵 대표, ‘2025 중소기업 기술혁신대전’ 기술혁신 분야 대통령 표창,https://www.boannews.com/media/view.asp?idx=139084&page=5&kind=3
李대통령 “보안사고 반복 기업, 징벌적 과징금 등 강력 대처”,https://www.boannews.com/media/view.asp?idx=139083&page=5&kind=2
‘몸캠’ 자동화 인포스틸러 공격 포착...성인 사이트 보는 내 모습 찍는다,https://www.boannews.com/media/view.asp?idx=139082&page=5&kind=1
“ES린트 해킹에 악용돼”…오픈소스 공급망 위험 급증,https://www.boannews.com/media/view.asp?idx=139081&page=5&kind=1
테르텐-스냅태그, 비가시성 워터마크 사업 협력.. 상호 전략시장 공략,https://www.boannews.com/media/view.asp?idx=139080&page=5&kind=3
공공기관 AI 활용 시 개인정보 보호 강화된다,https://www.boannews.com/media/view.asp?idx=139079&page=5&kind=2
인더스트리뉴스, ‘투표로 바꾸는 21대 대선’ 인터넷선거보도상 수상,https://www.boannews.com/media/view.asp?idx=139078&page=5&kind=3
